date,immagini matrimonio,isPartial
2018-01-07,0,False
2018-01-14,0,False
2018-01-21,28,False
2018-01-28,0,False
2018-02-04,0,False
2018-02-11,40,False
2018-02-18,0,False
2018-02-25,19,False
2018-03-04,19,False
2018-03-11,20,False
2018-03-18,20,False
2018-03-25,21,False
2018-04-01,42,False
2018-04-08,19,False
2018-04-15,21,False
2018-04-22,52,False
2018-04-29,40,False
2018-05-06,0,False
2018-05-13,100,False
2018-05-20,50,False
2018-05-27,20,False
2018-06-03,20,False
2018-06-10,20,False
2018-06-17,43,False
2018-06-24,22,False
2018-07-01,54,False
2018-07-08,43,False
2018-07-15,0,False
2018-07-22,46,False
2018-07-29,48,False
2018-08-05,26,False
2018-08-12,29,False
2018-08-19,27,False
2018-08-26,35,False
2018-09-02,66,False
2018-09-09,43,False
2018-09-16,21,False
2018-09-23,0,False
2018-09-30,32,False
2018-10-07,22,False
2018-10-14,22,False
2018-10-21,32,False
2018-10-28,21,False
2018-11-04,20,False
2018-11-11,20,False
2018-11-18,0,False
2018-11-25,20,False
2018-12-02,30,False
2018-12-09,20,False
2018-12-16,0,False
2018-12-23,24,False
2018-12-30,0,False
2019-01-06,0,False
2019-01-13,19,False
2019-01-20,18,False
2019-01-27,18,False
2019-02-03,37,False
2019-02-10,18,False
2019-02-17,0,False
2019-02-24,0,False
2019-03-03,20,False
2019-03-10,0,False
2019-03-17,20,False
2019-03-24,19,False
2019-03-31,19,False
2019-04-07,28,False
2019-04-14,20,False
2019-04-21,21,False
2019-04-28,40,False
2019-05-05,19,False
2019-05-12,38,False
2019-05-19,19,False
2019-05-26,37,False
2019-06-02,37,False
2019-06-09,37,False
2019-06-16,19,False
2019-06-23,59,False
2019-06-30,20,False
2019-07-07,0,False
2019-07-14,20,False
2019-07-21,31,False
2019-07-28,22,False
2019-08-04,56,False
2019-08-11,25,False
2019-08-18,34,False
2019-08-25,59,False
2019-09-01,27,False
2019-09-08,19,False
2019-09-15,72,False
2019-09-22,18,False
2019-09-29,37,False
2019-10-06,19,False
2019-10-13,18,False
2019-10-20,17,False
2019-10-27,0,False
2019-11-03,0,False
2019-11-10,35,False
2019-11-17,17,False
2019-11-24,0,False
2019-12-01,18,False
2019-12-08,18,False
2019-12-15,18,False
2019-12-22,20,False
2019-12-29,39,False
2020-01-05,0,False
2020-01-12,24,False
2020-01-19,0,False
2020-01-26,0,False
2020-02-02,16,False
2020-02-09,0,False
2020-02-16,16,False
2020-02-23,15,False
2020-03-01,0,False
2020-03-08,0,False
2020-03-15,22,False
2020-03-22,0,False
2020-03-29,14,False
2020-04-05,15,False
2020-04-12,15,False
2020-04-19,14,False
2020-04-26,0,True
