date,immagini matrimonio,isPartial
2018-01-07,49,False
2018-01-14,25,False
2018-01-21,32,False
2018-01-28,0,False
2018-02-04,16,False
2018-02-11,15,False
2018-02-18,14,False
2018-02-25,14,False
2018-03-04,14,False
2018-03-11,29,False
2018-03-18,15,False
2018-03-25,16,False
2018-04-01,16,False
2018-04-08,22,False
2018-04-15,52,False
2018-04-22,79,False
2018-04-29,30,False
2018-05-06,21,False
2018-05-13,29,False
2018-05-20,73,False
2018-05-27,91,False
2018-06-03,100,False
2018-06-10,43,False
2018-06-17,36,False
2018-06-24,46,False
2018-07-01,45,False
2018-07-08,38,False
2018-07-15,46,False
2018-07-22,54,False
2018-07-29,39,False
2018-08-05,33,False
2018-08-12,39,False
2018-08-19,61,False
2018-08-26,35,False
2018-09-02,97,False
2018-09-09,73,False
2018-09-16,21,False
2018-09-23,29,False
2018-09-30,58,False
2018-10-07,29,False
2018-10-14,22,False
2018-10-21,14,False
2018-10-28,14,False
2018-11-04,28,False
2018-11-11,0,False
2018-11-18,29,False
2018-11-25,15,False
2018-12-02,20,False
2018-12-09,38,False
2018-12-16,24,False
2018-12-23,0,False
2018-12-30,33,False
2019-01-06,49,False
2019-01-13,16,False
2019-01-20,30,False
2019-01-27,34,False
2019-02-03,16,False
2019-02-10,16,False
2019-02-17,16,False
2019-02-24,0,False
2019-03-03,17,False
2019-03-10,33,False
2019-03-17,17,False
2019-03-24,16,False
2019-03-31,32,False
2019-04-07,15,False
2019-04-14,48,False
2019-04-21,36,False
2019-04-28,39,False
2019-05-05,21,False
2019-05-12,23,False
2019-05-19,32,False
2019-05-26,38,False
2019-06-02,32,False
2019-06-09,47,False
2019-06-16,33,False
2019-06-23,58,False
2019-06-30,17,False
2019-07-07,39,False
2019-07-14,26,False
2019-07-21,0,False
2019-07-28,18,False
2019-08-04,0,False
2019-08-11,0,False
2019-08-18,0,False
2019-08-25,44,False
2019-09-01,45,False
2019-09-08,40,False
2019-09-15,61,False
2019-09-22,15,False
2019-09-29,69,False
2019-10-06,47,False
2019-10-13,16,False
2019-10-20,0,False
2019-10-27,15,False
2019-11-03,0,False
2019-11-10,30,False
2019-11-17,0,False
2019-11-24,15,False
2019-12-01,16,False
2019-12-08,23,False
2019-12-15,0,False
2019-12-22,19,False
2019-12-29,0,False
2020-01-05,0,False
2020-01-12,14,False
2020-01-19,30,False
2020-01-26,0,False
2020-02-02,0,False
2020-02-09,29,False
2020-02-16,29,False
2020-02-23,14,False
2020-03-01,42,False
2020-03-08,0,False
2020-03-15,0,False
2020-03-22,0,False
2020-03-29,0,False
2020-04-05,14,False
2020-04-12,14,False
2020-04-19,39,False
2020-04-26,23,True
