date,Rohrleitungsbau,isPartial
2018-01-07,43,False
2018-01-14,64,False
2018-01-21,32,False
2018-01-28,21,False
2018-02-04,43,False
2018-02-11,21,False
2018-02-18,64,False
2018-02-25,63,False
2018-03-04,0,False
2018-03-11,42,False
2018-03-18,65,False
2018-03-25,22,False
2018-04-01,22,False
2018-04-08,44,False
2018-04-15,22,False
2018-04-22,63,False
2018-04-29,22,False
2018-05-06,0,False
2018-05-13,21,False
2018-05-20,44,False
2018-05-27,52,False
2018-06-03,21,False
2018-06-10,62,False
2018-06-17,21,False
2018-06-24,32,False
2018-07-01,22,False
2018-07-08,22,False
2018-07-15,47,False
2018-07-22,45,False
2018-07-29,21,False
2018-08-05,20,False
2018-08-12,0,False
2018-08-19,30,False
2018-08-26,52,False
2018-09-02,21,False
2018-09-09,21,False
2018-09-16,21,False
2018-09-23,21,False
2018-09-30,55,False
2018-10-07,22,False
2018-10-14,21,False
2018-10-21,31,False
2018-10-28,21,False
2018-11-04,20,False
2018-11-11,42,False
2018-11-18,41,False
2018-11-25,21,False
2018-12-02,31,False
2018-12-09,21,False
2018-12-16,85,False
2018-12-23,23,False
2018-12-30,22,False
2019-01-06,29,False
2019-01-13,29,False
2019-01-20,29,False
2019-01-27,40,False
2019-02-03,30,False
2019-02-10,41,False
2019-02-17,20,False
2019-02-24,21,False
2019-03-03,30,False
2019-03-10,20,False
2019-03-17,30,False
2019-03-24,21,False
2019-03-31,21,False
2019-04-07,32,False
2019-04-14,23,False
2019-04-21,21,False
2019-04-28,20,False
2019-05-05,40,False
2019-05-12,41,False
2019-05-19,100,False
2019-05-26,20,False
2019-06-02,59,False
2019-06-09,80,False
2019-06-16,20,False
2019-06-23,20,False
2019-06-30,41,False
2019-07-07,41,False
2019-07-14,32,False
2019-07-21,22,False
2019-07-28,21,False
2019-08-04,21,False
2019-08-11,47,False
2019-08-18,0,False
2019-08-25,29,False
2019-09-01,19,False
2019-09-08,19,False
2019-09-15,0,False
2019-09-22,39,False
2019-09-29,20,False
2019-10-06,39,False
2019-10-13,58,False
2019-10-20,38,False
2019-10-27,0,False
2019-11-03,18,False
2019-11-10,18,False
2019-11-17,19,False
2019-11-24,36,False
2019-12-01,37,False
2019-12-08,18,False
2019-12-15,56,False
2019-12-22,0,False
2019-12-29,19,False
2020-01-05,18,False
2020-01-12,26,False
2020-01-19,0,False
2020-01-26,35,False
2020-02-02,44,False
2020-02-09,17,False
2020-02-16,35,False
2020-02-23,0,False
2020-03-01,35,False
2020-03-08,49,False
2020-03-15,0,False
2020-03-22,25,False
2020-03-29,32,False
2020-04-05,0,False
2020-04-12,17,False
2020-04-19,16,False
2020-04-26,24,False
2020-05-03,24,False
2020-05-10,64,False
