date,Heizung Anschluss,isPartial
2018-01-07,49,False
2018-01-14,65,False
2018-01-21,76,False
2018-01-28,49,False
2018-02-04,67,False
2018-02-11,50,False
2018-02-18,50,False
2018-02-25,33,False
2018-03-04,33,False
2018-03-11,33,False
2018-03-18,100,False
2018-03-25,83,False
2018-04-01,36,False
2018-04-08,46,False
2018-04-15,35,False
2018-04-22,33,False
2018-04-29,35,False
2018-05-06,35,False
2018-05-13,50,False
2018-05-20,71,False
2018-05-27,57,False
2018-06-03,0,False
2018-06-10,0,False
2018-06-17,33,False
2018-06-24,34,False
2018-07-01,44,False
2018-07-08,66,False
2018-07-15,35,False
2018-07-22,46,False
2018-07-29,35,False
2018-08-05,68,False
2018-08-12,35,False
2018-08-19,57,False
2018-08-26,35,False
2018-09-02,56,False
2018-09-09,84,False
2018-09-16,34,False
2018-09-23,79,False
2018-09-30,84,False
2018-10-07,50,False
2018-10-14,50,False
2018-10-21,66,False
2018-10-28,82,False
2018-11-04,53,False
2018-11-11,66,False
2018-11-18,73,False
2018-11-25,97,False
2018-12-02,64,False
2018-12-09,32,False
2018-12-16,33,False
2018-12-23,0,False
2018-12-30,69,False
2019-01-06,46,False
2019-01-13,76,False
2019-01-20,71,False
2019-01-27,41,False
2019-02-03,62,False
2019-02-10,47,False
2019-02-17,63,False
2019-02-24,32,False
2019-03-03,72,False
2019-03-10,62,False
2019-03-17,32,False
2019-03-24,32,False
2019-03-31,43,False
2019-04-07,47,False
2019-04-14,35,False
2019-04-21,67,False
2019-04-28,62,False
2019-05-05,31,False
2019-05-12,32,False
2019-05-19,47,False
2019-05-26,49,False
2019-06-02,32,False
2019-06-09,81,False
2019-06-16,65,False
2019-06-23,0,False
2019-06-30,32,False
2019-07-07,32,False
2019-07-14,44,False
2019-07-21,52,False
2019-07-28,0,False
2019-08-04,34,False
2019-08-11,48,False
2019-08-18,0,False
2019-08-25,32,False
2019-09-01,42,False
2019-09-08,48,False
2019-09-15,48,False
2019-09-22,62,False
2019-09-29,47,False
2019-10-06,31,False
2019-10-13,61,False
2019-10-20,61,False
2019-10-27,50,False
2019-11-03,58,False
2019-11-10,39,False
2019-11-17,88,False
2019-11-24,87,False
2019-12-01,59,False
2019-12-08,39,False
2019-12-15,80,False
2019-12-22,34,False
2019-12-29,32,False
2020-01-05,28,False
2020-01-12,41,False
2020-01-19,47,False
2020-01-26,28,False
2020-02-02,42,False
2020-02-09,27,False
2020-02-16,47,False
2020-02-23,74,False
2020-03-01,36,False
2020-03-08,43,False
2020-03-15,25,False
2020-03-22,50,False
2020-03-29,25,False
2020-04-05,28,False
2020-04-12,44,False
2020-04-19,38,False
2020-04-26,25,False
2020-05-03,51,False
2020-05-10,34,False
