date,Raffrollo,isPartial
2018-01-07,37,False
2018-01-14,37,False
2018-01-21,28,False
2018-01-28,28,False
2018-02-04,57,False
2018-02-11,28,False
2018-02-18,37,False
2018-02-25,37,False
2018-03-04,18,False
2018-03-11,37,False
2018-03-18,93,False
2018-03-25,30,False
2018-04-01,21,False
2018-04-08,40,False
2018-04-15,0,False
2018-04-22,49,False
2018-04-29,83,False
2018-05-06,20,False
2018-05-13,19,False
2018-05-20,20,False
2018-05-27,40,False
2018-06-03,19,False
2018-06-10,37,False
2018-06-17,48,False
2018-06-24,47,False
2018-07-01,38,False
2018-07-08,58,False
2018-07-15,30,False
2018-07-22,40,False
2018-07-29,21,False
2018-08-05,60,False
2018-08-12,41,False
2018-08-19,20,False
2018-08-26,38,False
2018-09-02,39,False
2018-09-09,39,False
2018-09-16,20,False
2018-09-23,39,False
2018-09-30,19,False
2018-10-07,49,False
2018-10-14,68,False
2018-10-21,49,False
2018-10-28,39,False
2018-11-04,56,False
2018-11-11,39,False
2018-11-18,37,False
2018-11-25,37,False
2018-12-02,57,False
2018-12-09,56,False
2018-12-16,0,False
2018-12-23,22,False
2018-12-30,19,False
2019-01-06,35,False
2019-01-13,18,False
2019-01-20,26,False
2019-01-27,53,False
2019-02-03,27,False
2019-02-10,98,False
2019-02-17,18,False
2019-02-24,35,False
2019-03-03,71,False
2019-03-10,17,False
2019-03-17,64,False
2019-03-24,36,False
2019-03-31,75,False
2019-04-07,37,False
2019-04-14,100,False
2019-04-21,29,False
2019-04-28,37,False
2019-05-05,35,False
2019-05-12,18,False
2019-05-19,27,False
2019-05-26,45,False
2019-06-02,37,False
2019-06-09,38,False
2019-06-16,28,False
2019-06-23,19,False
2019-06-30,56,False
2019-07-07,55,False
2019-07-14,58,False
2019-07-21,59,False
2019-07-28,29,False
2019-08-04,59,False
2019-08-11,19,False
2019-08-18,0,False
2019-08-25,18,False
2019-09-01,35,False
2019-09-08,36,False
2019-09-15,63,False
2019-09-22,18,False
2019-09-29,17,False
2019-10-06,18,False
2019-10-13,44,False
2019-10-20,17,False
2019-10-27,96,False
2019-11-03,76,False
2019-11-10,50,False
2019-11-17,43,False
2019-11-24,50,False
2019-12-01,43,False
2019-12-08,0,False
2019-12-15,0,False
2019-12-22,19,False
2019-12-29,18,False
2020-01-05,57,False
2020-01-12,38,False
2020-01-19,71,False
2020-01-26,94,False
2020-02-02,63,False
2020-02-09,63,False
2020-02-16,24,False
2020-02-23,30,False
2020-03-01,61,False
2020-03-08,15,False
2020-03-15,15,False
2020-03-22,36,False
2020-03-29,15,False
2020-04-05,40,False
2020-04-12,31,False
2020-04-19,53,False
2020-04-26,45,False
2020-05-03,31,False
2020-05-10,38,False
2020-05-17,49,False
2020-05-24,46,False
2020-05-31,31,False
2020-06-07,47,False
2020-06-14,30,False
2020-06-21,86,False
2020-06-28,16,False
2020-07-05,16,False
