date,Cours d'anglais,isPartial
2018-01-07,36,False
2018-01-14,40,False
2018-01-21,24,False
2018-01-28,32,False
2018-02-04,0,False
2018-02-11,24,False
2018-02-18,49,False
2018-02-25,32,False
2018-03-04,24,False
2018-03-11,24,False
2018-03-18,49,False
2018-03-25,0,False
2018-04-01,25,False
2018-04-08,0,False
2018-04-15,0,False
2018-04-22,0,False
2018-04-29,25,False
2018-05-06,0,False
2018-05-13,49,False
2018-05-20,50,False
2018-05-27,48,False
2018-06-03,48,False
2018-06-10,0,False
2018-06-17,0,False
2018-06-24,33,False
2018-07-01,24,False
2018-07-08,38,False
2018-07-15,39,False
2018-07-22,26,False
2018-07-29,53,False
2018-08-05,27,False
2018-08-12,56,False
2018-08-19,66,False
2018-08-26,76,False
2018-09-02,50,False
2018-09-09,37,False
2018-09-16,41,False
2018-09-23,33,False
2018-09-30,58,False
2018-10-07,100,False
2018-10-14,33,False
2018-10-21,25,False
2018-10-28,51,False
2018-11-04,36,False
2018-11-11,24,False
2018-11-18,40,False
2018-11-25,36,False
2018-12-02,0,False
2018-12-09,25,False
2018-12-16,37,False
2018-12-23,0,False
2018-12-30,26,False
2019-01-06,49,False
2019-01-13,48,False
2019-01-20,31,False
2019-01-27,23,False
2019-02-03,47,False
2019-02-10,49,False
2019-02-17,25,False
2019-02-24,49,False
2019-03-03,24,False
2019-03-10,24,False
2019-03-17,25,False
2019-03-24,37,False
2019-03-31,32,False
2019-04-07,25,False
2019-04-14,25,False
2019-04-21,0,False
2019-04-28,24,False
2019-05-05,36,False
2019-05-12,48,False
2019-05-19,0,False
2019-05-26,24,False
2019-06-02,22,False
2019-06-09,58,False
2019-06-16,32,False
2019-06-23,24,False
2019-06-30,24,False
2019-07-07,0,False
2019-07-14,25,False
2019-07-21,25,False
2019-07-28,51,False
2019-08-04,26,False
2019-08-11,52,False
2019-08-18,51,False
2019-08-25,32,False
2019-09-01,54,False
2019-09-08,35,False
2019-09-15,23,False
2019-09-22,67,False
2019-09-29,22,False
2019-10-06,38,False
2019-10-13,23,False
2019-10-20,23,False
2019-10-27,45,False
2019-11-03,22,False
2019-11-10,44,False
2019-11-17,33,False
2019-11-24,21,False
2019-12-01,22,False
2019-12-08,0,False
2019-12-15,87,False
2019-12-22,25,False
2019-12-29,23,False
2020-01-05,21,False
2020-01-12,21,False
2020-01-19,43,False
2020-01-26,28,False
2020-02-02,0,False
2020-02-09,31,False
2020-02-16,64,False
2020-02-23,34,False
2020-03-01,40,False
2020-03-08,40,False
2020-03-15,29,False
2020-03-22,28,False
2020-03-29,19,False
2020-04-05,28,False
2020-04-12,19,False
2020-04-19,28,False
2020-04-26,53,False
2020-05-03,0,False
2020-05-10,19,False
2020-05-17,41,False
2020-05-24,20,False
2020-05-31,19,False
2020-06-07,19,False
2020-06-14,20,False
2020-06-21,74,True
