date,Musica Anni 80,isPartial
2018-01-07,23,False
2018-01-14,0,False
2018-01-21,30,False
2018-01-28,43,False
2018-02-04,22,False
2018-02-11,43,False
2018-02-18,36,False
2018-02-25,14,False
2018-03-04,43,False
2018-03-11,36,False
2018-03-18,15,False
2018-03-25,15,False
2018-04-01,23,False
2018-04-08,15,False
2018-04-15,30,False
2018-04-22,0,False
2018-04-29,36,False
2018-05-06,42,False
2018-05-13,45,False
2018-05-20,44,False
2018-05-27,29,False
2018-06-03,29,False
2018-06-10,49,False
2018-06-17,29,False
2018-06-24,44,False
2018-07-01,28,False
2018-07-08,35,False
2018-07-15,22,False
2018-07-22,43,False
2018-07-29,0,False
2018-08-05,30,False
2018-08-12,31,False
2018-08-19,38,False
2018-08-26,0,False
2018-09-02,29,False
2018-09-09,14,False
2018-09-16,21,False
2018-09-23,28,False
2018-09-30,29,False
2018-10-07,15,False
2018-10-14,59,False
2018-10-21,37,False
2018-10-28,21,False
2018-11-04,29,False
2018-11-11,23,False
2018-11-18,37,False
2018-11-25,29,False
2018-12-02,38,False
2018-12-09,31,False
2018-12-16,16,False
2018-12-23,18,False
2018-12-30,100,False
2019-01-06,23,False
2019-01-13,22,False
2019-01-20,42,False
2019-01-27,55,False
2019-02-03,28,False
2019-02-10,22,False
2019-02-17,30,False
2019-02-24,44,False
2019-03-03,60,False
2019-03-10,15,False
2019-03-17,22,False
2019-03-24,37,False
2019-03-31,29,False
2019-04-07,15,False
2019-04-14,52,False
2019-04-21,30,False
2019-04-28,28,False
2019-05-05,28,False
2019-05-12,35,False
2019-05-19,48,False
2019-05-26,53,False
2019-06-02,29,False
2019-06-09,21,False
2019-06-16,53,False
2019-06-23,45,False
2019-06-30,22,False
2019-07-07,42,False
2019-07-14,50,False
2019-07-21,29,False
2019-07-28,15,False
2019-08-04,46,False
2019-08-11,56,False
2019-08-18,29,False
2019-08-25,48,False
2019-09-01,13,False
2019-09-08,48,False
2019-09-15,41,False
2019-09-22,0,False
2019-09-29,47,False
2019-10-06,27,False
2019-10-13,27,False
2019-10-20,20,False
2019-10-27,19,False
2019-11-03,32,False
2019-11-10,27,False
2019-11-17,52,False
2019-11-24,39,False
2019-12-01,34,False
2019-12-08,27,False
2019-12-15,48,False
2019-12-22,75,False
2019-12-29,30,False
2020-01-05,21,False
2020-01-12,13,False
2020-01-19,20,False
2020-01-26,19,False
2020-02-02,50,False
2020-02-09,26,False
2020-02-16,39,False
2020-02-23,24,False
2020-03-01,18,False
2020-03-08,45,False
2020-03-15,52,False
2020-03-22,69,False
2020-03-29,66,False
2020-04-05,91,False
2020-04-12,46,False
2020-04-19,22,False
2020-04-26,75,True
