date,desatascador,isPartial
2018-01-07,46,False
2018-01-14,40,False
2018-01-21,30,False
2018-01-28,61,False
2018-02-04,44,False
2018-02-11,60,False
2018-02-18,45,False
2018-02-25,29,False
2018-03-04,45,False
2018-03-11,50,False
2018-03-18,31,False
2018-03-25,92,False
2018-04-01,31,False
2018-04-08,73,False
2018-04-15,59,False
2018-04-22,43,False
2018-04-29,59,False
2018-05-06,59,False
2018-05-13,45,False
2018-05-20,30,False
2018-05-27,59,False
2018-06-03,29,False
2018-06-10,0,False
2018-06-17,46,False
2018-06-24,30,False
2018-07-01,60,False
2018-07-08,57,False
2018-07-15,40,False
2018-07-22,29,False
2018-07-29,73,False
2018-08-05,47,False
2018-08-12,72,False
2018-08-19,92,False
2018-08-26,44,False
2018-09-02,28,False
2018-09-09,56,False
2018-09-16,28,False
2018-09-23,56,False
2018-09-30,44,False
2018-10-07,0,False
2018-10-14,28,False
2018-10-21,44,False
2018-10-28,41,False
2018-11-04,43,False
2018-11-11,57,False
2018-11-18,55,False
2018-11-25,31,False
2018-12-02,31,False
2018-12-09,41,False
2018-12-16,62,False
2018-12-23,47,False
2018-12-30,35,False
2019-01-06,60,False
2019-01-13,49,False
2019-01-20,56,False
2019-01-27,48,False
2019-02-03,59,False
2019-02-10,88,False
2019-02-17,30,False
2019-02-24,68,False
2019-03-03,44,False
2019-03-10,30,False
2019-03-17,61,False
2019-03-24,50,False
2019-03-31,55,False
2019-04-07,29,False
2019-04-14,54,False
2019-04-21,30,False
2019-04-28,29,False
2019-05-05,29,False
2019-05-12,43,False
2019-05-19,37,False
2019-05-26,28,False
2019-06-02,55,False
2019-06-09,28,False
2019-06-16,29,False
2019-06-23,39,False
2019-06-30,57,False
2019-07-07,41,False
2019-07-14,70,False
2019-07-21,100,False
2019-07-28,43,False
2019-08-04,43,False
2019-08-11,71,False
2019-08-18,56,False
2019-08-25,0,False
2019-09-01,53,False
2019-09-08,51,False
2019-09-15,54,False
2019-09-22,54,False
2019-09-29,27,False
2019-10-06,27,False
2019-10-13,40,False
2019-10-20,26,False
2019-10-27,27,False
2019-11-03,44,False
2019-11-10,39,False
2019-11-17,26,False
2019-11-24,38,False
2019-12-01,60,False
2019-12-08,55,False
2019-12-15,40,False
2019-12-22,29,False
2019-12-29,29,False
2020-01-05,53,False
2020-01-12,62,False
2020-01-19,36,False
2020-01-26,25,False
2020-02-02,58,False
2020-02-09,33,False
2020-02-16,37,False
2020-02-23,36,False
2020-03-01,48,False
2020-03-08,72,False
2020-03-15,70,False
2020-03-22,63,False
2020-03-29,35,False
2020-04-05,96,False
2020-04-12,95,False
2020-04-19,49,False
2020-04-26,22,False
2020-05-03,53,False
2020-05-10,56,False
2020-05-17,35,True
