date,desatascador,isPartial
2018-01-07,45,False
2018-01-14,0,False
2018-01-21,100,False
2018-01-28,0,False
2018-02-04,34,False
2018-02-11,0,False
2018-02-18,35,False
2018-02-25,33,False
2018-03-04,33,False
2018-03-11,33,False
2018-03-18,51,False
2018-03-25,36,False
2018-04-01,65,False
2018-04-08,32,False
2018-04-15,50,False
2018-04-22,82,False
2018-04-29,51,False
2018-05-06,33,False
2018-05-13,0,False
2018-05-20,33,False
2018-05-27,0,False
2018-06-03,32,False
2018-06-10,0,False
2018-06-17,35,False
2018-06-24,33,False
2018-07-01,33,False
2018-07-08,0,False
2018-07-15,33,False
2018-07-22,34,False
2018-07-29,33,False
2018-08-05,31,False
2018-08-12,0,False
2018-08-19,0,False
2018-08-26,0,False
2018-09-02,33,False
2018-09-09,34,False
2018-09-16,33,False
2018-09-23,33,False
2018-09-30,33,False
2018-10-07,33,False
2018-10-14,0,False
2018-10-21,33,False
2018-10-28,68,False
2018-11-04,47,False
2018-11-11,0,False
2018-11-18,47,False
2018-11-25,65,False
2018-12-02,34,False
2018-12-09,33,False
2018-12-16,33,False
2018-12-23,0,False
2018-12-30,37,False
2019-01-06,56,False
2019-01-13,32,False
2019-01-20,31,False
2019-01-27,63,False
2019-02-03,0,False
2019-02-10,33,False
2019-02-17,32,False
2019-02-24,32,False
2019-03-03,66,False
2019-03-10,0,False
2019-03-17,68,False
2019-03-24,0,False
2019-03-31,0,False
2019-04-07,43,False
2019-04-14,34,False
2019-04-21,0,False
2019-04-28,32,False
2019-05-05,0,False
2019-05-12,0,False
2019-05-19,32,False
2019-05-26,0,False
2019-06-02,0,False
2019-06-09,31,False
2019-06-16,31,False
2019-06-23,0,False
2019-06-30,63,False
2019-07-07,32,False
2019-07-14,0,False
2019-07-21,0,False
2019-07-28,32,False
2019-08-04,59,False
2019-08-11,30,False
2019-08-18,30,False
2019-08-25,30,False
2019-09-01,0,False
2019-09-08,0,False
2019-09-15,30,False
2019-09-22,30,False
2019-09-29,29,False
2019-10-06,30,False
2019-10-13,29,False
2019-10-20,60,False
2019-10-27,0,False
2019-11-03,29,False
2019-11-10,0,False
2019-11-17,0,False
2019-11-24,27,False
2019-12-01,76,False
2019-12-08,0,False
2019-12-15,72,False
2019-12-22,31,False
2019-12-29,31,False
2020-01-05,29,False
2020-01-12,27,False
2020-01-19,42,False
2020-01-26,27,False
2020-02-02,42,False
2020-02-09,27,False
2020-02-16,28,False
2020-02-23,56,False
2020-03-01,26,False
2020-03-08,52,False
2020-03-15,50,False
2020-03-22,36,False
2020-03-29,35,False
2020-04-05,49,False
2020-04-12,55,False
2020-04-19,24,False
2020-04-26,23,False
2020-05-03,31,False
2020-05-10,24,False
2020-05-17,29,True
