date,foyer cheminee,isPartial
2018-01-07,79,False
2018-01-14,29,False
2018-01-21,37,False
2018-01-28,29,False
2018-02-04,87,False
2018-02-11,44,False
2018-02-18,35,False
2018-02-25,67,False
2018-03-04,37,False
2018-03-11,32,False
2018-03-18,64,False
2018-03-25,30,False
2018-04-01,19,False
2018-04-08,42,False
2018-04-15,23,False
2018-04-22,26,False
2018-04-29,46,False
2018-05-06,13,False
2018-05-13,19,False
2018-05-20,39,False
2018-05-27,31,False
2018-06-03,21,False
2018-06-10,12,False
2018-06-17,13,False
2018-06-24,19,False
2018-07-01,0,False
2018-07-08,26,False
2018-07-15,21,False
2018-07-22,14,False
2018-07-29,28,False
2018-08-05,21,False
2018-08-12,33,False
2018-08-19,28,False
2018-08-26,26,False
2018-09-02,39,False
2018-09-09,21,False
2018-09-16,47,False
2018-09-23,65,False
2018-09-30,64,False
2018-10-07,48,False
2018-10-14,52,False
2018-10-21,91,False
2018-10-28,100,False
2018-11-04,33,False
2018-11-11,50,False
2018-11-18,62,False
2018-11-25,67,False
2018-12-02,59,False
2018-12-09,51,False
2018-12-16,44,False
2018-12-23,44,False
2018-12-30,78,False
2019-01-06,88,False
2019-01-13,34,False
2019-01-20,41,False
2019-01-27,48,False
2019-02-03,49,False
2019-02-10,34,False
2019-02-17,39,False
2019-02-24,39,False
2019-03-03,31,False
2019-03-10,21,False
2019-03-17,39,False
2019-03-24,22,False
2019-03-31,21,False
2019-04-07,21,False
2019-04-14,26,False
2019-04-21,13,False
2019-04-28,17,False
2019-05-05,19,False
2019-05-12,33,False
2019-05-19,25,False
2019-05-26,25,False
2019-06-02,12,False
2019-06-09,16,False
2019-06-16,17,False
2019-06-23,33,False
2019-06-30,19,False
2019-07-07,19,False
2019-07-14,26,False
2019-07-21,13,False
2019-07-28,31,False
2019-08-04,0,False
2019-08-11,27,False
2019-08-18,20,False
2019-08-25,25,False
2019-09-01,32,False
2019-09-08,40,False
2019-09-15,30,False
2019-09-22,39,False
2019-09-29,50,False
2019-10-06,65,False
2019-10-13,43,False
2019-10-20,27,False
2019-10-27,47,False
2019-11-03,61,False
2019-11-10,69,False
2019-11-17,69,False
2019-11-24,52,False
2019-12-01,30,False
2019-12-08,45,False
2019-12-15,53,False
2019-12-22,57,False
2019-12-29,77,False
2020-01-05,44,False
2020-01-12,32,False
2020-01-19,59,False
2020-01-26,40,False
2020-02-02,38,False
2020-02-09,33,False
2020-02-16,33,False
2020-02-23,32,False
2020-03-01,28,False
2020-03-08,14,False
2020-03-15,10,False
2020-03-22,20,False
2020-03-29,16,False
2020-04-05,33,False
2020-04-12,23,False
2020-04-19,10,False
2020-04-26,31,False
2020-05-03,19,False
2020-05-10,33,False
2020-05-17,16,True
