date,Erdaushub,isPartial
2018-01-07,36,False
2018-01-14,66,False
2018-01-21,35,False
2018-01-28,27,False
2018-02-04,41,False
2018-02-11,27,False
2018-02-18,27,False
2018-02-25,41,False
2018-03-04,27,False
2018-03-11,45,False
2018-03-18,55,False
2018-03-25,29,False
2018-04-01,29,False
2018-04-08,57,False
2018-04-15,67,False
2018-04-22,56,False
2018-04-29,73,False
2018-05-06,44,False
2018-05-13,56,False
2018-05-20,71,False
2018-05-27,90,False
2018-06-03,43,False
2018-06-10,41,False
2018-06-17,82,False
2018-06-24,65,False
2018-07-01,45,False
2018-07-08,46,False
2018-07-15,42,False
2018-07-22,47,False
2018-07-29,29,False
2018-08-05,30,False
2018-08-12,46,False
2018-08-19,62,False
2018-08-26,30,False
2018-09-02,48,False
2018-09-09,43,False
2018-09-16,42,False
2018-09-23,66,False
2018-09-30,42,False
2018-10-07,42,False
2018-10-14,46,False
2018-10-21,27,False
2018-10-28,41,False
2018-11-04,66,False
2018-11-11,27,False
2018-11-18,26,False
2018-11-25,52,False
2018-12-02,0,False
2018-12-09,26,False
2018-12-16,27,False
2018-12-23,0,False
2018-12-30,28,False
2019-01-06,25,False
2019-01-13,25,False
2019-01-20,33,False
2019-01-27,42,False
2019-02-03,25,False
2019-02-10,51,False
2019-02-17,26,False
2019-02-24,35,False
2019-03-03,92,False
2019-03-10,75,False
2019-03-17,52,False
2019-03-24,26,False
2019-03-31,86,False
2019-04-07,77,False
2019-04-14,37,False
2019-04-21,100,False
2019-04-28,26,False
2019-05-05,75,False
2019-05-12,43,False
2019-05-19,50,False
2019-05-26,53,False
2019-06-02,66,False
2019-06-09,37,False
2019-06-16,73,False
2019-06-23,43,False
2019-06-30,43,False
2019-07-07,50,False
2019-07-14,39,False
2019-07-21,54,False
2019-07-28,41,False
2019-08-04,43,False
2019-08-11,37,False
2019-08-18,48,False
2019-08-25,29,False
2019-09-01,27,False
2019-09-08,52,False
2019-09-15,53,False
2019-09-22,38,False
2019-09-29,43,False
2019-10-06,50,False
2019-10-13,49,False
2019-10-20,37,False
2019-10-27,41,False
2019-11-03,24,False
2019-11-10,24,False
2019-11-17,0,False
2019-11-24,36,False
2019-12-01,24,False
2019-12-08,24,False
2019-12-15,49,False
2019-12-22,28,False
2019-12-29,27,False
2020-01-05,47,False
2020-01-12,45,False
2020-01-19,62,False
2020-01-26,61,False
2020-02-02,23,False
2020-02-09,34,False
2020-02-16,24,False
2020-02-23,45,False
2020-03-01,22,False
2020-03-08,63,False
2020-03-15,72,False
2020-03-22,74,False
2020-03-29,55,False
2020-04-05,56,False
2020-04-12,65,False
2020-04-19,97,False
2020-04-26,60,False
2020-05-03,61,False
2020-05-10,61,False
