date,tablature guitare débutant,isPartial
2018-01-07,96,False
2018-01-14,52,False
2018-01-21,63,False
2018-01-28,0,False
2018-02-04,48,False
2018-02-11,43,False
2018-02-18,33,False
2018-02-25,32,False
2018-03-04,97,False
2018-03-11,54,False
2018-03-18,32,False
2018-03-25,33,False
2018-04-01,33,False
2018-04-08,98,False
2018-04-15,35,False
2018-04-22,33,False
2018-04-29,67,False
2018-05-06,34,False
2018-05-13,32,False
2018-05-20,33,False
2018-05-27,32,False
2018-06-03,64,False
2018-06-10,41,False
2018-06-17,66,False
2018-06-24,97,False
2018-07-01,80,False
2018-07-08,0,False
2018-07-15,35,False
2018-07-22,0,False
2018-07-29,36,False
2018-08-05,72,False
2018-08-12,92,False
2018-08-19,35,False
2018-08-26,0,False
2018-09-02,50,False
2018-09-09,98,False
2018-09-16,66,False
2018-09-23,33,False
2018-09-30,33,False
2018-10-07,33,False
2018-10-14,33,False
2018-10-21,56,False
2018-10-28,50,False
2018-11-04,43,False
2018-11-11,32,False
2018-11-18,32,False
2018-11-25,32,False
2018-12-02,32,False
2018-12-09,33,False
2018-12-16,33,False
2018-12-23,38,False
2018-12-30,36,False
2019-01-06,32,False
2019-01-13,32,False
2019-01-20,31,False
2019-01-27,31,False
2019-02-03,42,False
2019-02-10,33,False
2019-02-17,33,False
2019-02-24,33,False
2019-03-03,0,False
2019-03-10,0,False
2019-03-17,33,False
2019-03-24,0,False
2019-03-31,32,False
2019-04-07,0,False
2019-04-14,67,False
2019-04-21,100,False
2019-04-28,97,False
2019-05-05,95,False
2019-05-12,32,False
2019-05-19,32,False
2019-05-26,0,False
2019-06-02,59,False
2019-06-09,62,False
2019-06-16,48,False
2019-06-23,31,False
2019-06-30,0,False
2019-07-07,32,False
2019-07-14,33,False
2019-07-21,0,False
2019-07-28,35,False
2019-08-04,34,False
2019-08-11,34,False
2019-08-18,34,False
2019-08-25,32,False
2019-09-01,0,False
2019-09-08,46,False
2019-09-15,31,False
2019-09-22,0,False
2019-09-29,59,False
2019-10-06,40,False
2019-10-13,0,False
2019-10-20,0,False
2019-10-27,30,False
2019-11-03,39,False
2019-11-10,88,False
2019-11-17,29,False
2019-11-24,28,False
2019-12-01,43,False
2019-12-08,29,False
2019-12-15,44,False
2019-12-22,65,False
2019-12-29,93,False
2020-01-05,28,False
2020-01-12,82,False
2020-01-19,28,False
2020-01-26,42,False
2020-02-02,42,False
2020-02-09,0,False
2020-02-16,29,False
2020-02-23,27,False
2020-03-01,68,False
2020-03-08,27,False
2020-03-15,60,False
2020-03-22,62,False
2020-03-29,66,False
2020-04-05,67,False
2020-04-12,51,False
2020-04-19,58,False
2020-04-26,60,False
2020-05-03,48,False
2020-05-10,37,False
2020-05-17,62,True
