date,Instalación de aire acondicionado,isPartial
2018-01-07,49,False
2018-01-14,0,False
2018-01-21,24,False
2018-01-28,35,False
2018-02-04,47,False
2018-02-11,24,False
2018-02-18,0,False
2018-02-25,0,False
2018-03-04,0,False
2018-03-11,0,False
2018-03-18,24,False
2018-03-25,53,False
2018-04-01,0,False
2018-04-08,23,False
2018-04-15,0,False
2018-04-22,23,False
2018-04-29,0,False
2018-05-06,35,False
2018-05-13,0,False
2018-05-20,24,False
2018-05-27,35,False
2018-06-03,23,False
2018-06-10,23,False
2018-06-17,50,False
2018-06-24,73,False
2018-07-01,49,False
2018-07-08,48,False
2018-07-15,50,False
2018-07-22,26,False
2018-07-29,25,False
2018-08-05,100,False
2018-08-12,53,False
2018-08-19,26,False
2018-08-26,25,False
2018-09-02,0,False
2018-09-09,23,False
2018-09-16,35,False
2018-09-23,23,False
2018-09-30,24,False
2018-10-07,0,False
2018-10-14,23,False
2018-10-21,24,False
2018-10-28,0,False
2018-11-04,0,False
2018-11-11,0,False
2018-11-18,22,False
2018-11-25,0,False
2018-12-02,24,False
2018-12-09,24,False
2018-12-16,37,False
2018-12-23,28,False
2018-12-30,27,False
2019-01-06,24,False
2019-01-13,23,False
2019-01-20,22,False
2019-01-27,22,False
2019-02-03,23,False
2019-02-10,0,False
2019-02-17,23,False
2019-02-24,45,False
2019-03-03,35,False
2019-03-10,24,False
2019-03-17,48,False
2019-03-24,48,False
2019-03-31,23,False
2019-04-07,23,False
2019-04-14,0,False
2019-04-21,23,False
2019-04-28,23,False
2019-05-05,23,False
2019-05-12,0,False
2019-05-19,45,False
2019-05-26,45,False
2019-06-02,65,False
2019-06-09,34,False
2019-06-16,46,False
2019-06-23,95,False
2019-06-30,71,False
2019-07-07,57,False
2019-07-14,24,False
2019-07-21,36,False
2019-07-28,0,False
2019-08-04,25,False
2019-08-11,49,False
2019-08-18,0,False
2019-08-25,23,False
2019-09-01,66,False
2019-09-08,33,False
2019-09-15,21,False
2019-09-22,21,False
2019-09-29,0,False
2019-10-06,0,False
2019-10-13,21,False
2019-10-20,53,False
2019-10-27,21,False
2019-11-03,83,False
2019-11-10,0,False
2019-11-17,21,False
2019-11-24,0,False
2019-12-01,43,False
2019-12-08,43,False
2019-12-15,0,False
2019-12-22,23,False
2019-12-29,35,False
2020-01-05,42,False
2020-01-12,19,False
2020-01-19,19,False
2020-01-26,60,False
2020-02-02,40,False
2020-02-09,40,False
2020-02-16,0,False
2020-02-23,0,False
2020-03-01,0,False
2020-03-08,37,False
2020-03-15,0,False
2020-03-22,0,False
2020-03-29,35,False
2020-04-05,46,False
2020-04-12,35,False
2020-04-19,0,False
2020-04-26,26,False
2020-05-03,34,False
2020-05-10,53,False
2020-05-17,94,True
