date,Verglasung,isPartial
2018-01-07,0,False
2018-01-14,48,False
2018-01-21,48,False
2018-01-28,36,False
2018-02-04,24,False
2018-02-11,36,False
2018-02-18,24,False
2018-02-25,48,False
2018-03-04,48,False
2018-03-11,83,False
2018-03-18,25,False
2018-03-25,63,False
2018-04-01,25,False
2018-04-08,37,False
2018-04-15,51,False
2018-04-22,24,False
2018-04-29,25,False
2018-05-06,25,False
2018-05-13,0,False
2018-05-20,25,False
2018-05-27,70,False
2018-06-03,0,False
2018-06-10,23,False
2018-06-17,71,False
2018-06-24,24,False
2018-07-01,50,False
2018-07-08,25,False
2018-07-15,27,False
2018-07-22,51,False
2018-07-29,37,False
2018-08-05,68,False
2018-08-12,23,False
2018-08-19,46,False
2018-08-26,47,False
2018-09-02,47,False
2018-09-09,24,False
2018-09-16,24,False
2018-09-23,36,False
2018-09-30,50,False
2018-10-07,25,False
2018-10-14,36,False
2018-10-21,35,False
2018-10-28,23,False
2018-11-04,0,False
2018-11-11,47,False
2018-11-18,46,False
2018-11-25,24,False
2018-12-02,46,False
2018-12-09,47,False
2018-12-16,49,False
2018-12-23,53,False
2018-12-30,24,False
2019-01-06,55,False
2019-01-13,22,False
2019-01-20,100,False
2019-01-27,0,False
2019-02-03,34,False
2019-02-10,23,False
2019-02-17,81,False
2019-02-24,47,False
2019-03-03,34,False
2019-03-10,56,False
2019-03-17,35,False
2019-03-24,47,False
2019-03-31,47,False
2019-04-07,24,False
2019-04-14,52,False
2019-04-21,72,False
2019-04-28,34,False
2019-05-05,67,False
2019-05-12,46,False
2019-05-19,0,False
2019-05-26,23,False
2019-06-02,66,False
2019-06-09,23,False
2019-06-16,23,False
2019-06-23,69,False
2019-06-30,68,False
2019-07-07,0,False
2019-07-14,0,False
2019-07-21,50,False
2019-07-28,48,False
2019-08-04,23,False
2019-08-11,21,False
2019-08-18,44,False
2019-08-25,22,False
2019-09-01,21,False
2019-09-08,22,False
2019-09-15,33,False
2019-09-22,44,False
2019-09-29,33,False
2019-10-06,22,False
2019-10-13,33,False
2019-10-20,43,False
2019-10-27,64,False
2019-11-03,21,False
2019-11-10,41,False
2019-11-17,53,False
2019-11-24,61,False
2019-12-01,31,False
2019-12-08,41,False
2019-12-15,21,False
2019-12-22,46,False
2019-12-29,0,False
2020-01-05,20,False
2020-01-12,29,False
2020-01-19,40,False
2020-01-26,40,False
2020-02-02,40,False
2020-02-09,20,False
2020-02-16,80,False
2020-02-23,0,False
2020-03-01,40,False
2020-03-08,37,False
2020-03-15,28,False
2020-03-22,28,False
2020-03-29,0,False
2020-04-05,0,False
2020-04-12,38,False
2020-04-19,28,False
2020-04-26,54,False
2020-05-03,36,False
2020-05-10,36,False
