date,Heizung Wasser,isPartial
2018-01-07,43,False
2018-01-14,43,False
2018-01-21,43,False
2018-01-28,22,False
2018-02-04,22,False
2018-02-11,44,False
2018-02-18,44,False
2018-02-25,44,False
2018-03-04,43,False
2018-03-11,50,False
2018-03-18,22,False
2018-03-25,71,False
2018-04-01,48,False
2018-04-08,0,False
2018-04-15,36,False
2018-04-22,23,False
2018-04-29,32,False
2018-05-06,23,False
2018-05-13,45,False
2018-05-20,46,False
2018-05-27,23,False
2018-06-03,31,False
2018-06-10,45,False
2018-06-17,0,False
2018-06-24,72,False
2018-07-01,24,False
2018-07-08,36,False
2018-07-15,40,False
2018-07-22,48,False
2018-07-29,35,False
2018-08-05,23,False
2018-08-12,23,False
2018-08-19,23,False
2018-08-26,22,False
2018-09-02,52,False
2018-09-09,30,False
2018-09-16,38,False
2018-09-23,53,False
2018-09-30,72,False
2018-10-07,58,False
2018-10-14,55,False
2018-10-21,51,False
2018-10-28,43,False
2018-11-04,64,False
2018-11-11,37,False
2018-11-18,73,False
2018-11-25,47,False
2018-12-02,54,False
2018-12-09,23,False
2018-12-16,35,False
2018-12-23,100,False
2018-12-30,66,False
2019-01-06,34,False
2019-01-13,58,False
2019-01-20,53,False
2019-01-27,36,False
2019-02-03,33,False
2019-02-10,29,False
2019-02-17,33,False
2019-02-24,55,False
2019-03-03,65,False
2019-03-10,32,False
2019-03-17,37,False
2019-03-24,22,False
2019-03-31,33,False
2019-04-07,22,False
2019-04-14,35,False
2019-04-21,47,False
2019-04-28,30,False
2019-05-05,42,False
2019-05-12,29,False
2019-05-19,21,False
2019-05-26,0,False
2019-06-02,43,False
2019-06-09,0,False
2019-06-16,45,False
2019-06-23,0,False
2019-06-30,35,False
2019-07-07,45,False
2019-07-14,23,False
2019-07-21,61,False
2019-07-28,36,False
2019-08-04,23,False
2019-08-11,43,False
2019-08-18,43,False
2019-08-25,22,False
2019-09-01,21,False
2019-09-08,44,False
2019-09-15,44,False
2019-09-22,29,False
2019-09-29,46,False
2019-10-06,72,False
2019-10-13,31,False
2019-10-20,41,False
2019-10-27,54,False
2019-11-03,27,False
2019-11-10,50,False
2019-11-17,48,False
2019-11-24,27,False
2019-12-01,41,False
2019-12-08,61,False
2019-12-15,52,False
2019-12-22,25,False
2019-12-29,39,False
2020-01-05,34,False
2020-01-12,39,False
2020-01-19,39,False
2020-01-26,19,False
2020-02-02,29,False
2020-02-09,38,False
2020-02-16,30,False
2020-02-23,29,False
2020-03-01,32,False
2020-03-08,46,False
2020-03-15,30,False
2020-03-22,36,False
2020-03-29,54,False
2020-04-05,40,False
2020-04-12,25,False
2020-04-19,18,False
2020-04-26,37,False
2020-05-03,49,False
2020-05-10,31,False
