date,Heizung Wasser,isPartial
2018-01-07,52,False
2018-01-14,30,False
2018-01-21,41,False
2018-01-28,31,False
2018-02-04,32,False
2018-02-11,47,False
2018-02-18,47,False
2018-02-25,53,False
2018-03-04,32,False
2018-03-11,16,False
2018-03-18,27,False
2018-03-25,28,False
2018-04-01,28,False
2018-04-08,41,False
2018-04-15,33,False
2018-04-22,32,False
2018-04-29,25,False
2018-05-06,25,False
2018-05-13,16,False
2018-05-20,18,False
2018-05-27,23,False
2018-06-03,16,False
2018-06-10,31,False
2018-06-17,32,False
2018-06-24,24,False
2018-07-01,32,False
2018-07-08,32,False
2018-07-15,24,False
2018-07-22,16,False
2018-07-29,34,False
2018-08-05,17,False
2018-08-12,24,False
2018-08-19,36,False
2018-08-26,23,False
2018-09-02,17,False
2018-09-09,25,False
2018-09-16,16,False
2018-09-23,38,False
2018-09-30,38,False
2018-10-07,56,False
2018-10-14,32,False
2018-10-21,56,False
2018-10-28,100,False
2018-11-04,46,False
2018-11-11,31,False
2018-11-18,67,False
2018-11-25,20,False
2018-12-02,23,False
2018-12-09,30,False
2018-12-16,42,False
2018-12-23,55,False
2018-12-30,27,False
2019-01-06,29,False
2019-01-13,34,False
2019-01-20,64,False
2019-01-27,36,False
2019-02-03,53,False
2019-02-10,30,False
2019-02-17,45,False
2019-02-24,30,False
2019-03-03,30,False
2019-03-10,22,False
2019-03-17,30,False
2019-03-24,30,False
2019-03-31,20,False
2019-04-07,30,False
2019-04-14,27,False
2019-04-21,16,False
2019-04-28,46,False
2019-05-05,24,False
2019-05-12,37,False
2019-05-19,0,False
2019-05-26,46,False
2019-06-02,23,False
2019-06-09,37,False
2019-06-16,26,False
2019-06-23,15,False
2019-06-30,15,False
2019-07-07,29,False
2019-07-14,15,False
2019-07-21,0,False
2019-07-28,48,False
2019-08-04,0,False
2019-08-11,40,False
2019-08-18,39,False
2019-08-25,33,False
2019-09-01,36,False
2019-09-08,38,False
2019-09-15,20,False
2019-09-22,44,False
2019-09-29,50,False
2019-10-06,53,False
2019-10-13,19,False
2019-10-20,42,False
2019-10-27,90,False
2019-11-03,76,False
2019-11-10,51,False
2019-11-17,46,False
2019-11-24,63,False
2019-12-01,61,False
2019-12-08,50,False
2019-12-15,57,False
2019-12-22,33,False
2019-12-29,62,False
2020-01-05,46,False
2020-01-12,35,False
2020-01-19,40,False
2020-01-26,26,False
2020-02-02,66,False
2020-02-09,31,False
2020-02-16,34,False
2020-02-23,31,False
2020-03-01,34,False
2020-03-08,20,False
2020-03-15,30,False
2020-03-22,19,False
2020-03-29,28,False
2020-04-05,30,False
2020-04-12,33,False
2020-04-19,24,False
2020-04-26,15,False
2020-05-03,24,False
2020-05-10,23,False
