date,torte per bambini,isPartial
2018-01-07,32,False
2018-01-14,32,False
2018-01-21,62,False
2018-01-28,0,False
2018-02-04,62,False
2018-02-11,63,False
2018-02-18,46,False
2018-02-25,75,False
2018-03-04,73,False
2018-03-11,60,False
2018-03-18,91,False
2018-03-25,0,False
2018-04-01,33,False
2018-04-08,45,False
2018-04-15,46,False
2018-04-22,0,False
2018-04-29,62,False
2018-05-06,92,False
2018-05-13,30,False
2018-05-20,30,False
2018-05-27,61,False
2018-06-03,62,False
2018-06-10,0,False
2018-06-17,31,False
2018-06-24,0,False
2018-07-01,31,False
2018-07-08,31,False
2018-07-15,63,False
2018-07-22,32,False
2018-07-29,34,False
2018-08-05,37,False
2018-08-12,83,False
2018-08-19,40,False
2018-08-26,98,False
2018-09-02,44,False
2018-09-09,29,False
2018-09-16,29,False
2018-09-23,89,False
2018-09-30,44,False
2018-10-07,60,False
2018-10-14,30,False
2018-10-21,73,False
2018-10-28,29,False
2018-11-04,56,False
2018-11-11,44,False
2018-11-18,57,False
2018-11-25,59,False
2018-12-02,59,False
2018-12-09,0,False
2018-12-16,30,False
2018-12-23,36,False
2018-12-30,51,False
2019-01-06,45,False
2019-01-13,71,False
2019-01-20,85,False
2019-01-27,0,False
2019-02-03,71,False
2019-02-10,56,False
2019-02-17,29,False
2019-02-24,59,False
2019-03-03,29,False
2019-03-10,73,False
2019-03-17,30,False
2019-03-24,0,False
2019-03-31,30,False
2019-04-07,0,False
2019-04-14,31,False
2019-04-21,67,False
2019-04-28,31,False
2019-05-05,0,False
2019-05-12,29,False
2019-05-19,43,False
2019-05-26,28,False
2019-06-02,60,False
2019-06-09,59,False
2019-06-16,30,False
2019-06-23,94,False
2019-06-30,31,False
2019-07-07,31,False
2019-07-14,31,False
2019-07-21,48,False
2019-07-28,0,False
2019-08-04,36,False
2019-08-11,81,False
2019-08-18,75,False
2019-08-25,33,False
2019-09-01,0,False
2019-09-08,58,False
2019-09-15,56,False
2019-09-22,83,False
2019-09-29,55,False
2019-10-06,56,False
2019-10-13,56,False
2019-10-20,53,False
2019-10-27,68,False
2019-11-03,40,False
2019-11-10,54,False
2019-11-17,27,False
2019-11-24,26,False
2019-12-01,27,False
2019-12-08,28,False
2019-12-15,70,False
2019-12-22,34,False
2019-12-29,0,False
2020-01-05,41,False
2020-01-12,25,False
2020-01-19,40,False
2020-01-26,25,False
2020-02-02,25,False
2020-02-09,26,False
2020-02-16,0,False
2020-02-23,24,False
2020-03-01,24,False
2020-03-08,24,False
2020-03-15,25,False
2020-03-22,70,False
2020-03-29,48,False
2020-04-05,37,False
2020-04-12,100,False
2020-04-19,60,False
2020-04-26,81,True
