date,giradischi,isPartial
2018-01-07,43,False
2018-01-14,17,False
2018-01-21,51,False
2018-01-28,94,False
2018-02-04,17,False
2018-02-11,87,False
2018-02-18,44,False
2018-02-25,27,False
2018-03-04,63,False
2018-03-11,45,False
2018-03-18,55,False
2018-03-25,59,False
2018-04-01,30,False
2018-04-08,36,False
2018-04-15,18,False
2018-04-22,57,False
2018-04-29,56,False
2018-05-06,38,False
2018-05-13,55,False
2018-05-20,19,False
2018-05-27,19,False
2018-06-03,76,False
2018-06-10,0,False
2018-06-17,27,False
2018-06-24,18,False
2018-07-01,74,False
2018-07-08,36,False
2018-07-15,28,False
2018-07-22,0,False
2018-07-29,17,False
2018-08-05,34,False
2018-08-12,35,False
2018-08-19,24,False
2018-08-26,34,False
2018-09-02,26,False
2018-09-09,71,False
2018-09-16,51,False
2018-09-23,26,False
2018-09-30,52,False
2018-10-07,27,False
2018-10-14,36,False
2018-10-21,27,False
2018-10-28,26,False
2018-11-04,45,False
2018-11-11,38,False
2018-11-18,56,False
2018-11-25,46,False
2018-12-02,49,False
2018-12-09,48,False
2018-12-16,50,False
2018-12-23,73,False
2018-12-30,64,False
2019-01-06,62,False
2019-01-13,70,False
2019-01-20,67,False
2019-01-27,77,False
2019-02-03,59,False
2019-02-10,43,False
2019-02-17,43,False
2019-02-24,69,False
2019-03-03,18,False
2019-03-10,35,False
2019-03-17,35,False
2019-03-24,61,False
2019-03-31,86,False
2019-04-07,36,False
2019-04-14,63,False
2019-04-21,93,False
2019-04-28,53,False
2019-05-05,52,False
2019-05-12,42,False
2019-05-19,17,False
2019-05-26,16,False
2019-06-02,35,False
2019-06-09,36,False
2019-06-16,19,False
2019-06-23,18,False
2019-06-30,19,False
2019-07-07,45,False
2019-07-14,53,False
2019-07-21,45,False
2019-07-28,45,False
2019-08-04,52,False
2019-08-11,27,False
2019-08-18,16,False
2019-08-25,64,False
2019-09-01,78,False
2019-09-08,17,False
2019-09-15,25,False
2019-09-22,25,False
2019-09-29,59,False
2019-10-06,17,False
2019-10-13,52,False
2019-10-20,16,False
2019-10-27,42,False
2019-11-03,25,False
2019-11-10,34,False
2019-11-17,43,False
2019-11-24,17,False
2019-12-01,78,False
2019-12-08,53,False
2019-12-15,89,False
2019-12-22,77,False
2019-12-29,100,False
2020-01-05,51,False
2020-01-12,57,False
2020-01-19,33,False
2020-01-26,41,False
2020-02-02,16,False
2020-02-09,33,False
2020-02-16,58,False
2020-02-23,32,False
2020-03-01,46,False
2020-03-08,64,False
2020-03-15,48,False
2020-03-22,39,False
2020-03-29,53,False
2020-04-05,64,False
2020-04-12,29,False
2020-04-19,66,False
2020-04-26,35,True
