date,giradischi,isPartial
2018-01-07,59,False
2018-01-14,58,False
2018-01-21,52,False
2018-01-28,49,False
2018-02-04,45,False
2018-02-11,54,False
2018-02-18,49,False
2018-02-25,46,False
2018-03-04,54,False
2018-03-11,48,False
2018-03-18,57,False
2018-03-25,39,False
2018-04-01,40,False
2018-04-08,42,False
2018-04-15,39,False
2018-04-22,47,False
2018-04-29,46,False
2018-05-06,37,False
2018-05-13,35,False
2018-05-20,31,False
2018-05-27,32,False
2018-06-03,37,False
2018-06-10,26,False
2018-06-17,32,False
2018-06-24,29,False
2018-07-01,27,False
2018-07-08,30,False
2018-07-15,30,False
2018-07-22,31,False
2018-07-29,24,False
2018-08-05,24,False
2018-08-12,26,False
2018-08-19,32,False
2018-08-26,35,False
2018-09-02,31,False
2018-09-09,42,False
2018-09-16,28,False
2018-09-23,30,False
2018-09-30,34,False
2018-10-07,38,False
2018-10-14,42,False
2018-10-21,33,False
2018-10-28,43,False
2018-11-04,34,False
2018-11-11,56,False
2018-11-18,56,False
2018-11-25,46,False
2018-12-02,58,False
2018-12-09,76,False
2018-12-16,67,False
2018-12-23,78,False
2018-12-30,57,False
2019-01-06,52,False
2019-01-13,54,False
2019-01-20,52,False
2019-01-27,49,False
2019-02-03,45,False
2019-02-10,58,False
2019-02-17,42,False
2019-02-24,45,False
2019-03-03,45,False
2019-03-10,46,False
2019-03-17,39,False
2019-03-24,33,False
2019-03-31,41,False
2019-04-07,44,False
2019-04-14,41,False
2019-04-21,37,False
2019-04-28,38,False
2019-05-05,33,False
2019-05-12,31,False
2019-05-19,31,False
2019-05-26,34,False
2019-06-02,24,False
2019-06-09,23,False
2019-06-16,25,False
2019-06-23,22,False
2019-06-30,24,False
2019-07-07,26,False
2019-07-14,26,False
2019-07-21,21,False
2019-07-28,29,False
2019-08-04,23,False
2019-08-11,22,False
2019-08-18,25,False
2019-08-25,27,False
2019-09-01,29,False
2019-09-08,31,False
2019-09-15,28,False
2019-09-22,34,False
2019-09-29,36,False
2019-10-06,27,False
2019-10-13,35,False
2019-10-20,30,False
2019-10-27,35,False
2019-11-03,33,False
2019-11-10,44,False
2019-11-17,44,False
2019-11-24,52,False
2019-12-01,58,False
2019-12-08,63,False
2019-12-15,59,False
2019-12-22,100,False
2019-12-29,54,False
2020-01-05,50,False
2020-01-12,45,False
2020-01-19,44,False
2020-01-26,39,False
2020-02-02,40,False
2020-02-09,43,False
2020-02-16,39,False
2020-02-23,36,False
2020-03-01,46,False
2020-03-08,29,False
2020-03-15,35,False
2020-03-22,36,False
2020-03-29,49,False
2020-04-05,41,False
2020-04-12,43,False
2020-04-19,43,False
2020-04-26,35,True
