date,Badsanierung,isPartial
2018-01-07,22,False
2018-01-14,30,False
2018-01-21,33,False
2018-01-28,67,False
2018-02-04,45,False
2018-02-11,45,False
2018-02-18,34,False
2018-02-25,30,False
2018-03-04,30,False
2018-03-11,59,False
2018-03-18,46,False
2018-03-25,37,False
2018-04-01,33,False
2018-04-08,24,False
2018-04-15,50,False
2018-04-22,24,False
2018-04-29,61,False
2018-05-06,24,False
2018-05-13,23,False
2018-05-20,24,False
2018-05-27,24,False
2018-06-03,40,False
2018-06-10,0,False
2018-06-17,24,False
2018-06-24,25,False
2018-07-01,0,False
2018-07-08,33,False
2018-07-15,25,False
2018-07-22,25,False
2018-07-29,25,False
2018-08-05,24,False
2018-08-12,49,False
2018-08-19,47,False
2018-08-26,34,False
2018-09-02,34,False
2018-09-09,46,False
2018-09-16,0,False
2018-09-23,24,False
2018-09-30,58,False
2018-10-07,24,False
2018-10-14,23,False
2018-10-21,53,False
2018-10-28,45,False
2018-11-04,33,False
2018-11-11,34,False
2018-11-18,23,False
2018-11-25,72,False
2018-12-02,24,False
2018-12-09,24,False
2018-12-16,36,False
2018-12-23,0,False
2018-12-30,51,False
2019-01-06,47,False
2019-01-13,23,False
2019-01-20,37,False
2019-01-27,30,False
2019-02-03,45,False
2019-02-10,23,False
2019-02-17,38,False
2019-02-24,23,False
2019-03-03,23,False
2019-03-10,52,False
2019-03-17,46,False
2019-03-24,57,False
2019-03-31,56,False
2019-04-07,38,False
2019-04-14,24,False
2019-04-21,64,False
2019-04-28,46,False
2019-05-05,55,False
2019-05-12,0,False
2019-05-19,66,False
2019-05-26,93,False
2019-06-02,66,False
2019-06-09,46,False
2019-06-16,47,False
2019-06-23,0,False
2019-06-30,71,False
2019-07-07,24,False
2019-07-14,24,False
2019-07-21,25,False
2019-07-28,25,False
2019-08-04,23,False
2019-08-11,33,False
2019-08-18,45,False
2019-08-25,37,False
2019-09-01,44,False
2019-09-08,45,False
2019-09-15,46,False
2019-09-22,45,False
2019-09-29,47,False
2019-10-06,57,False
2019-10-13,43,False
2019-10-20,64,False
2019-10-27,42,False
2019-11-03,56,False
2019-11-10,62,False
2019-11-17,21,False
2019-11-24,21,False
2019-12-01,29,False
2019-12-08,21,False
2019-12-15,51,False
2019-12-22,38,False
2019-12-29,71,False
2020-01-05,100,False
2020-01-12,60,False
2020-01-19,48,False
2020-01-26,60,False
2020-02-02,40,False
2020-02-09,66,False
2020-02-16,62,False
2020-02-23,20,False
2020-03-01,20,False
2020-03-08,63,False
2020-03-15,38,False
2020-03-22,19,False
2020-03-29,19,False
2020-04-05,42,False
2020-04-12,40,False
2020-04-19,66,False
2020-04-26,19,False
2020-05-03,67,False
2020-05-10,19,False
