date,Badsanierung,isPartial
2018-01-07,40,False
2018-01-14,27,False
2018-01-21,27,False
2018-01-28,40,False
2018-02-04,0,False
2018-02-11,42,False
2018-02-18,83,False
2018-02-25,54,False
2018-03-04,28,False
2018-03-11,55,False
2018-03-18,55,False
2018-03-25,29,False
2018-04-01,29,False
2018-04-08,43,False
2018-04-15,0,False
2018-04-22,28,False
2018-04-29,29,False
2018-05-06,0,False
2018-05-13,56,False
2018-05-20,0,False
2018-05-27,29,False
2018-06-03,28,False
2018-06-10,27,False
2018-06-17,28,False
2018-06-24,29,False
2018-07-01,29,False
2018-07-08,29,False
2018-07-15,0,False
2018-07-22,29,False
2018-07-29,28,False
2018-08-05,27,False
2018-08-12,27,False
2018-08-19,42,False
2018-08-26,37,False
2018-09-02,56,False
2018-09-09,37,False
2018-09-16,56,False
2018-09-23,42,False
2018-09-30,30,False
2018-10-07,29,False
2018-10-14,0,False
2018-10-21,27,False
2018-10-28,27,False
2018-11-04,53,False
2018-11-11,40,False
2018-11-18,39,False
2018-11-25,27,False
2018-12-02,0,False
2018-12-09,27,False
2018-12-16,55,False
2018-12-23,0,False
2018-12-30,54,False
2019-01-06,25,False
2019-01-13,38,False
2019-01-20,100,False
2019-01-27,38,False
2019-02-03,25,False
2019-02-10,52,False
2019-02-17,26,False
2019-02-24,41,False
2019-03-03,26,False
2019-03-10,25,False
2019-03-17,27,False
2019-03-24,0,False
2019-03-31,40,False
2019-04-07,53,False
2019-04-14,28,False
2019-04-21,28,False
2019-04-28,27,False
2019-05-05,26,False
2019-05-12,40,False
2019-05-19,26,False
2019-05-26,26,False
2019-06-02,52,False
2019-06-09,26,False
2019-06-16,27,False
2019-06-23,0,False
2019-06-30,0,False
2019-07-07,0,False
2019-07-14,55,False
2019-07-21,29,False
2019-07-28,43,False
2019-08-04,27,False
2019-08-11,26,False
2019-08-18,0,False
2019-08-25,0,False
2019-09-01,26,False
2019-09-08,52,False
2019-09-15,0,False
2019-09-22,38,False
2019-09-29,39,False
2019-10-06,26,False
2019-10-13,37,False
2019-10-20,25,False
2019-10-27,48,False
2019-11-03,56,False
2019-11-10,24,False
2019-11-17,48,False
2019-11-24,24,False
2019-12-01,50,False
2019-12-08,41,False
2019-12-15,49,False
2019-12-22,0,False
2019-12-29,25,False
2020-01-05,70,False
2020-01-12,30,False
2020-01-19,35,False
2020-01-26,46,False
2020-02-02,23,False
2020-02-09,22,False
2020-02-16,64,False
2020-02-23,22,False
2020-03-01,23,False
2020-03-08,0,False
2020-03-15,20,False
2020-03-22,19,False
2020-03-29,0,False
2020-04-05,29,False
2020-04-12,20,False
2020-04-19,20,False
2020-04-26,19,False
2020-05-03,20,False
2020-05-10,20,False
