date,Fotografo di matrimonio,isPartial
2018-01-07,20,False
2018-01-14,20,False
2018-01-21,40,False
2018-01-28,100,False
2018-02-04,20,False
2018-02-11,0,False
2018-02-18,19,False
2018-02-25,0,False
2018-03-04,19,False
2018-03-11,0,False
2018-03-18,19,False
2018-03-25,0,False
2018-04-01,0,False
2018-04-08,59,False
2018-04-15,0,False
2018-04-22,21,False
2018-04-29,40,False
2018-05-06,39,False
2018-05-13,0,False
2018-05-20,20,False
2018-05-27,20,False
2018-06-03,40,False
2018-06-10,0,False
2018-06-17,30,False
2018-06-24,40,False
2018-07-01,0,False
2018-07-08,20,False
2018-07-15,20,False
2018-07-22,40,False
2018-07-29,41,False
2018-08-05,0,False
2018-08-12,0,False
2018-08-19,55,False
2018-08-26,30,False
2018-09-02,48,False
2018-09-09,39,False
2018-09-16,38,False
2018-09-23,19,False
2018-09-30,19,False
2018-10-07,20,False
2018-10-14,20,False
2018-10-21,29,False
2018-10-28,59,False
2018-11-04,47,False
2018-11-11,20,False
2018-11-18,29,False
2018-11-25,39,False
2018-12-02,20,False
2018-12-09,30,False
2018-12-16,42,False
2018-12-23,0,False
2018-12-30,76,False
2019-01-06,20,False
2019-01-13,39,False
2019-01-20,47,False
2019-01-27,18,False
2019-02-03,19,False
2019-02-10,19,False
2019-02-17,0,False
2019-02-24,19,False
2019-03-03,40,False
2019-03-10,0,False
2019-03-17,30,False
2019-03-24,80,False
2019-03-31,0,False
2019-04-07,19,False
2019-04-14,40,False
2019-04-21,42,False
2019-04-28,29,False
2019-05-05,38,False
2019-05-12,19,False
2019-05-19,38,False
2019-05-26,37,False
2019-06-02,58,False
2019-06-09,20,False
2019-06-16,29,False
2019-06-23,50,False
2019-06-30,61,False
2019-07-07,19,False
2019-07-14,20,False
2019-07-21,20,False
2019-07-28,20,False
2019-08-04,21,False
2019-08-11,22,False
2019-08-18,31,False
2019-08-25,19,False
2019-09-01,36,False
2019-09-08,19,False
2019-09-15,37,False
2019-09-22,0,False
2019-09-29,37,False
2019-10-06,37,False
2019-10-13,19,False
2019-10-20,45,False
2019-10-27,18,False
2019-11-03,18,False
2019-11-10,0,False
2019-11-17,35,False
2019-11-24,0,False
2019-12-01,18,False
2019-12-08,0,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,20,False
2020-01-05,18,False
2020-01-12,0,False
2020-01-19,17,False
2020-01-26,17,False
2020-02-02,25,False
2020-02-09,17,False
2020-02-16,17,False
2020-02-23,32,False
2020-03-01,16,False
2020-03-08,16,False
2020-03-15,16,False
2020-03-22,0,False
2020-03-29,0,False
2020-04-05,16,False
2020-04-12,16,False
2020-04-19,30,False
2020-04-26,0,True
