date,frasi matrimonio,isPartial
2018-01-07,12,False
2018-01-14,10,False
2018-01-21,11,False
2018-01-28,12,False
2018-02-04,13,False
2018-02-11,14,False
2018-02-18,13,False
2018-02-25,13,False
2018-03-04,12,False
2018-03-11,14,False
2018-03-18,18,False
2018-03-25,17,False
2018-04-01,24,False
2018-04-08,30,False
2018-04-15,38,False
2018-04-22,59,False
2018-04-29,48,False
2018-05-06,46,False
2018-05-13,57,False
2018-05-20,66,False
2018-05-27,83,False
2018-06-03,85,False
2018-06-10,86,False
2018-06-17,82,False
2018-06-24,87,False
2018-07-01,71,False
2018-07-08,63,False
2018-07-15,70,False
2018-07-22,70,False
2018-07-29,64,False
2018-08-05,64,False
2018-08-12,50,False
2018-08-19,73,False
2018-08-26,88,False
2018-09-02,100,False
2018-09-09,88,False
2018-09-16,80,False
2018-09-23,68,False
2018-09-30,54,False
2018-10-07,43,False
2018-10-14,32,False
2018-10-21,29,False
2018-10-28,16,False
2018-11-04,13,False
2018-11-11,8,False
2018-11-18,9,False
2018-11-25,14,False
2018-12-02,21,False
2018-12-09,20,False
2018-12-16,17,False
2018-12-23,17,False
2018-12-30,11,False
2019-01-06,8,False
2019-01-13,11,False
2019-01-20,10,False
2019-01-27,11,False
2019-02-03,10,False
2019-02-10,14,False
2019-02-17,12,False
2019-02-24,15,False
2019-03-03,13,False
2019-03-10,11,False
2019-03-17,19,False
2019-03-24,15,False
2019-03-31,21,False
2019-04-07,24,False
2019-04-14,24,False
2019-04-21,47,False
2019-04-28,46,False
2019-05-05,46,False
2019-05-12,48,False
2019-05-19,57,False
2019-05-26,55,False
2019-06-02,64,False
2019-06-09,69,False
2019-06-16,65,False
2019-06-23,75,False
2019-06-30,72,False
2019-07-07,55,False
2019-07-14,64,False
2019-07-21,66,False
2019-07-28,59,False
2019-08-04,54,False
2019-08-11,39,False
2019-08-18,52,False
2019-08-25,72,False
2019-09-01,94,False
2019-09-08,86,False
2019-09-15,72,False
2019-09-22,61,False
2019-09-29,46,False
2019-10-06,43,False
2019-10-13,32,False
2019-10-20,25,False
2019-10-27,14,False
2019-11-03,10,False
2019-11-10,9,False
2019-11-17,10,False
2019-11-24,11,False
2019-12-01,21,False
2019-12-08,20,False
2019-12-15,19,False
2019-12-22,20,False
2019-12-29,16,False
2020-01-05,9,False
2020-01-12,10,False
2020-01-19,14,False
2020-01-26,11,False
2020-02-02,13,False
2020-02-09,15,False
2020-02-16,15,False
2020-02-23,11,False
2020-03-01,13,False
2020-03-08,3,False
2020-03-15,4,False
2020-03-22,3,False
2020-03-29,6,False
2020-04-05,8,False
2020-04-12,6,False
2020-04-19,16,False
2020-04-26,14,True
