date,frasi matrimonio,isPartial
2018-01-07,5,False
2018-01-14,5,False
2018-01-21,14,False
2018-01-28,23,False
2018-02-04,10,False
2018-02-11,5,False
2018-02-18,10,False
2018-02-25,24,False
2018-03-04,15,False
2018-03-11,10,False
2018-03-18,20,False
2018-03-25,10,False
2018-04-01,27,False
2018-04-08,10,False
2018-04-15,42,False
2018-04-22,44,False
2018-04-29,11,False
2018-05-06,15,False
2018-05-13,56,False
2018-05-20,82,False
2018-05-27,62,False
2018-06-03,26,False
2018-06-10,100,False
2018-06-17,36,False
2018-06-24,20,False
2018-07-01,45,False
2018-07-08,15,False
2018-07-15,51,False
2018-07-22,57,False
2018-07-29,15,False
2018-08-05,48,False
2018-08-12,29,False
2018-08-19,26,False
2018-08-26,54,False
2018-09-02,54,False
2018-09-09,51,False
2018-09-16,95,False
2018-09-23,62,False
2018-09-30,51,False
2018-10-07,26,False
2018-10-14,37,False
2018-10-21,16,False
2018-10-28,5,False
2018-11-04,5,False
2018-11-11,16,False
2018-11-18,20,False
2018-11-25,0,False
2018-12-02,11,False
2018-12-09,5,False
2018-12-16,6,False
2018-12-23,0,False
2018-12-30,22,False
2019-01-06,15,False
2019-01-13,15,False
2019-01-20,14,False
2019-01-27,9,False
2019-02-03,19,False
2019-02-10,14,False
2019-02-17,19,False
2019-02-24,24,False
2019-03-03,10,False
2019-03-10,5,False
2019-03-17,25,False
2019-03-24,10,False
2019-03-31,0,False
2019-04-07,34,False
2019-04-14,20,False
2019-04-21,20,False
2019-04-28,66,False
2019-05-05,51,False
2019-05-12,77,False
2019-05-19,41,False
2019-05-26,77,False
2019-06-02,29,False
2019-06-09,34,False
2019-06-16,39,False
2019-06-23,30,False
2019-06-30,19,False
2019-07-07,69,False
2019-07-14,10,False
2019-07-21,20,False
2019-07-28,10,False
2019-08-04,11,False
2019-08-11,29,False
2019-08-18,47,False
2019-08-25,52,False
2019-09-01,68,False
2019-09-08,86,False
2019-09-15,53,False
2019-09-22,53,False
2019-09-29,46,False
2019-10-06,33,False
2019-10-13,37,False
2019-10-20,23,False
2019-10-27,5,False
2019-11-03,9,False
2019-11-10,13,False
2019-11-17,4,False
2019-11-24,13,False
2019-12-01,14,False
2019-12-08,19,False
2019-12-15,5,False
2019-12-22,11,False
2019-12-29,0,False
2020-01-05,4,False
2020-01-12,13,False
2020-01-19,4,False
2020-01-26,4,False
2020-02-02,9,False
2020-02-09,9,False
2020-02-16,0,False
2020-02-23,25,False
2020-03-01,8,False
2020-03-08,4,False
2020-03-15,8,False
2020-03-22,4,False
2020-03-29,7,False
2020-04-05,0,False
2020-04-12,8,False
2020-04-19,8,False
2020-04-26,20,True
