date,maquillaje novia,isPartial
2018-01-07,7,False
2018-01-14,7,False
2018-01-21,0,False
2018-01-28,0,False
2018-02-04,14,False
2018-02-11,11,False
2018-02-18,18,False
2018-02-25,7,False
2018-03-04,10,False
2018-03-11,13,False
2018-03-18,21,False
2018-03-25,0,False
2018-04-01,7,False
2018-04-08,10,False
2018-04-15,11,False
2018-04-22,10,False
2018-04-29,21,False
2018-05-06,10,False
2018-05-13,0,False
2018-05-20,10,False
2018-05-27,11,False
2018-06-03,21,False
2018-06-10,7,False
2018-06-17,7,False
2018-06-24,7,False
2018-07-01,7,False
2018-07-08,7,False
2018-07-15,7,False
2018-07-22,14,False
2018-07-29,0,False
2018-08-05,10,False
2018-08-12,14,False
2018-08-19,14,False
2018-08-26,7,False
2018-09-02,7,False
2018-09-09,17,False
2018-09-16,7,False
2018-09-23,0,False
2018-09-30,21,False
2018-10-07,17,False
2018-10-14,13,False
2018-10-21,31,False
2018-10-28,70,False
2018-11-04,7,False
2018-11-11,7,False
2018-11-18,0,False
2018-11-25,7,False
2018-12-02,7,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,8,False
2019-01-06,14,False
2019-01-13,0,False
2019-01-20,0,False
2019-01-27,13,False
2019-02-03,7,False
2019-02-10,14,False
2019-02-17,0,False
2019-02-24,0,False
2019-03-03,7,False
2019-03-10,14,False
2019-03-17,7,False
2019-03-24,7,False
2019-03-31,13,False
2019-04-07,10,False
2019-04-14,20,False
2019-04-21,0,False
2019-04-28,14,False
2019-05-05,14,False
2019-05-12,21,False
2019-05-19,7,False
2019-05-26,0,False
2019-06-02,0,False
2019-06-09,17,False
2019-06-16,0,False
2019-06-23,14,False
2019-06-30,10,False
2019-07-07,14,False
2019-07-14,7,False
2019-07-21,7,False
2019-07-28,14,False
2019-08-04,14,False
2019-08-11,0,False
2019-08-18,7,False
2019-08-25,19,False
2019-09-01,13,False
2019-09-08,9,False
2019-09-15,6,False
2019-09-22,16,False
2019-09-29,10,False
2019-10-06,13,False
2019-10-13,6,False
2019-10-20,22,False
2019-10-27,100,False
2019-11-03,6,False
2019-11-10,0,False
2019-11-17,6,False
2019-11-24,0,False
2019-12-01,6,False
2019-12-08,7,False
2019-12-15,6,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,0,False
2020-01-12,9,False
2020-01-19,11,False
2020-01-26,9,False
2020-02-02,12,False
2020-02-09,15,False
2020-02-16,6,False
2020-02-23,12,False
2020-03-01,17,False
2020-03-08,17,False
2020-03-15,5,False
2020-03-22,0,False
2020-03-29,5,False
2020-04-05,5,False
2020-04-12,0,True
