date,Maquillaje Novia,isPartial
2018-01-07,3,False
2018-01-14,6,False
2018-01-21,8,False
2018-01-28,11,False
2018-02-04,13,False
2018-02-11,5,False
2018-02-18,7,False
2018-02-25,9,False
2018-03-04,10,False
2018-03-11,11,False
2018-03-18,8,False
2018-03-25,8,False
2018-04-01,9,False
2018-04-08,9,False
2018-04-15,5,False
2018-04-22,9,False
2018-04-29,7,False
2018-05-06,9,False
2018-05-13,11,False
2018-05-20,5,False
2018-05-27,7,False
2018-06-03,9,False
2018-06-10,11,False
2018-06-17,9,False
2018-06-24,6,False
2018-07-01,11,False
2018-07-08,5,False
2018-07-15,9,False
2018-07-22,10,False
2018-07-29,4,False
2018-08-05,9,False
2018-08-12,5,False
2018-08-19,10,False
2018-08-26,12,False
2018-09-02,8,False
2018-09-09,7,False
2018-09-16,7,False
2018-09-23,5,False
2018-09-30,10,False
2018-10-07,11,False
2018-10-14,14,False
2018-10-21,27,False
2018-10-28,81,False
2018-11-04,7,False
2018-11-11,4,False
2018-11-18,5,False
2018-11-25,7,False
2018-12-02,2,False
2018-12-09,5,False
2018-12-16,7,False
2018-12-23,2,False
2018-12-30,3,False
2019-01-06,2,False
2019-01-13,5,False
2019-01-20,5,False
2019-01-27,7,False
2019-02-03,4,False
2019-02-10,4,False
2019-02-17,10,False
2019-02-24,7,False
2019-03-03,8,False
2019-03-10,6,False
2019-03-17,9,False
2019-03-24,8,False
2019-03-31,6,False
2019-04-07,9,False
2019-04-14,5,False
2019-04-21,7,False
2019-04-28,6,False
2019-05-05,5,False
2019-05-12,12,False
2019-05-19,9,False
2019-05-26,8,False
2019-06-02,5,False
2019-06-09,6,False
2019-06-16,4,False
2019-06-23,6,False
2019-06-30,5,False
2019-07-07,12,False
2019-07-14,8,False
2019-07-21,6,False
2019-07-28,8,False
2019-08-04,5,False
2019-08-11,10,False
2019-08-18,2,False
2019-08-25,9,False
2019-09-01,5,False
2019-09-08,4,False
2019-09-15,11,False
2019-09-22,5,False
2019-09-29,8,False
2019-10-06,7,False
2019-10-13,9,False
2019-10-20,25,False
2019-10-27,100,False
2019-11-03,7,False
2019-11-10,2,False
2019-11-17,4,False
2019-11-24,3,False
2019-12-01,2,False
2019-12-08,4,False
2019-12-15,5,False
2019-12-22,3,False
2019-12-29,4,False
2020-01-05,3,False
2020-01-12,4,False
2020-01-19,2,False
2020-01-26,5,False
2020-02-02,4,False
2020-02-09,10,False
2020-02-16,8,False
2020-02-23,11,False
2020-03-01,6,False
2020-03-08,2,False
2020-03-15,3,False
2020-03-22,2,False
2020-03-29,3,False
2020-04-05,2,False
2020-04-12,2,True
