date,maquillaje novia,isPartial
2018-01-07,4,False
2018-01-14,9,False
2018-01-21,8,False
2018-01-28,9,False
2018-02-04,11,False
2018-02-11,8,False
2018-02-18,9,False
2018-02-25,6,False
2018-03-04,8,False
2018-03-11,9,False
2018-03-18,6,False
2018-03-25,8,False
2018-04-01,6,False
2018-04-08,6,False
2018-04-15,2,False
2018-04-22,8,False
2018-04-29,12,False
2018-05-06,8,False
2018-05-13,10,False
2018-05-20,6,False
2018-05-27,6,False
2018-06-03,6,False
2018-06-10,9,False
2018-06-17,3,False
2018-06-24,7,False
2018-07-01,7,False
2018-07-08,6,False
2018-07-15,11,False
2018-07-22,5,False
2018-07-29,3,False
2018-08-05,8,False
2018-08-12,5,False
2018-08-19,10,False
2018-08-26,9,False
2018-09-02,6,False
2018-09-09,6,False
2018-09-16,6,False
2018-09-23,6,False
2018-09-30,7,False
2018-10-07,11,False
2018-10-14,11,False
2018-10-21,27,False
2018-10-28,73,False
2018-11-04,5,False
2018-11-11,4,False
2018-11-18,6,False
2018-11-25,7,False
2018-12-02,4,False
2018-12-09,5,False
2018-12-16,6,False
2018-12-23,0,False
2018-12-30,2,False
2019-01-06,3,False
2019-01-13,4,False
2019-01-20,4,False
2019-01-27,9,False
2019-02-03,7,False
2019-02-10,4,False
2019-02-17,8,False
2019-02-24,6,False
2019-03-03,6,False
2019-03-10,4,False
2019-03-17,11,False
2019-03-24,5,False
2019-03-31,9,False
2019-04-07,6,False
2019-04-14,6,False
2019-04-21,7,False
2019-04-28,5,False
2019-05-05,10,False
2019-05-12,10,False
2019-05-19,11,False
2019-05-26,9,False
2019-06-02,4,False
2019-06-09,9,False
2019-06-16,4,False
2019-06-23,6,False
2019-06-30,6,False
2019-07-07,8,False
2019-07-14,6,False
2019-07-21,5,False
2019-07-28,7,False
2019-08-04,7,False
2019-08-11,8,False
2019-08-18,4,False
2019-08-25,10,False
2019-09-01,8,False
2019-09-08,8,False
2019-09-15,8,False
2019-09-22,10,False
2019-09-29,6,False
2019-10-06,10,False
2019-10-13,9,False
2019-10-20,21,False
2019-10-27,100,False
2019-11-03,6,False
2019-11-10,2,False
2019-11-17,4,False
2019-11-24,4,False
2019-12-01,3,False
2019-12-08,2,False
2019-12-15,2,False
2019-12-22,2,False
2019-12-29,6,False
2020-01-05,6,False
2020-01-12,5,False
2020-01-19,2,False
2020-01-26,4,False
2020-02-02,2,False
2020-02-09,11,False
2020-02-16,12,False
2020-02-23,10,False
2020-03-01,4,False
2020-03-08,2,False
2020-03-15,1,False
2020-03-22,2,False
2020-03-29,3,False
2020-04-05,4,False
2020-04-12,3,True
