date,pelouse artificielle,isPartial
2018-01-07,0,False
2018-01-14,30,False
2018-01-21,0,False
2018-01-28,30,False
2018-02-04,30,False
2018-02-11,0,False
2018-02-18,32,False
2018-02-25,32,False
2018-03-04,62,False
2018-03-11,0,False
2018-03-18,47,False
2018-03-25,0,False
2018-04-01,32,False
2018-04-08,0,False
2018-04-15,50,False
2018-04-22,65,False
2018-04-29,80,False
2018-05-06,67,False
2018-05-13,31,False
2018-05-20,63,False
2018-05-27,30,False
2018-06-03,30,False
2018-06-10,0,False
2018-06-17,90,False
2018-06-24,31,False
2018-07-01,30,False
2018-07-08,32,False
2018-07-15,35,False
2018-07-22,35,False
2018-07-29,72,False
2018-08-05,39,False
2018-08-12,40,False
2018-08-19,36,False
2018-08-26,33,False
2018-09-02,47,False
2018-09-09,61,False
2018-09-16,0,False
2018-09-23,0,False
2018-09-30,46,False
2018-10-07,0,False
2018-10-14,0,False
2018-10-21,30,False
2018-10-28,0,False
2018-11-04,0,False
2018-11-11,0,False
2018-11-18,30,False
2018-11-25,31,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,35,False
2019-01-06,0,False
2019-01-13,31,False
2019-01-20,30,False
2019-01-27,0,False
2019-02-03,43,False
2019-02-10,30,False
2019-02-17,0,False
2019-02-24,0,False
2019-03-03,30,False
2019-03-10,0,False
2019-03-17,32,False
2019-03-24,33,False
2019-03-31,32,False
2019-04-07,32,False
2019-04-14,49,False
2019-04-21,0,False
2019-04-28,45,False
2019-05-05,100,False
2019-05-12,65,False
2019-05-19,0,False
2019-05-26,66,False
2019-06-02,59,False
2019-06-09,0,False
2019-06-16,96,False
2019-06-23,32,False
2019-06-30,32,False
2019-07-07,33,False
2019-07-14,35,False
2019-07-21,0,False
2019-07-28,39,False
2019-08-04,41,False
2019-08-11,43,False
2019-08-18,40,False
2019-08-25,0,False
2019-09-01,32,False
2019-09-08,31,False
2019-09-15,0,False
2019-09-22,30,False
2019-09-29,0,False
2019-10-06,31,False
2019-10-13,31,False
2019-10-20,47,False
2019-10-27,33,False
2019-11-03,0,False
2019-11-10,31,False
2019-11-17,0,False
2019-11-24,0,False
2019-12-01,0,False
2019-12-08,29,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,29,False
2020-01-12,0,False
2020-01-19,30,False
2020-01-26,0,False
2020-02-02,0,False
2020-02-09,30,False
2020-02-16,31,False
2020-02-23,0,False
2020-03-01,28,False
2020-03-08,0,False
2020-03-15,45,False
2020-03-22,40,False
2020-03-29,30,False
2020-04-05,30,False
2020-04-12,77,False
2020-04-19,45,False
2020-04-26,44,False
2020-05-03,42,False
2020-05-10,73,False
2020-05-17,51,False
2020-05-24,29,False
2020-05-31,55,False
2020-06-07,28,False
2020-06-14,44,False
2020-06-21,0,True
