date,pelouse artificielle,isPartial
2018-01-07,14,False
2018-01-14,9,False
2018-01-21,18,False
2018-01-28,28,False
2018-02-04,22,False
2018-02-11,15,False
2018-02-18,24,False
2018-02-25,22,False
2018-03-04,19,False
2018-03-11,28,False
2018-03-18,24,False
2018-03-25,25,False
2018-04-01,16,False
2018-04-08,19,False
2018-04-15,40,False
2018-04-22,29,False
2018-04-29,26,False
2018-05-06,40,False
2018-05-13,28,False
2018-05-20,32,False
2018-05-27,31,False
2018-06-03,22,False
2018-06-10,15,False
2018-06-17,13,False
2018-06-24,14,False
2018-07-01,21,False
2018-07-08,13,False
2018-07-15,24,False
2018-07-22,24,False
2018-07-29,38,False
2018-08-05,48,False
2018-08-12,67,False
2018-08-19,34,False
2018-08-26,19,False
2018-09-02,23,False
2018-09-09,24,False
2018-09-16,25,False
2018-09-23,14,False
2018-09-30,10,False
2018-10-07,10,False
2018-10-14,19,False
2018-10-21,19,False
2018-10-28,20,False
2018-11-04,9,False
2018-11-11,19,False
2018-11-18,15,False
2018-11-25,14,False
2018-12-02,9,False
2018-12-09,19,False
2018-12-16,10,False
2018-12-23,11,False
2018-12-30,17,False
2019-01-06,14,False
2019-01-13,0,False
2019-01-20,18,False
2019-01-27,18,False
2019-02-03,14,False
2019-02-10,19,False
2019-02-17,19,False
2019-02-24,35,False
2019-03-03,18,False
2019-03-10,19,False
2019-03-17,36,False
2019-03-24,35,False
2019-03-31,33,False
2019-04-07,35,False
2019-04-14,32,False
2019-04-21,19,False
2019-04-28,59,False
2019-05-05,25,False
2019-05-12,37,False
2019-05-19,49,False
2019-05-26,78,False
2019-06-02,61,False
2019-06-09,54,False
2019-06-16,28,False
2019-06-23,14,False
2019-06-30,40,False
2019-07-07,21,False
2019-07-14,16,False
2019-07-21,20,False
2019-07-28,20,False
2019-08-04,17,False
2019-08-11,30,False
2019-08-18,30,False
2019-08-25,31,False
2019-09-01,27,False
2019-09-08,31,False
2019-09-15,24,False
2019-09-22,26,False
2019-09-29,17,False
2019-10-06,17,False
2019-10-13,13,False
2019-10-20,18,False
2019-10-27,9,False
2019-11-03,8,False
2019-11-10,13,False
2019-11-17,0,False
2019-11-24,8,False
2019-12-01,12,False
2019-12-08,8,False
2019-12-15,8,False
2019-12-22,0,False
2019-12-29,18,False
2020-01-05,12,False
2020-01-12,13,False
2020-01-19,17,False
2020-01-26,19,False
2020-02-02,11,False
2020-02-09,16,False
2020-02-16,25,False
2020-02-23,28,False
2020-03-01,23,False
2020-03-08,15,False
2020-03-15,30,False
2020-03-22,39,False
2020-03-29,31,False
2020-04-05,44,False
2020-04-12,40,False
2020-04-19,83,False
2020-04-26,57,False
2020-05-03,48,False
2020-05-10,22,False
2020-05-17,44,False
2020-05-24,76,False
2020-05-31,43,False
2020-06-07,39,False
2020-06-14,28,False
2020-06-21,100,True
