date,castello matrimonio,isPartial
2018-01-07,0,False
2018-01-14,0,False
2018-01-21,28,False
2018-01-28,27,False
2018-02-04,41,False
2018-02-11,28,False
2018-02-18,0,False
2018-02-25,28,False
2018-03-04,28,False
2018-03-11,0,False
2018-03-18,0,False
2018-03-25,30,False
2018-04-01,31,False
2018-04-08,74,False
2018-04-15,0,False
2018-04-22,0,False
2018-04-29,31,False
2018-05-06,29,False
2018-05-13,59,False
2018-05-20,29,False
2018-05-27,44,False
2018-06-03,0,False
2018-06-10,29,False
2018-06-17,0,False
2018-06-24,0,False
2018-07-01,0,False
2018-07-08,29,False
2018-07-15,29,False
2018-07-22,30,False
2018-07-29,30,False
2018-08-05,61,False
2018-08-12,33,False
2018-08-19,30,False
2018-08-26,42,False
2018-09-02,71,False
2018-09-09,58,False
2018-09-16,29,False
2018-09-23,0,False
2018-09-30,29,False
2018-10-07,0,False
2018-10-14,31,False
2018-10-21,44,False
2018-10-28,57,False
2018-11-04,29,False
2018-11-11,30,False
2018-11-18,0,False
2018-11-25,0,False
2018-12-02,62,False
2018-12-09,0,False
2018-12-16,32,False
2018-12-23,70,False
2018-12-30,32,False
2019-01-06,29,False
2019-01-13,57,False
2019-01-20,27,False
2019-01-27,0,False
2019-02-03,0,False
2019-02-10,27,False
2019-02-17,27,False
2019-02-24,56,False
2019-03-03,56,False
2019-03-10,28,False
2019-03-17,0,False
2019-03-24,29,False
2019-03-31,28,False
2019-04-07,56,False
2019-04-14,29,False
2019-04-21,0,False
2019-04-28,55,False
2019-05-05,0,False
2019-05-12,26,False
2019-05-19,0,False
2019-05-26,0,False
2019-06-02,28,False
2019-06-09,28,False
2019-06-16,56,False
2019-06-23,28,False
2019-06-30,28,False
2019-07-07,57,False
2019-07-14,30,False
2019-07-21,0,False
2019-07-28,59,False
2019-08-04,31,False
2019-08-11,100,False
2019-08-18,0,False
2019-08-25,27,False
2019-09-01,52,False
2019-09-08,56,False
2019-09-15,28,False
2019-09-22,55,False
2019-09-29,27,False
2019-10-06,27,False
2019-10-13,81,False
2019-10-20,0,False
2019-10-27,53,False
2019-11-03,25,False
2019-11-10,26,False
2019-11-17,25,False
2019-11-24,26,False
2019-12-01,27,False
2019-12-08,27,False
2019-12-15,53,False
2019-12-22,0,False
2019-12-29,73,False
2020-01-05,0,False
2020-01-12,24,False
2020-01-19,50,False
2020-01-26,24,False
2020-02-02,0,False
2020-02-09,0,False
2020-02-16,25,False
2020-02-23,0,False
2020-03-01,0,False
2020-03-08,0,False
2020-03-15,0,False
2020-03-22,21,False
2020-03-29,21,False
2020-04-05,45,False
2020-04-12,23,False
2020-04-19,22,False
2020-04-26,0,True
