date,abito da cerimonia,isPartial
2018-01-07,0,False
2018-01-14,58,False
2018-01-21,42,False
2018-01-28,14,False
2018-02-04,14,False
2018-02-11,13,False
2018-02-18,57,False
2018-02-25,19,False
2018-03-04,50,False
2018-03-11,31,False
2018-03-18,45,False
2018-03-25,48,False
2018-04-01,49,False
2018-04-08,63,False
2018-04-15,52,False
2018-04-22,41,False
2018-04-29,39,False
2018-05-06,19,False
2018-05-13,57,False
2018-05-20,38,False
2018-05-27,39,False
2018-06-03,60,False
2018-06-10,100,False
2018-06-17,37,False
2018-06-24,53,False
2018-07-01,52,False
2018-07-08,13,False
2018-07-15,27,False
2018-07-22,27,False
2018-07-29,34,False
2018-08-05,29,False
2018-08-12,34,False
2018-08-19,35,False
2018-08-26,61,False
2018-09-02,19,False
2018-09-09,19,False
2018-09-16,24,False
2018-09-23,25,False
2018-09-30,19,False
2018-10-07,13,False
2018-10-14,57,False
2018-10-21,25,False
2018-10-28,12,False
2018-11-04,30,False
2018-11-11,19,False
2018-11-18,25,False
2018-11-25,13,False
2018-12-02,23,False
2018-12-09,26,False
2018-12-16,20,False
2018-12-23,0,False
2018-12-30,43,False
2019-01-06,21,False
2019-01-13,48,False
2019-01-20,20,False
2019-01-27,41,False
2019-02-03,68,False
2019-02-10,21,False
2019-02-17,35,False
2019-02-24,37,False
2019-03-03,29,False
2019-03-10,36,False
2019-03-17,36,False
2019-03-24,35,False
2019-03-31,21,False
2019-04-07,20,False
2019-04-14,21,False
2019-04-21,24,False
2019-04-28,55,False
2019-05-05,25,False
2019-05-12,33,False
2019-05-19,34,False
2019-05-26,26,False
2019-06-02,62,False
2019-06-09,48,False
2019-06-16,36,False
2019-06-23,58,False
2019-06-30,22,False
2019-07-07,27,False
2019-07-14,45,False
2019-07-21,37,False
2019-07-28,55,False
2019-08-04,17,False
2019-08-11,37,False
2019-08-18,35,False
2019-08-25,30,False
2019-09-01,59,False
2019-09-08,55,False
2019-09-15,13,False
2019-09-22,13,False
2019-09-29,20,False
2019-10-06,14,False
2019-10-13,20,False
2019-10-20,33,False
2019-10-27,13,False
2019-11-03,38,False
2019-11-10,19,False
2019-11-17,13,False
2019-11-24,20,False
2019-12-01,20,False
2019-12-08,0,False
2019-12-15,0,False
2019-12-22,17,False
2019-12-29,63,False
2020-01-05,27,False
2020-01-12,37,False
2020-01-19,45,False
2020-01-26,38,False
2020-02-02,37,False
2020-02-09,38,False
2020-02-16,13,False
2020-02-23,37,False
2020-03-01,49,False
2020-03-08,18,False
2020-03-15,12,False
2020-03-22,11,False
2020-03-29,12,False
2020-04-05,12,False
2020-04-12,12,False
2020-04-19,23,False
2020-04-26,0,True
