date,abito da cerimonia,isPartial
2018-01-07,0,False
2018-01-14,21,False
2018-01-21,59,False
2018-01-28,30,False
2018-02-04,29,False
2018-02-11,31,False
2018-02-18,21,False
2018-02-25,30,False
2018-03-04,51,False
2018-03-11,42,False
2018-03-18,21,False
2018-03-25,43,False
2018-04-01,0,False
2018-04-08,62,False
2018-04-15,66,False
2018-04-22,0,False
2018-04-29,0,False
2018-05-06,42,False
2018-05-13,32,False
2018-05-20,43,False
2018-05-27,64,False
2018-06-03,0,False
2018-06-10,21,False
2018-06-17,45,False
2018-06-24,47,False
2018-07-01,58,False
2018-07-08,46,False
2018-07-15,47,False
2018-07-22,49,False
2018-07-29,25,False
2018-08-05,0,False
2018-08-12,47,False
2018-08-19,29,False
2018-08-26,100,False
2018-09-02,47,False
2018-09-09,69,False
2018-09-16,45,False
2018-09-23,23,False
2018-09-30,23,False
2018-10-07,23,False
2018-10-14,23,False
2018-10-21,22,False
2018-10-28,33,False
2018-11-04,0,False
2018-11-11,22,False
2018-11-18,31,False
2018-11-25,0,False
2018-12-02,22,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,26,False
2018-12-30,0,False
2019-01-06,0,False
2019-01-13,21,False
2019-01-20,39,False
2019-01-27,19,False
2019-02-03,19,False
2019-02-10,19,False
2019-02-17,0,False
2019-02-24,41,False
2019-03-03,21,False
2019-03-10,21,False
2019-03-17,21,False
2019-03-24,31,False
2019-03-31,40,False
2019-04-07,20,False
2019-04-14,21,False
2019-04-21,34,False
2019-04-28,43,False
2019-05-05,41,False
2019-05-12,0,False
2019-05-19,20,False
2019-05-26,29,False
2019-06-02,0,False
2019-06-09,29,False
2019-06-16,41,False
2019-06-23,21,False
2019-06-30,41,False
2019-07-07,21,False
2019-07-14,63,False
2019-07-21,33,False
2019-07-28,46,False
2019-08-04,24,False
2019-08-11,0,False
2019-08-18,48,False
2019-08-25,53,False
2019-09-01,29,False
2019-09-08,30,False
2019-09-15,0,False
2019-09-22,29,False
2019-09-29,29,False
2019-10-06,20,False
2019-10-13,0,False
2019-10-20,37,False
2019-10-27,19,False
2019-11-03,37,False
2019-11-10,0,False
2019-11-17,18,False
2019-11-24,0,False
2019-12-01,0,False
2019-12-08,29,False
2019-12-15,19,False
2019-12-22,43,False
2019-12-29,0,False
2020-01-05,0,False
2020-01-12,43,False
2020-01-19,26,False
2020-01-26,26,False
2020-02-02,25,False
2020-02-09,26,False
2020-02-16,52,False
2020-02-23,32,False
2020-03-01,32,False
2020-03-08,15,False
2020-03-15,16,False
2020-03-22,0,False
2020-03-29,0,False
2020-04-05,0,False
2020-04-12,0,False
2020-04-19,15,False
2020-04-26,26,True
