date,abito da cerimonia,isPartial
2018-01-07,47,False
2018-01-14,0,False
2018-01-21,0,False
2018-01-28,46,False
2018-02-04,67,False
2018-02-11,0,False
2018-02-18,44,False
2018-02-25,66,False
2018-03-04,0,False
2018-03-11,94,False
2018-03-18,0,False
2018-03-25,0,False
2018-04-01,0,False
2018-04-08,48,False
2018-04-15,47,False
2018-04-22,98,False
2018-04-29,50,False
2018-05-06,47,False
2018-05-13,95,False
2018-05-20,94,False
2018-05-27,50,False
2018-06-03,0,False
2018-06-10,90,False
2018-06-17,0,False
2018-06-24,46,False
2018-07-01,0,False
2018-07-08,89,False
2018-07-15,0,False
2018-07-22,86,False
2018-07-29,41,False
2018-08-05,39,False
2018-08-12,65,False
2018-08-19,49,False
2018-08-26,78,False
2018-09-02,46,False
2018-09-09,49,False
2018-09-16,75,False
2018-09-23,48,False
2018-09-30,46,False
2018-10-07,50,False
2018-10-14,49,False
2018-10-21,0,False
2018-10-28,0,False
2018-11-04,96,False
2018-11-11,0,False
2018-11-18,0,False
2018-11-25,0,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,52,False
2018-12-23,0,False
2018-12-30,74,False
2019-01-06,72,False
2019-01-13,0,False
2019-01-20,90,False
2019-01-27,0,False
2019-02-03,69,False
2019-02-10,0,False
2019-02-17,95,False
2019-02-24,95,False
2019-03-03,99,False
2019-03-10,0,False
2019-03-17,49,False
2019-03-24,48,False
2019-03-31,0,False
2019-04-07,48,False
2019-04-14,51,False
2019-04-21,50,False
2019-04-28,73,False
2019-05-05,97,False
2019-05-12,0,False
2019-05-19,48,False
2019-05-26,45,False
2019-06-02,98,False
2019-06-09,0,False
2019-06-16,0,False
2019-06-23,48,False
2019-06-30,100,False
2019-07-07,0,False
2019-07-14,46,False
2019-07-21,0,False
2019-07-28,65,False
2019-08-04,40,False
2019-08-11,39,False
2019-08-18,38,False
2019-08-25,38,False
2019-09-01,64,False
2019-09-08,97,False
2019-09-15,98,False
2019-09-22,48,False
2019-09-29,48,False
2019-10-06,49,False
2019-10-13,51,False
2019-10-20,0,False
2019-10-27,0,False
2019-11-03,0,False
2019-11-10,49,False
2019-11-17,49,False
2019-11-24,47,False
2019-12-01,0,False
2019-12-08,0,False
2019-12-15,0,False
2019-12-22,50,False
2019-12-29,0,False
2020-01-05,93,False
2020-01-12,0,False
2020-01-19,45,False
2020-01-26,87,False
2020-02-02,43,False
2020-02-09,45,False
2020-02-16,0,False
2020-02-23,41,False
2020-03-01,83,False
2020-03-08,0,False
2020-03-15,0,False
2020-03-22,0,False
2020-03-29,35,False
2020-04-05,0,False
2020-04-12,38,False
2020-04-19,35,False
2020-04-26,0,True
