date,musica per matrimoni,isPartial
2018-01-07,34,False
2018-01-14,0,False
2018-01-21,33,False
2018-01-28,66,False
2018-02-04,98,False
2018-02-11,0,False
2018-02-18,32,False
2018-02-25,63,False
2018-03-04,32,False
2018-03-11,33,False
2018-03-18,66,False
2018-03-25,35,False
2018-04-01,36,False
2018-04-08,0,False
2018-04-15,34,False
2018-04-22,0,False
2018-04-29,51,False
2018-05-06,33,False
2018-05-13,33,False
2018-05-20,100,False
2018-05-27,0,False
2018-06-03,34,False
2018-06-10,65,False
2018-06-17,33,False
2018-06-24,34,False
2018-07-01,33,False
2018-07-08,33,False
2018-07-15,0,False
2018-07-22,0,False
2018-07-29,0,False
2018-08-05,0,False
2018-08-12,0,False
2018-08-19,37,False
2018-08-26,69,False
2018-09-02,33,False
2018-09-09,0,False
2018-09-16,0,False
2018-09-23,33,False
2018-09-30,0,False
2018-10-07,0,False
2018-10-14,0,False
2018-10-21,33,False
2018-10-28,49,False
2018-11-04,0,False
2018-11-11,0,False
2018-11-18,0,False
2018-11-25,0,False
2018-12-02,34,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,73,False
2019-01-06,50,False
2019-01-13,33,False
2019-01-20,47,False
2019-01-27,31,False
2019-02-03,0,False
2019-02-10,0,False
2019-02-17,0,False
2019-02-24,32,False
2019-03-03,0,False
2019-03-10,0,False
2019-03-17,0,False
2019-03-24,66,False
2019-03-31,33,False
2019-04-07,32,False
2019-04-14,0,False
2019-04-21,35,False
2019-04-28,33,False
2019-05-05,0,False
2019-05-12,32,False
2019-05-19,0,False
2019-05-26,31,False
2019-06-02,33,False
2019-06-09,33,False
2019-06-16,66,False
2019-06-23,34,False
2019-06-30,34,False
2019-07-07,0,False
2019-07-14,0,False
2019-07-21,34,False
2019-07-28,34,False
2019-08-04,35,False
2019-08-11,75,False
2019-08-18,0,False
2019-08-25,32,False
2019-09-01,60,False
2019-09-08,32,False
2019-09-15,30,False
2019-09-22,31,False
2019-09-29,31,False
2019-10-06,32,False
2019-10-13,31,False
2019-10-20,30,False
2019-10-27,30,False
2019-11-03,29,False
2019-11-10,30,False
2019-11-17,0,False
2019-11-24,30,False
2019-12-01,31,False
2019-12-08,62,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,69,False
2020-01-05,0,False
2020-01-12,28,False
2020-01-19,43,False
2020-01-26,0,False
2020-02-02,28,False
2020-02-09,29,False
2020-02-16,0,False
2020-02-23,27,False
2020-03-01,27,False
2020-03-08,26,False
2020-03-15,0,False
2020-03-22,73,False
2020-03-29,25,False
2020-04-05,0,False
2020-04-12,0,False
2020-04-19,25,False
2020-04-26,0,True
