date,Entsorgung Entrümpelung,isPartial
2018-01-07,0,False
2018-01-14,38,False
2018-01-21,0,False
2018-01-28,38,False
2018-02-04,39,False
2018-02-11,39,False
2018-02-18,77,False
2018-02-25,38,False
2018-03-04,38,False
2018-03-11,0,False
2018-03-18,77,False
2018-03-25,0,False
2018-04-01,82,False
2018-04-08,59,False
2018-04-15,40,False
2018-04-22,96,False
2018-04-29,0,False
2018-05-06,41,False
2018-05-13,39,False
2018-05-20,82,False
2018-05-27,40,False
2018-06-03,0,False
2018-06-10,37,False
2018-06-17,38,False
2018-06-24,0,False
2018-07-01,0,False
2018-07-08,39,False
2018-07-15,0,False
2018-07-22,80,False
2018-07-29,40,False
2018-08-05,40,False
2018-08-12,40,False
2018-08-19,100,False
2018-08-26,40,False
2018-09-02,0,False
2018-09-09,39,False
2018-09-16,39,False
2018-09-23,39,False
2018-09-30,52,False
2018-10-07,39,False
2018-10-14,39,False
2018-10-21,38,False
2018-10-28,38,False
2018-11-04,37,False
2018-11-11,38,False
2018-11-18,36,False
2018-11-25,0,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,88,False
2018-12-30,60,False
2019-01-06,36,False
2019-01-13,53,False
2019-01-20,88,False
2019-01-27,35,False
2019-02-03,71,False
2019-02-10,36,False
2019-02-17,0,False
2019-02-24,56,False
2019-03-03,36,False
2019-03-10,36,False
2019-03-17,38,False
2019-03-24,37,False
2019-03-31,37,False
2019-04-07,55,False
2019-04-14,40,False
2019-04-21,78,False
2019-04-28,55,False
2019-05-05,0,False
2019-05-12,55,False
2019-05-19,0,False
2019-05-26,38,False
2019-06-02,36,False
2019-06-09,56,False
2019-06-16,56,False
2019-06-23,75,False
2019-06-30,74,False
2019-07-07,49,False
2019-07-14,38,False
2019-07-21,53,False
2019-07-28,39,False
2019-08-04,39,False
2019-08-11,74,False
2019-08-18,38,False
2019-08-25,56,False
2019-09-01,36,False
2019-09-08,37,False
2019-09-15,74,False
2019-09-22,36,False
2019-09-29,36,False
2019-10-06,71,False
2019-10-13,35,False
2019-10-20,0,False
2019-10-27,0,False
2019-11-03,33,False
2019-11-10,79,False
2019-11-17,0,False
2019-11-24,33,False
2019-12-01,0,False
2019-12-08,34,False
2019-12-15,0,False
2019-12-22,79,False
2019-12-29,0,False
2020-01-05,49,False
2020-01-12,0,False
2020-01-19,33,False
2020-01-26,65,False
2020-02-02,65,False
2020-02-09,0,False
2020-02-16,98,False
2020-02-23,97,False
2020-03-01,42,False
2020-03-08,30,False
2020-03-15,29,False
2020-03-22,29,False
2020-03-29,39,False
2020-04-05,64,False
2020-04-12,30,False
2020-04-19,0,False
2020-04-26,39,False
2020-05-03,44,False
2020-05-10,39,False
