date,Baumschule,isPartial
2018-01-07,0,False
2018-01-14,9,False
2018-01-21,19,False
2018-01-28,24,False
2018-02-04,15,False
2018-02-11,39,False
2018-02-18,24,False
2018-02-25,10,False
2018-03-04,29,False
2018-03-11,24,False
2018-03-18,14,False
2018-03-25,47,False
2018-04-01,91,False
2018-04-08,49,False
2018-04-15,100,False
2018-04-22,79,False
2018-04-29,30,False
2018-05-06,36,False
2018-05-13,44,False
2018-05-20,46,False
2018-05-27,20,False
2018-06-03,20,False
2018-06-10,29,False
2018-06-17,19,False
2018-06-24,38,False
2018-07-01,31,False
2018-07-08,16,False
2018-07-15,27,False
2018-07-22,11,False
2018-07-29,46,False
2018-08-05,17,False
2018-08-12,12,False
2018-08-19,38,False
2018-08-26,31,False
2018-09-02,20,False
2018-09-09,15,False
2018-09-16,25,False
2018-09-23,45,False
2018-09-30,38,False
2018-10-07,46,False
2018-10-14,37,False
2018-10-21,42,False
2018-10-28,24,False
2018-11-04,14,False
2018-11-11,22,False
2018-11-18,9,False
2018-11-25,9,False
2018-12-02,9,False
2018-12-09,13,False
2018-12-16,28,False
2018-12-23,12,False
2018-12-30,22,False
2019-01-06,0,False
2019-01-13,28,False
2019-01-20,9,False
2019-01-27,0,False
2019-02-03,15,False
2019-02-10,14,False
2019-02-17,33,False
2019-02-24,33,False
2019-03-03,61,False
2019-03-10,82,False
2019-03-17,63,False
2019-03-24,48,False
2019-03-31,82,False
2019-04-07,28,False
2019-04-14,37,False
2019-04-21,31,False
2019-04-28,14,False
2019-05-05,60,False
2019-05-12,23,False
2019-05-19,37,False
2019-05-26,29,False
2019-06-02,44,False
2019-06-09,26,False
2019-06-16,30,False
2019-06-23,10,False
2019-06-30,15,False
2019-07-07,10,False
2019-07-14,11,False
2019-07-21,17,False
2019-07-28,11,False
2019-08-04,34,False
2019-08-11,34,False
2019-08-18,11,False
2019-08-25,26,False
2019-09-01,24,False
2019-09-08,15,False
2019-09-15,38,False
2019-09-22,32,False
2019-09-29,36,False
2019-10-06,31,False
2019-10-13,22,False
2019-10-20,18,False
2019-10-27,18,False
2019-11-03,30,False
2019-11-10,8,False
2019-11-17,13,False
2019-11-24,17,False
2019-12-01,17,False
2019-12-08,26,False
2019-12-15,9,False
2019-12-22,11,False
2019-12-29,22,False
2020-01-05,10,False
2020-01-12,13,False
2020-01-19,8,False
2020-01-26,8,False
2020-02-02,18,False
2020-02-09,22,False
2020-02-16,33,False
2020-02-23,36,False
2020-03-01,28,False
2020-03-08,31,False
2020-03-15,33,False
2020-03-22,30,False
2020-03-29,66,False
2020-04-05,24,False
2020-04-12,42,False
2020-04-19,80,False
2020-04-26,54,False
2020-05-03,53,False
2020-05-10,43,False
2020-05-17,59,False
2020-05-24,34,False
2020-05-31,34,False
2020-06-07,39,False
2020-06-14,33,False
2020-06-21,8,False
2020-06-28,34,False
2020-07-05,13,False
