date,Baumschule,isPartial
2018-01-07,12,False
2018-01-14,11,False
2018-01-21,35,False
2018-01-28,23,False
2018-02-04,35,False
2018-02-11,18,False
2018-02-18,24,False
2018-02-25,12,False
2018-03-04,23,False
2018-03-11,35,False
2018-03-18,35,False
2018-03-25,55,False
2018-04-01,63,False
2018-04-08,61,False
2018-04-15,49,False
2018-04-22,90,False
2018-04-29,49,False
2018-05-06,31,False
2018-05-13,23,False
2018-05-20,42,False
2018-05-27,37,False
2018-06-03,23,False
2018-06-10,39,False
2018-06-17,23,False
2018-06-24,29,False
2018-07-01,11,False
2018-07-08,23,False
2018-07-15,24,False
2018-07-22,24,False
2018-07-29,19,False
2018-08-05,18,False
2018-08-12,25,False
2018-08-19,24,False
2018-08-26,12,False
2018-09-02,53,False
2018-09-09,48,False
2018-09-16,23,False
2018-09-23,29,False
2018-09-30,35,False
2018-10-07,53,False
2018-10-14,47,False
2018-10-21,30,False
2018-10-28,24,False
2018-11-04,34,False
2018-11-11,11,False
2018-11-18,22,False
2018-11-25,11,False
2018-12-02,12,False
2018-12-09,12,False
2018-12-16,18,False
2018-12-23,13,False
2018-12-30,23,False
2019-01-06,21,False
2019-01-13,0,False
2019-01-20,0,False
2019-01-27,16,False
2019-02-03,21,False
2019-02-10,21,False
2019-02-17,28,False
2019-02-24,27,False
2019-03-03,38,False
2019-03-10,47,False
2019-03-17,50,False
2019-03-24,49,False
2019-03-31,45,False
2019-04-07,61,False
2019-04-14,24,False
2019-04-21,17,False
2019-04-28,16,False
2019-05-05,42,False
2019-05-12,42,False
2019-05-19,21,False
2019-05-26,33,False
2019-06-02,79,False
2019-06-09,34,False
2019-06-16,23,False
2019-06-23,12,False
2019-06-30,28,False
2019-07-07,33,False
2019-07-14,24,False
2019-07-21,18,False
2019-07-28,24,False
2019-08-04,12,False
2019-08-11,46,False
2019-08-18,22,False
2019-08-25,17,False
2019-09-01,27,False
2019-09-08,17,False
2019-09-15,18,False
2019-09-22,22,False
2019-09-29,11,False
2019-10-06,22,False
2019-10-13,33,False
2019-10-20,34,False
2019-10-27,43,False
2019-11-03,11,False
2019-11-10,21,False
2019-11-17,22,False
2019-11-24,0,False
2019-12-01,11,False
2019-12-08,11,False
2019-12-15,22,False
2019-12-22,12,False
2019-12-29,12,False
2020-01-05,10,False
2020-01-12,10,False
2020-01-19,15,False
2020-01-26,20,False
2020-02-02,19,False
2020-02-09,35,False
2020-02-16,21,False
2020-02-23,24,False
2020-03-01,25,False
2020-03-08,19,False
2020-03-15,48,False
2020-03-22,49,False
2020-03-29,78,False
2020-04-05,62,False
2020-04-12,72,False
2020-04-19,100,False
2020-04-26,84,False
2020-05-03,78,False
2020-05-10,27,False
2020-05-17,35,False
2020-05-24,49,False
2020-05-31,33,False
2020-06-07,29,False
2020-06-14,36,False
2020-06-21,44,False
2020-06-28,34,False
2020-07-05,60,False
