date,Colegio Notarial,isPartial
2018-01-07,30,False
2018-01-14,61,False
2018-01-21,30,False
2018-01-28,45,False
2018-02-04,30,False
2018-02-11,60,False
2018-02-18,0,False
2018-02-25,58,False
2018-03-04,45,False
2018-03-11,60,False
2018-03-18,76,False
2018-03-25,30,False
2018-04-01,62,False
2018-04-08,29,False
2018-04-15,29,False
2018-04-22,100,False
2018-04-29,44,False
2018-05-06,0,False
2018-05-13,45,False
2018-05-20,89,False
2018-05-27,0,False
2018-06-03,57,False
2018-06-10,29,False
2018-06-17,31,False
2018-06-24,30,False
2018-07-01,0,False
2018-07-08,43,False
2018-07-15,0,False
2018-07-22,0,False
2018-07-29,88,False
2018-08-05,42,False
2018-08-12,57,False
2018-08-19,0,False
2018-08-26,29,False
2018-09-02,28,False
2018-09-09,0,False
2018-09-16,28,False
2018-09-23,0,False
2018-09-30,58,False
2018-10-07,93,False
2018-10-14,28,False
2018-10-21,0,False
2018-10-28,0,False
2018-11-04,0,False
2018-11-11,0,False
2018-11-18,28,False
2018-11-25,46,False
2018-12-02,0,False
2018-12-09,30,False
2018-12-16,77,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,30,False
2019-01-13,59,False
2019-01-20,28,False
2019-01-27,0,False
2019-02-03,29,False
2019-02-10,59,False
2019-02-17,30,False
2019-02-24,29,False
2019-03-03,29,False
2019-03-10,30,False
2019-03-17,0,False
2019-03-24,30,False
2019-03-31,28,False
2019-04-07,44,False
2019-04-14,54,False
2019-04-21,30,False
2019-04-28,0,False
2019-05-05,29,False
2019-05-12,29,False
2019-05-19,70,False
2019-05-26,28,False
2019-06-02,41,False
2019-06-09,56,False
2019-06-16,58,False
2019-06-23,29,False
2019-06-30,28,False
2019-07-07,27,False
2019-07-14,28,False
2019-07-21,0,False
2019-07-28,57,False
2019-08-04,57,False
2019-08-11,28,False
2019-08-18,56,False
2019-08-25,55,False
2019-09-01,53,False
2019-09-08,50,False
2019-09-15,27,False
2019-09-22,54,False
2019-09-29,0,False
2019-10-06,27,False
2019-10-13,0,False
2019-10-20,0,False
2019-10-27,26,False
2019-11-03,0,False
2019-11-10,0,False
2019-11-17,0,False
2019-11-24,25,False
2019-12-01,39,False
2019-12-08,27,False
2019-12-15,27,False
2019-12-22,0,False
2019-12-29,29,False
2020-01-05,40,False
2020-01-12,50,False
2020-01-19,36,False
2020-01-26,0,False
2020-02-02,25,False
2020-02-09,75,False
2020-02-16,25,False
2020-02-23,24,False
2020-03-01,24,False
2020-03-08,24,False
2020-03-15,23,False
2020-03-22,0,False
2020-03-29,0,False
2020-04-05,0,False
2020-04-12,38,True
