date,colegio notarial,isPartial
2018-01-07,27,False
2018-01-14,54,False
2018-01-21,0,False
2018-01-28,27,False
2018-02-04,26,False
2018-02-11,27,False
2018-02-18,54,False
2018-02-25,26,False
2018-03-04,27,False
2018-03-11,27,False
2018-03-18,41,False
2018-03-25,82,False
2018-04-01,0,False
2018-04-08,39,False
2018-04-15,26,False
2018-04-22,52,False
2018-04-29,52,False
2018-05-06,26,False
2018-05-13,81,False
2018-05-20,80,False
2018-05-27,77,False
2018-06-03,77,False
2018-06-10,0,False
2018-06-17,28,False
2018-06-24,27,False
2018-07-01,26,False
2018-07-08,51,False
2018-07-15,0,False
2018-07-22,26,False
2018-07-29,66,False
2018-08-05,38,False
2018-08-12,52,False
2018-08-19,27,False
2018-08-26,26,False
2018-09-02,25,False
2018-09-09,0,False
2018-09-16,25,False
2018-09-23,25,False
2018-09-30,39,False
2018-10-07,70,False
2018-10-14,37,False
2018-10-21,26,False
2018-10-28,0,False
2018-11-04,0,False
2018-11-11,51,False
2018-11-18,25,False
2018-11-25,27,False
2018-12-02,0,False
2018-12-09,27,False
2018-12-16,28,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,27,False
2019-01-13,0,False
2019-01-20,25,False
2019-01-27,26,False
2019-02-03,26,False
2019-02-10,53,False
2019-02-17,27,False
2019-02-24,26,False
2019-03-03,53,False
2019-03-10,27,False
2019-03-17,0,False
2019-03-24,0,False
2019-03-31,25,False
2019-04-07,26,False
2019-04-14,0,False
2019-04-21,27,False
2019-04-28,51,False
2019-05-05,39,False
2019-05-12,25,False
2019-05-19,100,False
2019-05-26,25,False
2019-06-02,49,False
2019-06-09,50,False
2019-06-16,65,False
2019-06-23,0,False
2019-06-30,51,False
2019-07-07,24,False
2019-07-14,38,False
2019-07-21,0,False
2019-07-28,0,False
2019-08-04,51,False
2019-08-11,25,False
2019-08-18,0,False
2019-08-25,24,False
2019-09-01,72,False
2019-09-08,34,False
2019-09-15,36,False
2019-09-22,24,False
2019-09-29,72,False
2019-10-06,24,False
2019-10-13,0,False
2019-10-20,23,False
2019-10-27,24,False
2019-11-03,70,False
2019-11-10,23,False
2019-11-17,0,False
2019-11-24,23,False
2019-12-01,23,False
2019-12-08,25,False
2019-12-15,47,False
2019-12-22,26,False
2019-12-29,26,False
2020-01-05,47,False
2020-01-12,33,False
2020-01-19,43,False
2020-01-26,45,False
2020-02-02,45,False
2020-02-09,68,False
2020-02-16,0,False
2020-02-23,43,False
2020-03-01,21,False
2020-03-08,0,False
2020-03-15,21,False
2020-03-22,19,False
2020-03-29,38,False
2020-04-05,20,False
2020-04-12,0,True
