date,Klimatechnik,isPartial
2018-01-07,0,False
2018-01-14,51,False
2018-01-21,37,False
2018-01-28,37,False
2018-02-04,26,False
2018-02-11,0,False
2018-02-18,0,False
2018-02-25,25,False
2018-03-04,25,False
2018-03-11,50,False
2018-03-18,0,False
2018-03-25,27,False
2018-04-01,29,False
2018-04-08,26,False
2018-04-15,26,False
2018-04-22,26,False
2018-04-29,27,False
2018-05-06,70,False
2018-05-13,53,False
2018-05-20,27,False
2018-05-27,65,False
2018-06-03,53,False
2018-06-10,37,False
2018-06-17,25,False
2018-06-24,26,False
2018-07-01,27,False
2018-07-08,0,False
2018-07-15,58,False
2018-07-22,30,False
2018-07-29,41,False
2018-08-05,49,False
2018-08-12,29,False
2018-08-19,41,False
2018-08-26,27,False
2018-09-02,35,False
2018-09-09,26,False
2018-09-16,26,False
2018-09-23,26,False
2018-09-30,20,False
2018-10-07,22,False
2018-10-14,26,False
2018-10-21,0,False
2018-10-28,26,False
2018-11-04,25,False
2018-11-11,26,False
2018-11-18,25,False
2018-11-25,38,False
2018-12-02,0,False
2018-12-09,39,False
2018-12-16,28,False
2018-12-23,0,False
2018-12-30,29,False
2019-01-06,32,False
2019-01-13,21,False
2019-01-20,46,False
2019-01-27,20,False
2019-02-03,39,False
2019-02-10,25,False
2019-02-17,25,False
2019-02-24,37,False
2019-03-03,20,False
2019-03-10,33,False
2019-03-17,26,False
2019-03-24,42,False
2019-03-31,26,False
2019-04-07,34,False
2019-04-14,57,False
2019-04-21,71,False
2019-04-28,0,False
2019-05-05,25,False
2019-05-12,25,False
2019-05-19,38,False
2019-05-26,0,False
2019-06-02,51,False
2019-06-09,26,False
2019-06-16,25,False
2019-06-23,71,False
2019-06-30,78,False
2019-07-07,26,False
2019-07-14,27,False
2019-07-21,41,False
2019-07-28,39,False
2019-08-04,26,False
2019-08-11,25,False
2019-08-18,50,False
2019-08-25,35,False
2019-09-01,47,False
2019-09-08,0,False
2019-09-15,24,False
2019-09-22,0,False
2019-09-29,23,False
2019-10-06,100,False
2019-10-13,37,False
2019-10-20,24,False
2019-10-27,23,False
2019-11-03,63,False
2019-11-10,48,False
2019-11-17,0,False
2019-11-24,0,False
2019-12-01,22,False
2019-12-08,0,False
2019-12-15,25,False
2019-12-22,0,False
2019-12-29,51,False
2020-01-05,22,False
2020-01-12,56,False
2020-01-19,23,False
2020-01-26,46,False
2020-02-02,0,False
2020-02-09,0,False
2020-02-16,23,False
2020-02-23,22,False
2020-03-01,21,False
2020-03-08,40,False
2020-03-15,22,False
2020-03-22,0,False
2020-03-29,29,False
2020-04-05,22,False
2020-04-12,23,False
2020-04-19,34,False
2020-04-26,32,False
2020-05-03,0,False
2020-05-10,29,False
2020-05-17,50,True
