date,Schlüsselnotdienst,isPartial
2018-01-07,46,False
2018-01-14,0,False
2018-01-21,45,False
2018-01-28,0,False
2018-02-04,94,False
2018-02-11,47,False
2018-02-18,46,False
2018-02-25,0,False
2018-03-04,47,False
2018-03-11,46,False
2018-03-18,47,False
2018-03-25,0,False
2018-04-01,50,False
2018-04-08,48,False
2018-04-15,49,False
2018-04-22,94,False
2018-04-29,100,False
2018-05-06,49,False
2018-05-13,0,False
2018-05-20,52,False
2018-05-27,0,False
2018-06-03,48,False
2018-06-10,70,False
2018-06-17,47,False
2018-06-24,48,False
2018-07-01,46,False
2018-07-08,0,False
2018-07-15,0,False
2018-07-22,48,False
2018-07-29,0,False
2018-08-05,0,False
2018-08-12,0,False
2018-08-19,53,False
2018-08-26,52,False
2018-09-02,98,False
2018-09-09,48,False
2018-09-16,0,False
2018-09-23,48,False
2018-09-30,0,False
2018-10-07,47,False
2018-10-14,78,False
2018-10-21,46,False
2018-10-28,46,False
2018-11-04,45,False
2018-11-11,0,False
2018-11-18,43,False
2018-11-25,0,False
2018-12-02,45,False
2018-12-09,44,False
2018-12-16,93,False
2018-12-23,54,False
2018-12-30,97,False
2019-01-06,43,False
2019-01-13,0,False
2019-01-20,85,False
2019-01-27,42,False
2019-02-03,43,False
2019-02-10,43,False
2019-02-17,44,False
2019-02-24,45,False
2019-03-03,44,False
2019-03-10,0,False
2019-03-17,0,False
2019-03-24,44,False
2019-03-31,44,False
2019-04-07,0,False
2019-04-14,95,False
2019-04-21,93,False
2019-04-28,0,False
2019-05-05,63,False
2019-05-12,88,False
2019-05-19,84,False
2019-05-26,0,False
2019-06-02,45,False
2019-06-09,93,False
2019-06-16,62,False
2019-06-23,0,False
2019-06-30,44,False
2019-07-07,43,False
2019-07-14,44,False
2019-07-21,69,False
2019-07-28,0,False
2019-08-04,0,False
2019-08-11,71,False
2019-08-18,49,False
2019-08-25,65,False
2019-09-01,45,False
2019-09-08,67,False
2019-09-15,45,False
2019-09-22,64,False
2019-09-29,44,False
2019-10-06,85,False
2019-10-13,42,False
2019-10-20,42,False
2019-10-27,0,False
2019-11-03,0,False
2019-11-10,41,False
2019-11-17,61,False
2019-11-24,40,False
2019-12-01,42,False
2019-12-08,41,False
2019-12-15,84,False
2019-12-22,72,False
2019-12-29,91,False
2020-01-05,40,False
2020-01-12,0,False
2020-01-19,39,False
2020-01-26,39,False
2020-02-02,39,False
2020-02-09,0,False
2020-02-16,81,False
2020-02-23,0,False
2020-03-01,0,False
2020-03-08,36,False
2020-03-15,52,False
2020-03-22,0,False
2020-03-29,35,False
2020-04-05,38,False
2020-04-12,49,False
2020-04-19,0,False
2020-04-26,69,False
2020-05-03,35,False
2020-05-10,35,False
