date,dj bodas,isPartial
2018-01-07,25,False
2018-01-14,37,False
2018-01-21,24,False
2018-01-28,74,False
2018-02-04,49,False
2018-02-11,50,False
2018-02-18,50,False
2018-02-25,24,False
2018-03-04,24,False
2018-03-11,36,False
2018-03-18,25,False
2018-03-25,27,False
2018-04-01,100,False
2018-04-08,47,False
2018-04-15,0,False
2018-04-22,24,False
2018-04-29,37,False
2018-05-06,47,False
2018-05-13,0,False
2018-05-20,24,False
2018-05-27,48,False
2018-06-03,24,False
2018-06-10,23,False
2018-06-17,25,False
2018-06-24,75,False
2018-07-01,25,False
2018-07-08,24,False
2018-07-15,0,False
2018-07-22,51,False
2018-07-29,26,False
2018-08-05,77,False
2018-08-12,26,False
2018-08-19,26,False
2018-08-26,38,False
2018-09-02,48,False
2018-09-09,73,False
2018-09-16,72,False
2018-09-23,24,False
2018-09-30,24,False
2018-10-07,25,False
2018-10-14,47,False
2018-10-21,48,False
2018-10-28,25,False
2018-11-04,34,False
2018-11-11,70,False
2018-11-18,46,False
2018-11-25,72,False
2018-12-02,50,False
2018-12-09,0,False
2018-12-16,25,False
2018-12-23,28,False
2018-12-30,0,False
2019-01-06,37,False
2019-01-13,35,False
2019-01-20,56,False
2019-01-27,45,False
2019-02-03,24,False
2019-02-10,36,False
2019-02-17,48,False
2019-02-24,23,False
2019-03-03,24,False
2019-03-10,37,False
2019-03-17,49,False
2019-03-24,48,False
2019-03-31,34,False
2019-04-07,35,False
2019-04-14,24,False
2019-04-21,23,False
2019-04-28,47,False
2019-05-05,23,False
2019-05-12,0,False
2019-05-19,46,False
2019-05-26,45,False
2019-06-02,22,False
2019-06-09,45,False
2019-06-16,36,False
2019-06-23,24,False
2019-06-30,36,False
2019-07-07,47,False
2019-07-14,37,False
2019-07-21,48,False
2019-07-28,51,False
2019-08-04,51,False
2019-08-11,38,False
2019-08-18,49,False
2019-08-25,23,False
2019-09-01,45,False
2019-09-08,89,False
2019-09-15,22,False
2019-09-22,55,False
2019-09-29,33,False
2019-10-06,22,False
2019-10-13,42,False
2019-10-20,43,False
2019-10-27,22,False
2019-11-03,32,False
2019-11-10,21,False
2019-11-17,64,False
2019-11-24,20,False
2019-12-01,22,False
2019-12-08,34,False
2019-12-15,0,False
2019-12-22,24,False
2019-12-29,24,False
2020-01-05,21,False
2020-01-12,60,False
2020-01-19,40,False
2020-01-26,41,False
2020-02-02,0,False
2020-02-09,41,False
2020-02-16,20,False
2020-02-23,0,False
2020-03-01,0,False
2020-03-08,19,False
2020-03-15,38,False
2020-03-22,0,False
2020-03-29,0,False
2020-04-05,19,False
2020-04-12,31,True
