date,Sandstrahlen,isPartial
2018-01-07,47,False
2018-01-14,24,False
2018-01-21,57,False
2018-01-28,23,False
2018-02-04,65,False
2018-02-11,24,False
2018-02-18,57,False
2018-02-25,71,False
2018-03-04,40,False
2018-03-11,31,False
2018-03-18,73,False
2018-03-25,51,False
2018-04-01,26,False
2018-04-08,74,False
2018-04-15,50,False
2018-04-22,24,False
2018-04-29,25,False
2018-05-06,100,False
2018-05-13,35,False
2018-05-20,24,False
2018-05-27,0,False
2018-06-03,37,False
2018-06-10,23,False
2018-06-17,70,False
2018-06-24,36,False
2018-07-01,57,False
2018-07-08,25,False
2018-07-15,26,False
2018-07-22,34,False
2018-07-29,25,False
2018-08-05,70,False
2018-08-12,38,False
2018-08-19,47,False
2018-08-26,24,False
2018-09-02,40,False
2018-09-09,31,False
2018-09-16,32,False
2018-09-23,24,False
2018-09-30,48,False
2018-10-07,42,False
2018-10-14,36,False
2018-10-21,23,False
2018-10-28,23,False
2018-11-04,45,False
2018-11-11,31,False
2018-11-18,56,False
2018-11-25,46,False
2018-12-02,34,False
2018-12-09,58,False
2018-12-16,94,False
2018-12-23,0,False
2018-12-30,72,False
2019-01-06,22,False
2019-01-13,32,False
2019-01-20,36,False
2019-01-27,33,False
2019-02-03,44,False
2019-02-10,30,False
2019-02-17,24,False
2019-02-24,23,False
2019-03-03,22,False
2019-03-10,22,False
2019-03-17,31,False
2019-03-24,23,False
2019-03-31,35,False
2019-04-07,45,False
2019-04-14,49,False
2019-04-21,61,False
2019-04-28,22,False
2019-05-05,55,False
2019-05-12,45,False
2019-05-19,56,False
2019-05-26,30,False
2019-06-02,45,False
2019-06-09,34,False
2019-06-16,37,False
2019-06-23,31,False
2019-06-30,46,False
2019-07-07,23,False
2019-07-14,60,False
2019-07-21,0,False
2019-07-28,47,False
2019-08-04,32,False
2019-08-11,93,False
2019-08-18,34,False
2019-08-25,0,False
2019-09-01,32,False
2019-09-08,45,False
2019-09-15,45,False
2019-09-22,33,False
2019-09-29,22,False
2019-10-06,22,False
2019-10-13,23,False
2019-10-20,44,False
2019-10-27,21,False
2019-11-03,30,False
2019-11-10,49,False
2019-11-17,52,False
2019-11-24,48,False
2019-12-01,43,False
2019-12-08,31,False
2019-12-15,21,False
2019-12-22,23,False
2019-12-29,22,False
2020-01-05,40,False
2020-01-12,58,False
2020-01-19,33,False
2020-01-26,88,False
2020-02-02,26,False
2020-02-09,20,False
2020-02-16,20,False
2020-02-23,38,False
2020-03-01,19,False
2020-03-08,27,False
2020-03-15,35,False
2020-03-22,18,False
2020-03-29,41,False
2020-04-05,26,False
2020-04-12,28,False
2020-04-19,64,False
2020-04-26,48,False
2020-05-03,18,False
2020-05-10,36,False
