date,24H Schlüsseldienst,isPartial
2018-01-07,0,False
2018-01-14,39,False
2018-01-21,39,False
2018-01-28,39,False
2018-02-04,0,False
2018-02-11,40,False
2018-02-18,40,False
2018-02-25,39,False
2018-03-04,39,False
2018-03-11,0,False
2018-03-18,79,False
2018-03-25,42,False
2018-04-01,42,False
2018-04-08,41,False
2018-04-15,41,False
2018-04-22,79,False
2018-04-29,0,False
2018-05-06,42,False
2018-05-13,0,False
2018-05-20,43,False
2018-05-27,41,False
2018-06-03,0,False
2018-06-10,0,False
2018-06-17,0,False
2018-06-24,40,False
2018-07-01,0,False
2018-07-08,40,False
2018-07-15,41,False
2018-07-22,0,False
2018-07-29,41,False
2018-08-05,0,False
2018-08-12,42,False
2018-08-19,0,False
2018-08-26,0,False
2018-09-02,40,False
2018-09-09,40,False
2018-09-16,40,False
2018-09-23,40,False
2018-09-30,100,False
2018-10-07,0,False
2018-10-14,40,False
2018-10-21,65,False
2018-10-28,39,False
2018-11-04,38,False
2018-11-11,0,False
2018-11-18,0,False
2018-11-25,58,False
2018-12-02,0,False
2018-12-09,39,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,41,False
2019-01-06,37,False
2019-01-13,36,False
2019-01-20,36,False
2019-01-27,54,False
2019-02-03,37,False
2019-02-10,37,False
2019-02-17,75,False
2019-02-24,57,False
2019-03-03,74,False
2019-03-10,61,False
2019-03-17,57,False
2019-03-24,0,False
2019-03-31,38,False
2019-04-07,63,False
2019-04-14,42,False
2019-04-21,0,False
2019-04-28,37,False
2019-05-05,75,False
2019-05-12,38,False
2019-05-19,37,False
2019-05-26,39,False
2019-06-02,37,False
2019-06-09,38,False
2019-06-16,0,False
2019-06-23,38,False
2019-06-30,76,False
2019-07-07,0,False
2019-07-14,78,False
2019-07-21,41,False
2019-07-28,0,False
2019-08-04,40,False
2019-08-11,0,False
2019-08-18,39,False
2019-08-25,38,False
2019-09-01,37,False
2019-09-08,38,False
2019-09-15,38,False
2019-09-22,0,False
2019-09-29,37,False
2019-10-06,36,False
2019-10-13,0,False
2019-10-20,72,False
2019-10-27,0,False
2019-11-03,34,False
2019-11-10,35,False
2019-11-17,35,False
2019-11-24,0,False
2019-12-01,53,False
2019-12-08,0,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,0,False
2020-01-12,65,False
2020-01-19,33,False
2020-01-26,33,False
2020-02-02,33,False
2020-02-09,0,False
2020-02-16,68,False
2020-02-23,66,False
2020-03-01,33,False
2020-03-08,0,False
2020-03-15,60,False
2020-03-22,30,False
2020-03-29,0,False
2020-04-05,0,False
2020-04-12,0,False
2020-04-19,0,False
2020-04-26,30,False
2020-05-03,60,False
2020-05-10,31,False
