date,bodas al aire libre,isPartial
2018-01-07,53,False
2018-01-14,54,False
2018-01-21,53,False
2018-01-28,27,False
2018-02-04,26,False
2018-02-11,27,False
2018-02-18,94,False
2018-02-25,39,False
2018-03-04,26,False
2018-03-11,39,False
2018-03-18,27,False
2018-03-25,30,False
2018-04-01,27,False
2018-04-08,76,False
2018-04-15,53,False
2018-04-22,52,False
2018-04-29,27,False
2018-05-06,26,False
2018-05-13,40,False
2018-05-20,0,False
2018-05-27,26,False
2018-06-03,51,False
2018-06-10,25,False
2018-06-17,41,False
2018-06-24,55,False
2018-07-01,0,False
2018-07-08,80,False
2018-07-15,42,False
2018-07-22,57,False
2018-07-29,28,False
2018-08-05,42,False
2018-08-12,0,False
2018-08-19,29,False
2018-08-26,41,False
2018-09-02,79,False
2018-09-09,0,False
2018-09-16,39,False
2018-09-23,26,False
2018-09-30,65,False
2018-10-07,40,False
2018-10-14,0,False
2018-10-21,26,False
2018-10-28,54,False
2018-11-04,0,False
2018-11-11,26,False
2018-11-18,50,False
2018-11-25,0,False
2018-12-02,55,False
2018-12-09,81,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,30,False
2019-01-06,40,False
2019-01-13,38,False
2019-01-20,24,False
2019-01-27,36,False
2019-02-03,26,False
2019-02-10,51,False
2019-02-17,39,False
2019-02-24,51,False
2019-03-03,26,False
2019-03-10,27,False
2019-03-17,26,False
2019-03-24,26,False
2019-03-31,50,False
2019-04-07,51,False
2019-04-14,27,False
2019-04-21,0,False
2019-04-28,26,False
2019-05-05,0,False
2019-05-12,25,False
2019-05-19,100,False
2019-05-26,37,False
2019-06-02,24,False
2019-06-09,37,False
2019-06-16,39,False
2019-06-23,0,False
2019-06-30,26,False
2019-07-07,64,False
2019-07-14,67,False
2019-07-21,53,False
2019-07-28,55,False
2019-08-04,41,False
2019-08-11,42,False
2019-08-18,54,False
2019-08-25,38,False
2019-09-01,49,False
2019-09-08,48,False
2019-09-15,24,False
2019-09-22,48,False
2019-09-29,0,False
2019-10-06,24,False
2019-10-13,46,False
2019-10-20,46,False
2019-10-27,0,False
2019-11-03,23,False
2019-11-10,0,False
2019-11-17,23,False
2019-11-24,0,False
2019-12-01,24,False
2019-12-08,0,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,70,False
2020-01-12,43,False
2020-01-19,64,False
2020-01-26,45,False
2020-02-02,22,False
2020-02-09,44,False
2020-02-16,90,False
2020-02-23,0,False
2020-03-01,0,False
2020-03-08,42,False
2020-03-15,21,False
2020-03-22,19,False
2020-03-29,0,False
2020-04-05,42,False
2020-04-12,34,True
