date,Lebensmittel bestellen auf Rechnung,isPartial
2018-01-07,25,False
2018-01-14,25,False
2018-01-21,37,False
2018-01-28,12,False
2018-02-04,13,False
2018-02-11,13,False
2018-02-18,19,False
2018-02-25,13,False
2018-03-04,13,False
2018-03-11,13,False
2018-03-18,19,False
2018-03-25,14,False
2018-04-01,0,False
2018-04-08,26,False
2018-04-15,27,False
2018-04-22,13,False
2018-04-29,13,False
2018-05-06,13,False
2018-05-13,13,False
2018-05-20,14,False
2018-05-27,20,False
2018-06-03,13,False
2018-06-10,19,False
2018-06-17,38,False
2018-06-24,13,False
2018-07-01,0,False
2018-07-08,0,False
2018-07-15,13,False
2018-07-22,27,False
2018-07-29,13,False
2018-08-05,13,False
2018-08-12,31,False
2018-08-19,26,False
2018-08-26,13,False
2018-09-02,13,False
2018-09-09,19,False
2018-09-16,0,False
2018-09-23,13,False
2018-09-30,13,False
2018-10-07,26,False
2018-10-14,17,False
2018-10-21,25,False
2018-10-28,0,False
2018-11-04,12,False
2018-11-11,12,False
2018-11-18,24,False
2018-11-25,16,False
2018-12-02,12,False
2018-12-09,12,False
2018-12-16,13,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,24,False
2019-01-13,23,False
2019-01-20,23,False
2019-01-27,0,False
2019-02-03,0,False
2019-02-10,12,False
2019-02-17,24,False
2019-02-24,12,False
2019-03-03,0,False
2019-03-10,18,False
2019-03-17,12,False
2019-03-24,12,False
2019-03-31,12,False
2019-04-07,0,False
2019-04-14,22,False
2019-04-21,13,False
2019-04-28,12,False
2019-05-05,0,False
2019-05-12,0,False
2019-05-19,18,False
2019-05-26,12,False
2019-06-02,12,False
2019-06-09,0,False
2019-06-16,13,False
2019-06-23,25,False
2019-06-30,0,False
2019-07-07,18,False
2019-07-14,13,False
2019-07-21,13,False
2019-07-28,0,False
2019-08-04,13,False
2019-08-11,0,False
2019-08-18,19,False
2019-08-25,24,False
2019-09-01,18,False
2019-09-08,12,False
2019-09-15,12,False
2019-09-22,36,False
2019-09-29,12,False
2019-10-06,0,False
2019-10-13,11,False
2019-10-20,12,False
2019-10-27,17,False
2019-11-03,11,False
2019-11-10,11,False
2019-11-17,22,False
2019-11-24,0,False
2019-12-01,11,False
2019-12-08,22,False
2019-12-15,11,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,11,False
2020-01-12,0,False
2020-01-19,14,False
2020-01-26,11,False
2020-02-02,11,False
2020-02-09,26,False
2020-02-16,14,False
2020-02-23,10,False
2020-03-01,10,False
2020-03-08,20,False
2020-03-15,100,False
2020-03-22,71,False
2020-03-29,29,False
2020-04-05,24,False
2020-04-12,10,False
2020-04-19,16,False
2020-04-26,19,False
2020-05-03,10,False
2020-05-10,10,False
2020-05-17,23,True
