date,partecipazioni nozze,isPartial
2018-01-07,47,False
2018-01-14,54,False
2018-01-21,100,False
2018-01-28,39,False
2018-02-04,23,False
2018-02-11,31,False
2018-02-18,38,False
2018-02-25,74,False
2018-03-04,30,False
2018-03-11,53,False
2018-03-18,15,False
2018-03-25,57,False
2018-04-01,59,False
2018-04-08,46,False
2018-04-15,16,False
2018-04-22,33,False
2018-04-29,39,False
2018-05-06,31,False
2018-05-13,46,False
2018-05-20,39,False
2018-05-27,39,False
2018-06-03,39,False
2018-06-10,22,False
2018-06-17,8,False
2018-06-24,8,False
2018-07-01,23,False
2018-07-08,38,False
2018-07-15,39,False
2018-07-22,31,False
2018-07-29,16,False
2018-08-05,16,False
2018-08-12,0,False
2018-08-19,9,False
2018-08-26,32,False
2018-09-02,23,False
2018-09-09,60,False
2018-09-16,30,False
2018-09-23,30,False
2018-09-30,45,False
2018-10-07,23,False
2018-10-14,8,False
2018-10-21,8,False
2018-10-28,30,False
2018-11-04,30,False
2018-11-11,8,False
2018-11-18,46,False
2018-11-25,46,False
2018-12-02,39,False
2018-12-09,0,False
2018-12-16,25,False
2018-12-23,9,False
2018-12-30,26,False
2019-01-06,63,False
2019-01-13,53,False
2019-01-20,44,False
2019-01-27,14,False
2019-02-03,22,False
2019-02-10,22,False
2019-02-17,69,False
2019-02-24,37,False
2019-03-03,23,False
2019-03-10,30,False
2019-03-17,47,False
2019-03-24,47,False
2019-03-31,23,False
2019-04-07,23,False
2019-04-14,47,False
2019-04-21,33,False
2019-04-28,31,False
2019-05-05,45,False
2019-05-12,52,False
2019-05-19,37,False
2019-05-26,36,False
2019-06-02,8,False
2019-06-09,69,False
2019-06-16,15,False
2019-06-23,8,False
2019-06-30,8,False
2019-07-07,8,False
2019-07-14,16,False
2019-07-21,0,False
2019-07-28,8,False
2019-08-04,25,False
2019-08-11,17,False
2019-08-18,8,False
2019-08-25,22,False
2019-09-01,21,False
2019-09-08,29,False
2019-09-15,14,False
2019-09-22,14,False
2019-09-29,36,False
2019-10-06,29,False
2019-10-13,15,False
2019-10-20,42,False
2019-10-27,28,False
2019-11-03,7,False
2019-11-10,28,False
2019-11-17,14,False
2019-11-24,7,False
2019-12-01,36,False
2019-12-08,0,False
2019-12-15,14,False
2019-12-22,8,False
2019-12-29,24,False
2020-01-05,42,False
2020-01-12,39,False
2020-01-19,47,False
2020-01-26,39,False
2020-02-02,39,False
2020-02-09,34,False
2020-02-16,53,False
2020-02-23,25,False
2020-03-01,13,False
2020-03-08,6,False
2020-03-15,12,False
2020-03-22,11,False
2020-03-29,17,False
2020-04-05,18,False
2020-04-12,12,False
2020-04-19,0,False
2020-04-26,10,True
