date,Haushaltsauflösung Entrümpelung,isPartial
2018-01-07,49,False
2018-01-14,24,False
2018-01-21,49,False
2018-01-28,24,False
2018-02-04,25,False
2018-02-11,25,False
2018-02-18,37,False
2018-02-25,24,False
2018-03-04,25,False
2018-03-11,0,False
2018-03-18,25,False
2018-03-25,26,False
2018-04-01,26,False
2018-04-08,51,False
2018-04-15,26,False
2018-04-22,62,False
2018-04-29,52,False
2018-05-06,0,False
2018-05-13,25,False
2018-05-20,27,False
2018-05-27,51,False
2018-06-03,25,False
2018-06-10,24,False
2018-06-17,49,False
2018-06-24,25,False
2018-07-01,25,False
2018-07-08,0,False
2018-07-15,38,False
2018-07-22,0,False
2018-07-29,25,False
2018-08-05,0,False
2018-08-12,26,False
2018-08-19,26,False
2018-08-26,26,False
2018-09-02,25,False
2018-09-09,50,False
2018-09-16,25,False
2018-09-23,50,False
2018-09-30,100,False
2018-10-07,62,False
2018-10-14,75,False
2018-10-21,0,False
2018-10-28,48,False
2018-11-04,24,False
2018-11-11,37,False
2018-11-18,46,False
2018-11-25,0,False
2018-12-02,24,False
2018-12-09,97,False
2018-12-16,49,False
2018-12-23,43,False
2018-12-30,39,False
2019-01-06,23,False
2019-01-13,34,False
2019-01-20,45,False
2019-01-27,23,False
2019-02-03,46,False
2019-02-10,70,False
2019-02-17,23,False
2019-02-24,72,False
2019-03-03,23,False
2019-03-10,58,False
2019-03-17,48,False
2019-03-24,24,False
2019-03-31,24,False
2019-04-07,24,False
2019-04-14,52,False
2019-04-21,37,False
2019-04-28,35,False
2019-05-05,57,False
2019-05-12,60,False
2019-05-19,0,False
2019-05-26,0,False
2019-06-02,23,False
2019-06-09,60,False
2019-06-16,48,False
2019-06-23,24,False
2019-06-30,71,False
2019-07-07,23,False
2019-07-14,97,False
2019-07-21,26,False
2019-07-28,0,False
2019-08-04,100,False
2019-08-11,24,False
2019-08-18,24,False
2019-08-25,24,False
2019-09-01,35,False
2019-09-08,0,False
2019-09-15,59,False
2019-09-22,23,False
2019-09-29,46,False
2019-10-06,45,False
2019-10-13,68,False
2019-10-20,45,False
2019-10-27,33,False
2019-11-03,43,False
2019-11-10,33,False
2019-11-17,22,False
2019-11-24,43,False
2019-12-01,44,False
2019-12-08,22,False
2019-12-15,44,False
2019-12-22,38,False
2019-12-29,35,False
2020-01-05,32,False
2020-01-12,20,False
2020-01-19,31,False
2020-01-26,31,False
2020-02-02,21,False
2020-02-09,61,False
2020-02-16,42,False
2020-02-23,41,False
2020-03-01,41,False
2020-03-08,29,False
2020-03-15,19,False
2020-03-22,37,False
2020-03-29,19,False
2020-04-05,41,False
2020-04-12,30,False
2020-04-19,0,False
2020-04-26,37,False
2020-05-03,56,False
2020-05-10,57,False
