date,Sonnenschutz Terrasse,isPartial
2018-01-07,0,False
2018-01-14,9,False
2018-01-21,15,False
2018-01-28,10,False
2018-02-04,16,False
2018-02-11,21,False
2018-02-18,19,False
2018-02-25,15,False
2018-03-04,23,False
2018-03-11,13,False
2018-03-18,11,False
2018-03-25,31,False
2018-04-01,34,False
2018-04-08,41,False
2018-04-15,62,False
2018-04-22,55,False
2018-04-29,53,False
2018-05-06,91,False
2018-05-13,25,False
2018-05-20,50,False
2018-05-27,45,False
2018-06-03,32,False
2018-06-10,33,False
2018-06-17,25,False
2018-06-24,26,False
2018-07-01,25,False
2018-07-08,27,False
2018-07-15,37,False
2018-07-22,52,False
2018-07-29,55,False
2018-08-05,35,False
2018-08-12,23,False
2018-08-19,20,False
2018-08-26,6,False
2018-09-02,9,False
2018-09-09,15,False
2018-09-16,15,False
2018-09-23,13,False
2018-09-30,6,False
2018-10-07,16,False
2018-10-14,6,False
2018-10-21,0,False
2018-10-28,0,False
2018-11-04,6,False
2018-11-11,6,False
2018-11-18,6,False
2018-11-25,6,False
2018-12-02,6,False
2018-12-09,6,False
2018-12-16,9,False
2018-12-23,0,False
2018-12-30,10,False
2019-01-06,15,False
2019-01-13,9,False
2019-01-20,17,False
2019-01-27,12,False
2019-02-03,18,False
2019-02-10,36,False
2019-02-17,26,False
2019-02-24,33,False
2019-03-03,33,False
2019-03-10,29,False
2019-03-17,35,False
2019-03-24,44,False
2019-03-31,45,False
2019-04-07,36,False
2019-04-14,50,False
2019-04-21,100,False
2019-04-28,26,False
2019-05-05,16,False
2019-05-12,12,False
2019-05-19,20,False
2019-05-26,18,False
2019-06-02,52,False
2019-06-09,20,False
2019-06-16,45,False
2019-06-23,65,False
2019-06-30,34,False
2019-07-07,30,False
2019-07-14,25,False
2019-07-21,57,False
2019-07-28,23,False
2019-08-04,17,False
2019-08-11,20,False
2019-08-18,19,False
2019-08-25,38,False
2019-09-01,14,False
2019-09-08,18,False
2019-09-15,0,False
2019-09-22,9,False
2019-09-29,9,False
2019-10-06,6,False
2019-10-13,12,False
2019-10-20,10,False
2019-10-27,11,False
2019-11-03,8,False
2019-11-10,6,False
2019-11-17,6,False
2019-11-24,11,False
2019-12-01,11,False
2019-12-08,14,False
2019-12-15,10,False
2019-12-22,0,False
2019-12-29,15,False
2020-01-05,13,False
2020-01-12,10,False
2020-01-19,30,False
2020-01-26,12,False
2020-02-02,27,False
2020-02-09,12,False
2020-02-16,11,False
2020-02-23,17,False
2020-03-01,26,False
2020-03-08,26,False
2020-03-15,24,False
2020-03-22,32,False
2020-03-29,22,False
2020-04-05,91,False
2020-04-12,80,False
2020-04-19,60,False
2020-04-26,47,False
2020-05-03,43,False
2020-05-10,37,False
