date,Sonnenschutz Terrasse,isPartial
2018-01-07,37,False
2018-01-14,0,False
2018-01-21,0,False
2018-01-28,0,False
2018-02-04,37,False
2018-02-11,0,False
2018-02-18,37,False
2018-02-25,37,False
2018-03-04,0,False
2018-03-11,0,False
2018-03-18,38,False
2018-03-25,39,False
2018-04-01,38,False
2018-04-08,57,False
2018-04-15,0,False
2018-04-22,55,False
2018-04-29,77,False
2018-05-06,59,False
2018-05-13,62,False
2018-05-20,65,False
2018-05-27,73,False
2018-06-03,37,False
2018-06-10,36,False
2018-06-17,0,False
2018-06-24,75,False
2018-07-01,39,False
2018-07-08,39,False
2018-07-15,84,False
2018-07-22,79,False
2018-07-29,100,False
2018-08-05,52,False
2018-08-12,0,False
2018-08-19,35,False
2018-08-26,0,False
2018-09-02,0,False
2018-09-09,0,False
2018-09-16,0,False
2018-09-23,0,False
2018-09-30,0,False
2018-10-07,0,False
2018-10-14,0,False
2018-10-21,0,False
2018-10-28,0,False
2018-11-04,0,False
2018-11-11,0,False
2018-11-18,0,False
2018-11-25,0,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,38,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,34,False
2019-01-13,34,False
2019-01-20,0,False
2019-01-27,35,False
2019-02-03,0,False
2019-02-10,35,False
2019-02-17,35,False
2019-02-24,0,False
2019-03-03,35,False
2019-03-10,0,False
2019-03-17,88,False
2019-03-24,72,False
2019-03-31,72,False
2019-04-07,38,False
2019-04-14,79,False
2019-04-21,86,False
2019-04-28,36,False
2019-05-05,35,False
2019-05-12,36,False
2019-05-19,0,False
2019-05-26,36,False
2019-06-02,68,False
2019-06-09,35,False
2019-06-16,35,False
2019-06-23,71,False
2019-06-30,70,False
2019-07-07,36,False
2019-07-14,0,False
2019-07-21,65,False
2019-07-28,92,False
2019-08-04,36,False
2019-08-11,33,False
2019-08-18,0,False
2019-08-25,0,False
2019-09-01,0,False
2019-09-08,0,False
2019-09-15,34,False
2019-09-22,0,False
2019-09-29,0,False
2019-10-06,0,False
2019-10-13,33,False
2019-10-20,0,False
2019-10-27,0,False
2019-11-03,32,False
2019-11-10,0,False
2019-11-17,0,False
2019-11-24,0,False
2019-12-01,0,False
2019-12-08,0,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,0,False
2020-01-12,30,False
2020-01-19,31,False
2020-01-26,0,False
2020-02-02,30,False
2020-02-09,30,False
2020-02-16,31,False
2020-02-23,0,False
2020-03-01,61,False
2020-03-08,29,False
2020-03-15,0,False
2020-03-22,29,False
2020-03-29,28,False
2020-04-05,47,False
2020-04-12,75,False
2020-04-19,57,False
2020-04-26,55,False
2020-05-03,38,False
2020-05-10,28,False
