date,bomboniere solidali matrimonio,isPartial
2018-01-07,43,False
2018-01-14,57,False
2018-01-21,64,False
2018-01-28,28,False
2018-02-04,41,False
2018-02-11,21,False
2018-02-18,27,False
2018-02-25,14,False
2018-03-04,14,False
2018-03-11,28,False
2018-03-18,42,False
2018-03-25,29,False
2018-04-01,30,False
2018-04-08,28,False
2018-04-15,29,False
2018-04-22,15,False
2018-04-29,14,False
2018-05-06,35,False
2018-05-13,14,False
2018-05-20,42,False
2018-05-27,100,False
2018-06-03,14,False
2018-06-10,14,False
2018-06-17,21,False
2018-06-24,50,False
2018-07-01,49,False
2018-07-08,14,False
2018-07-15,22,False
2018-07-22,29,False
2018-07-29,22,False
2018-08-05,15,False
2018-08-12,24,False
2018-08-19,47,False
2018-08-26,43,False
2018-09-02,28,False
2018-09-09,62,False
2018-09-16,14,False
2018-09-23,28,False
2018-09-30,21,False
2018-10-07,28,False
2018-10-14,14,False
2018-10-21,28,False
2018-10-28,28,False
2018-11-04,14,False
2018-11-11,28,False
2018-11-18,14,False
2018-11-25,28,False
2018-12-02,14,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,38,False
2019-01-06,21,False
2019-01-13,0,False
2019-01-20,67,False
2019-01-27,26,False
2019-02-03,13,False
2019-02-10,13,False
2019-02-17,21,False
2019-02-24,47,False
2019-03-03,28,False
2019-03-10,28,False
2019-03-17,21,False
2019-03-24,14,False
2019-03-31,49,False
2019-04-07,28,False
2019-04-14,43,False
2019-04-21,15,False
2019-04-28,0,False
2019-05-05,27,False
2019-05-12,27,False
2019-05-19,40,False
2019-05-26,13,False
2019-06-02,14,False
2019-06-09,28,False
2019-06-16,28,False
2019-06-23,21,False
2019-06-30,14,False
2019-07-07,20,False
2019-07-14,28,False
2019-07-21,14,False
2019-07-28,14,False
2019-08-04,15,False
2019-08-11,16,False
2019-08-18,30,False
2019-08-25,41,False
2019-09-01,32,False
2019-09-08,13,False
2019-09-15,13,False
2019-09-22,19,False
2019-09-29,26,False
2019-10-06,33,False
2019-10-13,0,False
2019-10-20,13,False
2019-10-27,26,False
2019-11-03,50,False
2019-11-10,13,False
2019-11-17,13,False
2019-11-24,13,False
2019-12-01,13,False
2019-12-08,26,False
2019-12-15,0,False
2019-12-22,15,False
2019-12-29,88,False
2020-01-05,32,False
2020-01-12,61,False
2020-01-19,43,False
2020-01-26,18,False
2020-02-02,24,False
2020-02-09,19,False
2020-02-16,37,False
2020-02-23,12,False
2020-03-01,11,False
2020-03-08,22,False
2020-03-15,0,False
2020-03-22,10,False
2020-03-29,0,False
2020-04-05,0,False
2020-04-12,0,False
2020-04-19,0,False
2020-04-26,18,True
