date,Landschaftsarchitekten,isPartial
2018-01-07,29,False
2018-01-14,19,False
2018-01-21,57,False
2018-01-28,20,False
2018-02-04,30,False
2018-02-11,20,False
2018-02-18,39,False
2018-02-25,19,False
2018-03-04,29,False
2018-03-11,39,False
2018-03-18,39,False
2018-03-25,41,False
2018-04-01,0,False
2018-04-08,31,False
2018-04-15,52,False
2018-04-22,62,False
2018-04-29,20,False
2018-05-06,21,False
2018-05-13,20,False
2018-05-20,21,False
2018-05-27,40,False
2018-06-03,40,False
2018-06-10,19,False
2018-06-17,0,False
2018-06-24,40,False
2018-07-01,20,False
2018-07-08,32,False
2018-07-15,45,False
2018-07-22,23,False
2018-07-29,36,False
2018-08-05,0,False
2018-08-12,83,False
2018-08-19,61,False
2018-08-26,50,False
2018-09-02,20,False
2018-09-09,20,False
2018-09-16,100,False
2018-09-23,0,False
2018-09-30,42,False
2018-10-07,43,False
2018-10-14,53,False
2018-10-21,20,False
2018-10-28,29,False
2018-11-04,38,False
2018-11-11,30,False
2018-11-18,38,False
2018-11-25,0,False
2018-12-02,39,False
2018-12-09,40,False
2018-12-16,20,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,19,False
2019-01-13,19,False
2019-01-20,37,False
2019-01-27,28,False
2019-02-03,0,False
2019-02-10,49,False
2019-02-17,39,False
2019-02-24,19,False
2019-03-03,19,False
2019-03-10,38,False
2019-03-17,39,False
2019-03-24,29,False
2019-03-31,58,False
2019-04-07,36,False
2019-04-14,32,False
2019-04-21,21,False
2019-04-28,28,False
2019-05-05,56,False
2019-05-12,76,False
2019-05-19,56,False
2019-05-26,0,False
2019-06-02,19,False
2019-06-09,19,False
2019-06-16,20,False
2019-06-23,21,False
2019-06-30,0,False
2019-07-07,20,False
2019-07-14,22,False
2019-07-21,59,False
2019-07-28,0,False
2019-08-04,0,False
2019-08-11,0,False
2019-08-18,29,False
2019-08-25,39,False
2019-09-01,36,False
2019-09-08,29,False
2019-09-15,38,False
2019-09-22,28,False
2019-09-29,57,False
2019-10-06,0,False
2019-10-13,19,False
2019-10-20,18,False
2019-10-27,18,False
2019-11-03,45,False
2019-11-10,18,False
2019-11-17,36,False
2019-11-24,35,False
2019-12-01,18,False
2019-12-08,36,False
2019-12-15,18,False
2019-12-22,0,False
2019-12-29,42,False
2020-01-05,53,False
2020-01-12,51,False
2020-01-19,35,False
2020-01-26,69,False
2020-02-02,43,False
2020-02-09,17,False
2020-02-16,70,False
2020-02-23,33,False
2020-03-01,59,False
2020-03-08,48,False
2020-03-15,32,False
2020-03-22,63,False
2020-03-29,16,False
2020-04-05,52,False
2020-04-12,51,False
2020-04-19,56,False
2020-04-26,38,False
2020-05-03,32,False
2020-05-10,16,False
2020-05-17,17,False
2020-05-24,33,False
2020-05-31,33,False
2020-06-07,32,False
2020-06-14,65,False
2020-06-21,44,False
2020-06-28,34,False
2020-07-05,36,False
