date,traiteur buffet,isPartial
2018-01-07,44,False
2018-01-14,38,False
2018-01-21,25,False
2018-01-28,51,False
2018-02-04,51,False
2018-02-11,39,False
2018-02-18,41,False
2018-02-25,34,False
2018-03-04,71,False
2018-03-11,32,False
2018-03-18,20,False
2018-03-25,79,False
2018-04-01,54,False
2018-04-08,39,False
2018-04-15,49,False
2018-04-22,41,False
2018-04-29,50,False
2018-05-06,28,False
2018-05-13,58,False
2018-05-20,30,False
2018-05-27,44,False
2018-06-03,19,False
2018-06-10,43,False
2018-06-17,28,False
2018-06-24,19,False
2018-07-01,25,False
2018-07-08,26,False
2018-07-15,43,False
2018-07-22,44,False
2018-07-29,46,False
2018-08-05,48,False
2018-08-12,50,False
2018-08-19,31,False
2018-08-26,42,False
2018-09-02,26,False
2018-09-09,28,False
2018-09-16,19,False
2018-09-23,26,False
2018-09-30,32,False
2018-10-07,44,False
2018-10-14,37,False
2018-10-21,28,False
2018-10-28,20,False
2018-11-04,19,False
2018-11-11,24,False
2018-11-18,31,False
2018-11-25,48,False
2018-12-02,48,False
2018-12-09,33,False
2018-12-16,79,False
2018-12-23,48,False
2018-12-30,44,False
2019-01-06,58,False
2019-01-13,38,False
2019-01-20,19,False
2019-01-27,31,False
2019-02-03,30,False
2019-02-10,31,False
2019-02-17,29,False
2019-02-24,20,False
2019-03-03,51,False
2019-03-10,32,False
2019-03-17,26,False
2019-03-24,47,False
2019-03-31,49,False
2019-04-07,100,False
2019-04-14,31,False
2019-04-21,66,False
2019-04-28,43,False
2019-05-05,53,False
2019-05-12,91,False
2019-05-19,70,False
2019-05-26,41,False
2019-06-02,37,False
2019-06-09,20,False
2019-06-16,40,False
2019-06-23,40,False
2019-06-30,51,False
2019-07-07,73,False
2019-07-14,66,False
2019-07-21,39,False
2019-07-28,24,False
2019-08-04,51,False
2019-08-11,81,False
2019-08-18,89,False
2019-08-25,45,False
2019-09-01,40,False
2019-09-08,40,False
2019-09-15,65,False
2019-09-22,19,False
2019-09-29,0,False
2019-10-06,58,False
2019-10-13,39,False
2019-10-20,40,False
2019-10-27,41,False
2019-11-03,38,False
2019-11-10,39,False
2019-11-17,32,False
2019-11-24,56,False
2019-12-01,43,False
2019-12-08,49,False
2019-12-15,26,False
2019-12-22,46,False
2019-12-29,36,False
2020-01-05,74,False
2020-01-12,25,False
2020-01-19,38,False
2020-01-26,80,False
2020-02-02,38,False
2020-02-09,28,False
2020-02-16,19,False
2020-02-23,42,False
2020-03-01,47,False
2020-03-08,41,False
2020-03-15,0,False
2020-03-22,19,False
2020-03-29,29,False
2020-04-05,19,False
2020-04-12,0,False
2020-04-19,37,False
2020-04-26,37,False
2020-05-03,18,False
2020-05-10,0,False
2020-05-17,0,True
