date,psychologie clinique,isPartial
2018-01-07,43,False
2018-01-14,38,False
2018-01-21,34,False
2018-01-28,26,False
2018-02-04,68,False
2018-02-11,35,False
2018-02-18,82,False
2018-02-25,82,False
2018-03-04,26,False
2018-03-11,26,False
2018-03-18,62,False
2018-03-25,89,False
2018-04-01,27,False
2018-04-08,26,False
2018-04-15,47,False
2018-04-22,83,False
2018-04-29,27,False
2018-05-06,28,False
2018-05-13,52,False
2018-05-20,53,False
2018-05-27,51,False
2018-06-03,34,False
2018-06-10,87,False
2018-06-17,63,False
2018-06-24,39,False
2018-07-01,50,False
2018-07-08,27,False
2018-07-15,29,False
2018-07-22,29,False
2018-07-29,31,False
2018-08-05,64,False
2018-08-12,34,False
2018-08-19,31,False
2018-08-26,42,False
2018-09-02,35,False
2018-09-09,51,False
2018-09-16,26,False
2018-09-23,39,False
2018-09-30,68,False
2018-10-07,59,False
2018-10-14,25,False
2018-10-21,75,False
2018-10-28,54,False
2018-11-04,42,False
2018-11-11,24,False
2018-11-18,63,False
2018-11-25,38,False
2018-12-02,26,False
2018-12-09,52,False
2018-12-16,71,False
2018-12-23,0,False
2018-12-30,30,False
2019-01-06,52,False
2019-01-13,43,False
2019-01-20,25,False
2019-01-27,83,False
2019-02-03,72,False
2019-02-10,38,False
2019-02-17,38,False
2019-02-24,66,False
2019-03-03,25,False
2019-03-10,34,False
2019-03-17,44,False
2019-03-24,27,False
2019-03-31,44,False
2019-04-07,41,False
2019-04-14,56,False
2019-04-21,44,False
2019-04-28,29,False
2019-05-05,42,False
2019-05-12,55,False
2019-05-19,45,False
2019-05-26,41,False
2019-06-02,49,False
2019-06-09,27,False
2019-06-16,81,False
2019-06-23,41,False
2019-06-30,28,False
2019-07-07,42,False
2019-07-14,0,False
2019-07-21,47,False
2019-07-28,33,False
2019-08-04,0,False
2019-08-11,36,False
2019-08-18,34,False
2019-08-25,59,False
2019-09-01,27,False
2019-09-08,35,False
2019-09-15,43,False
2019-09-22,38,False
2019-09-29,100,False
2019-10-06,61,False
2019-10-13,35,False
2019-10-20,66,False
2019-10-27,45,False
2019-11-03,51,False
2019-11-10,26,False
2019-11-17,65,False
2019-11-24,25,False
2019-12-01,25,False
2019-12-08,25,False
2019-12-15,26,False
2019-12-22,92,False
2019-12-29,29,False
2020-01-05,0,False
2020-01-12,0,False
2020-01-19,34,False
2020-01-26,33,False
2020-02-02,25,False
2020-02-09,25,False
2020-02-16,26,False
2020-02-23,57,False
2020-03-01,24,False
2020-03-08,36,False
2020-03-15,42,False
2020-03-22,43,False
2020-03-29,51,False
2020-04-05,51,False
2020-04-12,51,False
2020-04-19,42,False
2020-04-26,49,False
2020-05-03,24,False
2020-05-10,41,False
2020-05-17,78,True
