Year,ticket_geo_region_name,Spend_type,Distribution
2018,Baden-Württemberg,Hochzeit günstig,0.18
2018,Baden-Württemberg,Hochzeit Kosten,0.42
2018,Baden-Württemberg,Hochzeit Geld,0.28
2018,Baden-Württemberg,Hochzeit Preis,0.12
2018,Bayern,Hochzeit günstig,0.16
2018,Bayern,Hochzeit Kosten,0.42
2018,Bayern,Hochzeit Geld,0.32
2018,Bayern,Hochzeit Preis,0.11
2018,Berlin,Hochzeit günstig,0.26
2018,Berlin,Hochzeit Kosten,0.44
2018,Berlin,Hochzeit Geld,0.3
2018,Berlin,Hochzeit Preis,0.0
2018,Brandenburg,Hochzeit günstig,0.0
2018,Brandenburg,Hochzeit Kosten,0.39
2018,Brandenburg,Hochzeit Geld,0.61
2018,Brandenburg,Hochzeit Preis,0.0
2018,Bremen,Hochzeit günstig,0.0
2018,Bremen,Hochzeit Kosten,1.0
2018,Bremen,Hochzeit Geld,0.0
2018,Bremen,Hochzeit Preis,0.0
2018,Deutschland,Hochzeit günstig,0.16
2018,Deutschland,Hochzeit Kosten,0.42
2018,Deutschland,Hochzeit Geld,0.34
2018,Deutschland,Hochzeit Preis,0.08
2018,Hamburg,Hochzeit günstig,0.0
2018,Hamburg,Hochzeit Kosten,0.61
2018,Hamburg,Hochzeit Geld,0.39
2018,Hamburg,Hochzeit Preis,0.0
2018,Hessen,Hochzeit günstig,0.17
2018,Hessen,Hochzeit Kosten,0.41
2018,Hessen,Hochzeit Geld,0.3
2018,Hessen,Hochzeit Preis,0.11
2018,Niedersachsen,Hochzeit günstig,0.21
2018,Niedersachsen,Hochzeit Kosten,0.37
2018,Niedersachsen,Hochzeit Geld,0.35
2018,Niedersachsen,Hochzeit Preis,0.07
2018,Mecklenburg-Vorpommern,Hochzeit günstig,0.0
2018,Mecklenburg-Vorpommern,Hochzeit Kosten,0.39
2018,Mecklenburg-Vorpommern,Hochzeit Geld,0.61
2018,Mecklenburg-Vorpommern,Hochzeit Preis,0.0
2018,Nordrhein-Westfalen,Hochzeit günstig,0.17
2018,Nordrhein-Westfalen,Hochzeit Kosten,0.42
2018,Nordrhein-Westfalen,Hochzeit Geld,0.31
2018,Nordrhein-Westfalen,Hochzeit Preis,0.11
2018,Rheinland-Pfalz,Hochzeit günstig,0.19
2018,Rheinland-Pfalz,Hochzeit Kosten,0.48
2018,Rheinland-Pfalz,Hochzeit Geld,0.33
2018,Rheinland-Pfalz,Hochzeit Preis,0.0
2018,Saarland,Hochzeit günstig,0.0
2018,Saarland,Hochzeit Kosten,0.0
2018,Saarland,Hochzeit Geld,1.0
2018,Saarland,Hochzeit Preis,0.0
2018,Sachsen,Hochzeit günstig,0.2
2018,Sachsen,Hochzeit Kosten,0.41
2018,Sachsen,Hochzeit Geld,0.39
2018,Sachsen,Hochzeit Preis,0.0
2018,Sachsen-Anhalt,Hochzeit günstig,0.0
2018,Sachsen-Anhalt,Hochzeit Kosten,0.52
2018,Sachsen-Anhalt,Hochzeit Geld,0.48
2018,Sachsen-Anhalt,Hochzeit Preis,0.0
2018,Schleswig-Holstein,Hochzeit günstig,0.14
