date,Gas Wasser,isPartial
2018-01-07,74,False
2018-01-14,67,False
2018-01-21,25,False
2018-01-28,32,False
2018-02-04,60,False
2018-02-11,50,False
2018-02-18,25,False
2018-02-25,49,False
2018-03-04,24,False
2018-03-11,36,False
2018-03-18,49,False
2018-03-25,39,False
2018-04-01,84,False
2018-04-08,64,False
2018-04-15,64,False
2018-04-22,42,False
2018-04-29,39,False
2018-05-06,36,False
2018-05-13,43,False
2018-05-20,27,False
2018-05-27,50,False
2018-06-03,25,False
2018-06-10,48,False
2018-06-17,25,False
2018-06-24,63,False
2018-07-01,26,False
2018-07-08,93,False
2018-07-15,0,False
2018-07-22,29,False
2018-07-29,45,False
2018-08-05,43,False
2018-08-12,57,False
2018-08-19,79,False
2018-08-26,52,False
2018-09-02,50,False
2018-09-09,38,False
2018-09-16,51,False
2018-09-23,43,False
2018-09-30,52,False
2018-10-07,64,False
2018-10-14,39,False
2018-10-21,66,False
2018-10-28,68,False
2018-11-04,64,False
2018-11-11,59,False
2018-11-18,41,False
2018-11-25,74,False
2018-12-02,74,False
2018-12-09,50,False
2018-12-16,54,False
2018-12-23,57,False
2018-12-30,29,False
2019-01-06,24,False
2019-01-13,28,False
2019-01-20,44,False
2019-01-27,67,False
2019-02-03,50,False
2019-02-10,24,False
2019-02-17,40,False
2019-02-24,40,False
2019-03-03,50,False
2019-03-10,24,False
2019-03-17,25,False
2019-03-24,33,False
2019-03-31,25,False
2019-04-07,26,False
2019-04-14,42,False
2019-04-21,28,False
2019-04-28,20,False
2019-05-05,24,False
2019-05-12,49,False
2019-05-19,37,False
2019-05-26,26,False
2019-06-02,96,False
2019-06-09,25,False
2019-06-16,25,False
2019-06-23,78,False
2019-06-30,76,False
2019-07-07,50,False
2019-07-14,26,False
2019-07-21,53,False
2019-07-28,26,False
2019-08-04,25,False
2019-08-11,42,False
2019-08-18,49,False
2019-08-25,92,False
2019-09-01,23,False
2019-09-08,33,False
2019-09-15,24,False
2019-09-22,32,False
2019-09-29,29,False
2019-10-06,36,False
2019-10-13,56,False
2019-10-20,59,False
2019-10-27,23,False
2019-11-03,20,False
2019-11-10,39,False
2019-11-17,46,False
2019-11-24,34,False
2019-12-01,21,False
2019-12-08,46,False
2019-12-15,32,False
2019-12-22,31,False
2019-12-29,50,False
2020-01-05,43,False
2020-01-12,44,False
2020-01-19,45,False
2020-01-26,45,False
2020-02-02,62,False
2020-02-09,100,False
2020-02-16,38,False
2020-02-23,36,False
2020-03-01,42,False
2020-03-08,32,False
2020-03-15,42,False
2020-03-22,86,False
2020-03-29,43,False
2020-04-05,22,False
2020-04-12,23,False
2020-04-19,55,False
2020-04-26,28,False
2020-05-03,19,False
2020-05-10,32,False
