date,menu matrimonio,isPartial
2018-01-07,0,False
2018-01-14,0,False
2018-01-21,37,False
2018-01-28,37,False
2018-02-04,0,False
2018-02-11,0,False
2018-02-18,0,False
2018-02-25,75,False
2018-03-04,0,False
2018-03-11,39,False
2018-03-18,0,False
2018-03-25,0,False
2018-04-01,42,False
2018-04-08,39,False
2018-04-15,41,False
2018-04-22,0,False
2018-04-29,40,False
2018-05-06,79,False
2018-05-13,0,False
2018-05-20,100,False
2018-05-27,80,False
2018-06-03,0,False
2018-06-10,0,False
2018-06-17,42,False
2018-06-24,44,False
2018-07-01,0,False
2018-07-08,64,False
2018-07-15,0,False
2018-07-22,0,False
2018-07-29,0,False
2018-08-05,53,False
2018-08-12,0,False
2018-08-19,54,False
2018-08-26,47,False
2018-09-02,44,False
2018-09-09,0,False
2018-09-16,42,False
2018-09-23,0,False
2018-09-30,42,False
2018-10-07,0,False
2018-10-14,43,False
2018-10-21,0,False
2018-10-28,0,False
2018-11-04,0,False
2018-11-11,0,False
2018-11-18,0,False
2018-11-25,0,False
2018-12-02,40,False
2018-12-09,40,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,44,False
2019-01-06,0,False
2019-01-13,39,False
2019-01-20,36,False
2019-01-27,0,False
2019-02-03,0,False
2019-02-10,0,False
2019-02-17,0,False
2019-02-24,0,False
2019-03-03,39,False
2019-03-10,39,False
2019-03-17,0,False
2019-03-24,0,False
2019-03-31,56,False
2019-04-07,37,False
2019-04-14,38,False
2019-04-21,63,False
2019-04-28,40,False
2019-05-05,0,False
2019-05-12,38,False
2019-05-19,37,False
2019-05-26,36,False
2019-06-02,0,False
2019-06-09,36,False
2019-06-16,38,False
2019-06-23,39,False
2019-06-30,39,False
2019-07-07,39,False
2019-07-14,39,False
2019-07-21,0,False
2019-07-28,0,False
2019-08-04,0,False
2019-08-11,74,False
2019-08-18,0,False
2019-08-25,39,False
2019-09-01,71,False
2019-09-08,0,False
2019-09-15,35,False
2019-09-22,0,False
2019-09-29,36,False
2019-10-06,56,False
2019-10-13,36,False
2019-10-20,34,False
2019-10-27,0,False
2019-11-03,0,False
2019-11-10,35,False
2019-11-17,0,False
2019-11-24,0,False
2019-12-01,0,False
2019-12-08,0,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,0,False
2020-01-12,32,False
2020-01-19,33,False
2020-01-26,0,False
2020-02-02,47,False
2020-02-09,33,False
2020-02-16,65,False
2020-02-23,0,False
2020-03-01,30,False
2020-03-08,0,False
2020-03-15,0,False
2020-03-22,0,False
2020-03-29,0,False
2020-04-05,0,False
2020-04-12,0,False
2020-04-19,0,False
2020-04-26,0,True
