date,menu matrimonio,isPartial
2018-01-07,17,False
2018-01-14,26,False
2018-01-21,26,False
2018-01-28,15,False
2018-02-04,23,False
2018-02-11,23,False
2018-02-18,25,False
2018-02-25,20,False
2018-03-04,21,False
2018-03-11,25,False
2018-03-18,23,False
2018-03-25,7,False
2018-04-01,18,False
2018-04-08,32,False
2018-04-15,30,False
2018-04-22,34,False
2018-04-29,39,False
2018-05-06,23,False
2018-05-13,57,False
2018-05-20,68,False
2018-05-27,15,False
2018-06-03,32,False
2018-06-10,17,False
2018-06-17,26,False
2018-06-24,41,False
2018-07-01,30,False
2018-07-08,28,False
2018-07-15,20,False
2018-07-22,20,False
2018-07-29,13,False
2018-08-05,16,False
2018-08-12,24,False
2018-08-19,31,False
2018-08-26,31,False
2018-09-02,100,False
2018-09-09,21,False
2018-09-16,33,False
2018-09-23,32,False
2018-09-30,19,False
2018-10-07,15,False
2018-10-14,20,False
2018-10-21,15,False
2018-10-28,19,False
2018-11-04,18,False
2018-11-11,21,False
2018-11-18,13,False
2018-11-25,17,False
2018-12-02,13,False
2018-12-09,11,False
2018-12-16,9,False
2018-12-23,13,False
2018-12-30,21,False
2019-01-06,11,False
2019-01-13,23,False
2019-01-20,10,False
2019-01-27,18,False
2019-02-03,6,False
2019-02-10,10,False
2019-02-17,19,False
2019-02-24,23,False
2019-03-03,15,False
2019-03-10,25,False
2019-03-17,21,False
2019-03-24,17,False
2019-03-31,32,False
2019-04-07,23,False
2019-04-14,24,False
2019-04-21,25,False
2019-04-28,21,False
2019-05-05,16,False
2019-05-12,20,False
2019-05-19,28,False
2019-05-26,23,False
2019-06-02,25,False
2019-06-09,27,False
2019-06-16,15,False
2019-06-23,39,False
2019-06-30,19,False
2019-07-07,41,False
2019-07-14,21,False
2019-07-21,26,False
2019-07-28,20,False
2019-08-04,25,False
2019-08-11,31,False
2019-08-18,7,False
2019-08-25,14,False
2019-09-01,25,False
2019-09-08,32,False
2019-09-15,18,False
2019-09-22,18,False
2019-09-29,18,False
2019-10-06,12,False
2019-10-13,16,False
2019-10-20,11,False
2019-10-27,10,False
2019-11-03,19,False
2019-11-10,13,False
2019-11-17,6,False
2019-11-24,17,False
2019-12-01,16,False
2019-12-08,18,False
2019-12-15,4,False
2019-12-22,7,False
2019-12-29,15,False
2020-01-05,21,False
2020-01-12,20,False
2020-01-19,20,False
2020-01-26,22,False
2020-02-02,11,False
2020-02-09,19,False
2020-02-16,6,False
2020-02-23,7,False
2020-03-01,12,False
2020-03-08,3,False
2020-03-15,5,False
2020-03-22,3,False
2020-03-29,11,False
2020-04-05,5,False
2020-04-12,7,False
2020-04-19,6,False
2020-04-26,6,True
