date,menu matrimonio,isPartial
2018-01-07,31,False
2018-01-14,31,False
2018-01-21,64,False
2018-01-28,31,False
2018-02-04,0,False
2018-02-11,34,False
2018-02-18,31,False
2018-02-25,30,False
2018-03-04,0,False
2018-03-11,0,False
2018-03-18,0,False
2018-03-25,68,False
2018-04-01,0,False
2018-04-08,66,False
2018-04-15,0,False
2018-04-22,51,False
2018-04-29,34,False
2018-05-06,32,False
2018-05-13,100,False
2018-05-20,49,False
2018-05-27,0,False
2018-06-03,0,False
2018-06-10,31,False
2018-06-17,96,False
2018-06-24,33,False
2018-07-01,0,False
2018-07-08,33,False
2018-07-15,0,False
2018-07-22,0,False
2018-07-29,0,False
2018-08-05,36,False
2018-08-12,38,False
2018-08-19,0,False
2018-08-26,35,False
2018-09-02,82,False
2018-09-09,97,False
2018-09-16,31,False
2018-09-23,0,False
2018-09-30,0,False
2018-10-07,66,False
2018-10-14,0,False
2018-10-21,0,False
2018-10-28,32,False
2018-11-04,32,False
2018-11-11,35,False
2018-11-18,0,False
2018-11-25,0,False
2018-12-02,35,False
2018-12-09,0,False
2018-12-16,35,False
2018-12-23,0,False
2018-12-30,34,False
2019-01-06,66,False
2019-01-13,63,False
2019-01-20,45,False
2019-01-27,30,False
2019-02-03,31,False
2019-02-10,31,False
2019-02-17,62,False
2019-02-24,32,False
2019-03-03,33,False
2019-03-10,0,False
2019-03-17,32,False
2019-03-24,0,False
2019-03-31,48,False
2019-04-07,32,False
2019-04-14,69,False
2019-04-21,0,False
2019-04-28,32,False
2019-05-05,0,False
2019-05-12,32,False
2019-05-19,31,False
2019-05-26,30,False
2019-06-02,66,False
2019-06-09,34,False
2019-06-16,33,False
2019-06-23,0,False
2019-06-30,0,False
2019-07-07,0,False
2019-07-14,34,False
2019-07-21,0,False
2019-07-28,0,False
2019-08-04,54,False
2019-08-11,39,False
2019-08-18,0,False
2019-08-25,33,False
2019-09-01,30,False
2019-09-08,31,False
2019-09-15,0,False
2019-09-22,30,False
2019-09-29,29,False
2019-10-06,62,False
2019-10-13,46,False
2019-10-20,30,False
2019-10-27,29,False
2019-11-03,28,False
2019-11-10,0,False
2019-11-17,29,False
2019-11-24,30,False
2019-12-01,0,False
2019-12-08,46,False
2019-12-15,31,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,0,False
2020-01-12,58,False
2020-01-19,0,False
2020-01-26,29,False
2020-02-02,28,False
2020-02-09,29,False
2020-02-16,59,False
2020-02-23,0,False
2020-03-01,27,False
2020-03-08,26,False
2020-03-15,0,False
2020-03-22,0,False
2020-03-29,24,False
2020-04-05,0,False
2020-04-12,0,False
2020-04-19,23,False
2020-04-26,0,True
