date,console per dj,isPartial
2018-01-07,73,False
2018-01-14,48,False
2018-01-21,0,False
2018-01-28,0,False
2018-02-04,47,False
2018-02-11,36,False
2018-02-18,46,False
2018-02-25,23,False
2018-03-04,0,False
2018-03-11,47,False
2018-03-18,24,False
2018-03-25,0,False
2018-04-01,26,False
2018-04-08,24,False
2018-04-15,0,False
2018-04-22,25,False
2018-04-29,24,False
2018-05-06,59,False
2018-05-13,0,False
2018-05-20,0,False
2018-05-27,24,False
2018-06-03,24,False
2018-06-10,0,False
2018-06-17,24,False
2018-06-24,24,False
2018-07-01,47,False
2018-07-08,48,False
2018-07-15,36,False
2018-07-22,48,False
2018-07-29,25,False
2018-08-05,100,False
2018-08-12,0,False
2018-08-19,53,False
2018-08-26,24,False
2018-09-02,35,False
2018-09-09,0,False
2018-09-16,23,False
2018-09-23,47,False
2018-09-30,23,False
2018-10-07,48,False
2018-10-14,0,False
2018-10-21,0,False
2018-10-28,0,False
2018-11-04,23,False
2018-11-11,36,False
2018-11-18,0,False
2018-11-25,0,False
2018-12-02,36,False
2018-12-09,48,False
2018-12-16,25,False
2018-12-23,42,False
2018-12-30,26,False
2019-01-06,24,False
2019-01-13,58,False
2019-01-20,45,False
2019-01-27,66,False
2019-02-03,22,False
2019-02-10,23,False
2019-02-17,23,False
2019-02-24,23,False
2019-03-03,24,False
2019-03-10,70,False
2019-03-17,71,False
2019-03-24,24,False
2019-03-31,24,False
2019-04-07,23,False
2019-04-14,48,False
2019-04-21,0,False
2019-04-28,24,False
2019-05-05,0,False
2019-05-12,45,False
2019-05-19,22,False
2019-05-26,22,False
2019-06-02,24,False
2019-06-09,35,False
2019-06-16,24,False
2019-06-23,0,False
2019-06-30,24,False
2019-07-07,23,False
2019-07-14,24,False
2019-07-21,24,False
2019-07-28,24,False
2019-08-04,25,False
2019-08-11,27,False
2019-08-18,0,False
2019-08-25,23,False
2019-09-01,0,False
2019-09-08,45,False
2019-09-15,44,False
2019-09-22,22,False
2019-09-29,0,False
2019-10-06,0,False
2019-10-13,22,False
2019-10-20,43,False
2019-10-27,22,False
2019-11-03,21,False
2019-11-10,21,False
2019-11-17,21,False
2019-11-24,21,False
2019-12-01,33,False
2019-12-08,44,False
2019-12-15,67,False
2019-12-22,26,False
2019-12-29,49,False
2020-01-05,43,False
2020-01-12,41,False
2020-01-19,41,False
2020-01-26,0,False
2020-02-02,20,False
2020-02-09,0,False
2020-02-16,21,False
2020-02-23,19,False
2020-03-01,0,False
2020-03-08,28,False
2020-03-15,19,False
2020-03-22,52,False
2020-03-29,27,False
2020-04-05,19,False
2020-04-12,56,False
2020-04-19,89,False
2020-04-26,0,True
