date,Event Planner,isPartial
2018-01-07,33,False
2018-01-14,33,False
2018-01-21,32,False
2018-01-28,32,False
2018-02-04,24,False
2018-02-11,24,False
2018-02-18,31,False
2018-02-25,47,False
2018-03-04,55,False
2018-03-11,0,False
2018-03-18,16,False
2018-03-25,17,False
2018-04-01,35,False
2018-04-08,32,False
2018-04-15,17,False
2018-04-22,26,False
2018-04-29,16,False
2018-05-06,24,False
2018-05-13,73,False
2018-05-20,32,False
2018-05-27,16,False
2018-06-03,33,False
2018-06-10,16,False
2018-06-17,32,False
2018-06-24,16,False
2018-07-01,16,False
2018-07-08,33,False
2018-07-15,49,False
2018-07-22,17,False
2018-07-29,25,False
2018-08-05,35,False
2018-08-12,0,False
2018-08-19,18,False
2018-08-26,25,False
2018-09-02,40,False
2018-09-09,0,False
2018-09-16,47,False
2018-09-23,40,False
2018-09-30,24,False
2018-10-07,41,False
2018-10-14,41,False
2018-10-21,32,False
2018-10-28,56,False
2018-11-04,16,False
2018-11-11,16,False
2018-11-18,48,False
2018-11-25,40,False
2018-12-02,33,False
2018-12-09,32,False
2018-12-16,34,False
2018-12-23,38,False
2018-12-30,18,False
2019-01-06,0,False
2019-01-13,47,False
2019-01-20,46,False
2019-01-27,22,False
2019-02-03,15,False
2019-02-10,23,False
2019-02-17,39,False
2019-02-24,47,False
2019-03-03,16,False
2019-03-10,16,False
2019-03-17,41,False
2019-03-24,41,False
2019-03-31,48,False
2019-04-07,40,False
2019-04-14,100,False
2019-04-21,17,False
2019-04-28,32,False
2019-05-05,54,False
2019-05-12,23,False
2019-05-19,23,False
2019-05-26,30,False
2019-06-02,56,False
2019-06-09,16,False
2019-06-16,32,False
2019-06-23,0,False
2019-06-30,16,False
2019-07-07,16,False
2019-07-14,57,False
2019-07-21,33,False
2019-07-28,0,False
2019-08-04,34,False
2019-08-11,37,False
2019-08-18,25,False
2019-08-25,39,False
2019-09-01,37,False
2019-09-08,15,False
2019-09-15,67,False
2019-09-22,30,False
2019-09-29,45,False
2019-10-06,30,False
2019-10-13,45,False
2019-10-20,36,False
2019-10-27,44,False
2019-11-03,57,False
2019-11-10,36,False
2019-11-17,22,False
2019-11-24,29,False
2019-12-01,60,False
2019-12-08,60,False
2019-12-15,23,False
2019-12-22,18,False
2019-12-29,33,False
2020-01-05,15,False
2020-01-12,28,False
2020-01-19,42,False
2020-01-26,28,False
2020-02-02,41,False
2020-02-09,43,False
2020-02-16,21,False
2020-02-23,40,False
2020-03-01,20,False
2020-03-08,13,False
2020-03-15,13,False
2020-03-22,35,False
2020-03-29,12,False
2020-04-05,32,False
2020-04-12,0,False
2020-04-19,24,False
2020-04-26,21,True
