date,abiti eleganti,isPartial
2018-01-07,28,False
2018-01-14,14,False
2018-01-21,43,False
2018-01-28,21,False
2018-02-04,14,False
2018-02-11,0,False
2018-02-18,22,False
2018-02-25,14,False
2018-03-04,37,False
2018-03-11,58,False
2018-03-18,30,False
2018-03-25,54,False
2018-04-01,48,False
2018-04-08,23,False
2018-04-15,32,False
2018-04-22,32,False
2018-04-29,55,False
2018-05-06,15,False
2018-05-13,60,False
2018-05-20,30,False
2018-05-27,38,False
2018-06-03,38,False
2018-06-10,0,False
2018-06-17,45,False
2018-06-24,30,False
2018-07-01,60,False
2018-07-08,30,False
2018-07-15,23,False
2018-07-22,46,False
2018-07-29,15,False
2018-08-05,31,False
2018-08-12,17,False
2018-08-19,46,False
2018-08-26,22,False
2018-09-02,44,False
2018-09-09,59,False
2018-09-16,59,False
2018-09-23,38,False
2018-09-30,15,False
2018-10-07,77,False
2018-10-14,16,False
2018-10-21,30,False
2018-10-28,0,False
2018-11-04,0,False
2018-11-11,46,False
2018-11-18,15,False
2018-11-25,46,False
2018-12-02,24,False
2018-12-09,32,False
2018-12-16,0,False
2018-12-23,27,False
2018-12-30,0,False
2019-01-06,30,False
2019-01-13,73,False
2019-01-20,14,False
2019-01-27,41,False
2019-02-03,42,False
2019-02-10,14,False
2019-02-17,14,False
2019-02-24,36,False
2019-03-03,36,False
2019-03-10,14,False
2019-03-17,59,False
2019-03-24,45,False
2019-03-31,100,False
2019-04-07,57,False
2019-04-14,59,False
2019-04-21,60,False
2019-04-28,35,False
2019-05-05,34,False
2019-05-12,61,False
2019-05-19,41,False
2019-05-26,53,False
2019-06-02,43,False
2019-06-09,58,False
2019-06-16,29,False
2019-06-23,15,False
2019-06-30,44,False
2019-07-07,29,False
2019-07-14,31,False
2019-07-21,30,False
2019-07-28,22,False
2019-08-04,16,False
2019-08-11,17,False
2019-08-18,31,False
2019-08-25,42,False
2019-09-01,40,False
2019-09-08,57,False
2019-09-15,14,False
2019-09-22,35,False
2019-09-29,41,False
2019-10-06,34,False
2019-10-13,0,False
2019-10-20,27,False
2019-10-27,20,False
2019-11-03,26,False
2019-11-10,39,False
2019-11-17,13,False
2019-11-24,40,False
2019-12-01,55,False
2019-12-08,28,False
2019-12-15,14,False
2019-12-22,32,False
2019-12-29,30,False
2020-01-05,20,False
2020-01-12,37,False
2020-01-19,13,False
2020-01-26,51,False
2020-02-02,32,False
2020-02-09,13,False
2020-02-16,19,False
2020-02-23,31,False
2020-03-01,12,False
2020-03-08,12,False
2020-03-15,0,False
2020-03-22,22,False
2020-03-29,11,False
2020-04-05,12,False
2020-04-12,17,False
2020-04-19,28,False
2020-04-26,19,True
