date,abiti eleganti,isPartial
2018-01-07,16,False
2018-01-14,24,False
2018-01-21,48,False
2018-01-28,39,False
2018-02-04,39,False
2018-02-11,47,False
2018-02-18,61,False
2018-02-25,37,False
2018-03-04,39,False
2018-03-11,100,False
2018-03-18,56,False
2018-03-25,49,False
2018-04-01,69,False
2018-04-08,24,False
2018-04-15,49,False
2018-04-22,59,False
2018-04-29,63,False
2018-05-06,39,False
2018-05-13,24,False
2018-05-20,48,False
2018-05-27,16,False
2018-06-03,32,False
2018-06-10,47,False
2018-06-17,56,False
2018-06-24,16,False
2018-07-01,39,False
2018-07-08,47,False
2018-07-15,32,False
2018-07-22,32,False
2018-07-29,17,False
2018-08-05,36,False
2018-08-12,0,False
2018-08-19,71,False
2018-08-26,32,False
2018-09-02,39,False
2018-09-09,24,False
2018-09-16,0,False
2018-09-23,16,False
2018-09-30,40,False
2018-10-07,16,False
2018-10-14,0,False
2018-10-21,24,False
2018-10-28,24,False
2018-11-04,30,False
2018-11-11,16,False
2018-11-18,15,False
2018-11-25,31,False
2018-12-02,32,False
2018-12-09,48,False
2018-12-16,34,False
2018-12-23,82,False
2018-12-30,0,False
2019-01-06,17,False
2019-01-13,15,False
2019-01-20,23,False
2019-01-27,62,False
2019-02-03,15,False
2019-02-10,31,False
2019-02-17,47,False
2019-02-24,16,False
2019-03-03,24,False
2019-03-10,56,False
2019-03-17,24,False
2019-03-24,48,False
2019-03-31,24,False
2019-04-07,63,False
2019-04-14,66,False
2019-04-21,54,False
2019-04-28,49,False
2019-05-05,40,False
2019-05-12,37,False
2019-05-19,15,False
2019-05-26,58,False
2019-06-02,40,False
2019-06-09,32,False
2019-06-16,32,False
2019-06-23,66,False
2019-06-30,16,False
2019-07-07,37,False
2019-07-14,38,False
2019-07-21,39,False
2019-07-28,48,False
2019-08-04,34,False
2019-08-11,37,False
2019-08-18,16,False
2019-08-25,44,False
2019-09-01,35,False
2019-09-08,14,False
2019-09-15,57,False
2019-09-22,14,False
2019-09-29,14,False
2019-10-06,15,False
2019-10-13,15,False
2019-10-20,0,False
2019-10-27,15,False
2019-11-03,21,False
2019-11-10,14,False
2019-11-17,14,False
2019-11-24,28,False
2019-12-01,44,False
2019-12-08,29,False
2019-12-15,75,False
2019-12-22,27,False
2019-12-29,42,False
2020-01-05,29,False
2020-01-12,26,False
2020-01-19,13,False
2020-01-26,26,False
2020-02-02,26,False
2020-02-09,34,False
2020-02-16,54,False
2020-02-23,25,False
2020-03-01,56,False
2020-03-08,18,False
2020-03-15,25,False
2020-03-22,0,False
2020-03-29,0,False
2020-04-05,37,False
2020-04-12,19,False
2020-04-19,12,False
2020-04-26,0,True
