date,Sanierung,isPartial
2018-01-07,31,False
2018-01-14,21,False
2018-01-21,42,False
2018-01-28,22,False
2018-02-04,0,False
2018-02-11,42,False
2018-02-18,41,False
2018-02-25,30,False
2018-03-04,42,False
2018-03-11,21,False
2018-03-18,41,False
2018-03-25,22,False
2018-04-01,22,False
2018-04-08,22,False
2018-04-15,22,False
2018-04-22,32,False
2018-04-29,22,False
2018-05-06,66,False
2018-05-13,41,False
2018-05-20,0,False
2018-05-27,22,False
2018-06-03,31,False
2018-06-10,20,False
2018-06-17,52,False
2018-06-24,42,False
2018-07-01,21,False
2018-07-08,0,False
2018-07-15,22,False
2018-07-22,54,False
2018-07-29,0,False
2018-08-05,0,False
2018-08-12,22,False
2018-08-19,21,False
2018-08-26,20,False
2018-09-02,0,False
2018-09-09,20,False
2018-09-16,30,False
2018-09-23,30,False
2018-09-30,20,False
2018-10-07,83,False
2018-10-14,42,False
2018-10-21,41,False
2018-10-28,21,False
2018-11-04,20,False
2018-11-11,20,False
2018-11-18,19,False
2018-11-25,20,False
2018-12-02,30,False
2018-12-09,40,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,18,False
2019-01-13,46,False
2019-01-20,18,False
2019-01-27,38,False
2019-02-03,30,False
2019-02-10,37,False
2019-02-17,37,False
2019-02-24,19,False
2019-03-03,38,False
2019-03-10,55,False
2019-03-17,39,False
2019-03-24,57,False
2019-03-31,0,False
2019-04-07,39,False
2019-04-14,21,False
2019-04-21,0,False
2019-04-28,37,False
2019-05-05,27,False
2019-05-12,18,False
2019-05-19,36,False
2019-05-26,36,False
2019-06-02,38,False
2019-06-09,40,False
2019-06-16,19,False
2019-06-23,0,False
2019-06-30,19,False
2019-07-07,0,False
2019-07-14,29,False
2019-07-21,100,False
2019-07-28,29,False
2019-08-04,20,False
2019-08-11,19,False
2019-08-18,27,False
2019-08-25,26,False
2019-09-01,26,False
2019-09-08,18,False
2019-09-15,18,False
2019-09-22,36,False
2019-09-29,0,False
2019-10-06,35,False
2019-10-13,18,False
2019-10-20,0,False
2019-10-27,44,False
2019-11-03,85,False
2019-11-10,17,False
2019-11-17,34,False
2019-11-24,17,False
2019-12-01,17,False
2019-12-08,18,False
2019-12-15,0,False
2019-12-22,29,False
2019-12-29,52,False
2020-01-05,16,False
2020-01-12,15,False
2020-01-19,0,False
2020-01-26,24,False
2020-02-02,17,False
2020-02-09,49,False
2020-02-16,33,False
2020-02-23,16,False
2020-03-01,16,False
2020-03-08,38,False
2020-03-15,14,False
2020-03-22,27,False
2020-03-29,14,False
2020-04-05,0,False
2020-04-12,14,False
2020-04-19,14,False
2020-04-26,14,False
2020-05-03,15,False
2020-05-10,22,False
2020-05-17,0,False
2020-05-24,29,False
2020-05-31,0,False
2020-06-07,15,False
2020-06-14,36,False
2020-06-21,31,False
2020-06-28,24,False
2020-07-05,17,False
